,Unnamed: 0,e_form,e_hull,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen
35,37,-3.029,0.5710000000000001,18.259,1.828,4.503,4.503,4.503,90.0,90.0,90.0,4.6789999999999985
36,38,-2.365,-0.077,11.833,0.0,5.505,5.522,7.7860000000000005,90.0,90.0,90.0,1.575
37,39,-3.018,0.512,18.186,0.0,4.497,4.497,4.497,90.0,90.0,90.0,4.396
38,40,-2.146,0.16699999999999998,13.292,0.0,5.462999999999999,6.091,7.989,90.0,90.0,90.0,2.322
39,41,-2.693,0.491,18.517,0.0,4.524,4.524,4.524,90.0,90.0,90.0,4.095
40,42,-2.369,0.038,16.738,0.0,6.034,6.377000000000001,8.701,90.0,90.0,90.0,1.255
41,43,-2.171,-0.122,13.678,0.0,5.715,5.9239999999999995,8.081,90.0,90.0,90.0,1.499
42,44,-3.111,0.518,17.814,2.014,4.466,4.466,4.466,90.0,90.0,90.0,4.845
43,45,-2.9530000000000003,0.625,18.704,1.649,4.539,4.539,4.539,90.0,90.0,90.0,4.449
44,46,-2.101,0.037000000000000005,14.009,0.0,5.811,6.1770000000000005,7.805,90.0,90.0,90.0,1.204
45,47,-3.005,0.602,17.512,0.0,4.441,4.441,4.441,90.0,90.0,90.0,3.324
46,48,-1.914,0.444,20.923,0.599,5.98,6.0889999999999995,11.491,90.0,90.0,90.0,-2.002
47,49,-2.286,0.273,13.361,0.0,5.556,5.978,8.046,90.0,90.0,90.0,2.924
48,50,-2.334,-0.077,13.23,0.604,5.635,5.837000000000001,8.046,90.0,90.0,90.0,1.899
49,51,-2.345,0.015,13.161,0.0,5.619,5.835,8.029,90.0,90.0,90.0,2.787
50,52,-2.465,0.114,16.31,0.29600000000000004,5.98,6.327000000000001,8.621,90.0,90.0,90.0,2.835
51,53,-3.762,-0.068,13.854,4.099,5.782,5.843999999999999,8.201,90.0,90.0,90.0,6.193
52,54,-2.778,0.395,12.758,0.0,3.79,3.79,4.442,90.0,90.0,90.0,4.34
53,55,-3.608,0.033,16.756,4.287,6.08,6.292999999999999,8.759,90.0,90.0,90.0,4.949
54,56,-2.582,0.101,15.772,0.0,5.942,6.207999999999999,8.551,90.0,90.0,90.0,3.025
55,57,-2.247,0.78,17.587,0.0,4.447,4.447,4.447,90.0,90.0,90.0,-1.505
56,58,-2.945,0.159,13.765,0.0,5.615,5.983,8.195,90.0,90.0,90.0,4.8439999999999985
57,59,-3.5610000000000004,0.009000000000000001,16.078,4.382,6.0089999999999995,6.2010000000000005,8.63,90.0,90.0,90.0,5.379
58,60,-2.487,0.069,13.358,0.0,5.652,5.84,8.095,90.0,90.0,90.0,3.73
59,61,-1.817,0.5579999999999999,16.423,0.0,4.346,4.346,4.346,90.0,90.0,90.0,2.116
60,62,-3.113,0.622,19.466,0.0,4.6,4.6,4.6,90.0,90.0,90.0,3.724
61,63,-3.443,-0.092,12.8,0.0,5.647,5.662000000000001,8.007,90.0,90.0,90.0,5.944
62,64,-2.27,-0.012,15.973,1.041,5.937,6.296,8.547,90.0,90.0,90.0,1.876
63,65,-3.772,-0.016,15.361,4.565,5.94,6.0889999999999995,8.494,90.0,90.0,90.0,5.792999999999998
64,66,-2.874,0.635,17.809,0.0,4.466,4.466,4.466,90.0,90.0,90.0,2.892
65,67,-3.221,-0.116,12.873,1.21,5.664,5.684,7.997000000000001,90.0,90.0,90.0,4.968
66,68,-2.501,0.268,13.405,0.0,5.669,5.86,8.07,90.0,90.0,90.0,3.492
67,69,-3.693,0.001,15.939,4.6080000000000005,5.992999999999999,6.183,8.603,90.0,90.0,90.0,5.419
68,70,-3.094,0.099,15.548,0.0,5.937,6.2139999999999995,8.429,90.0,90.0,90.0,-0.312
69,71,-2.416,0.033,12.54,0.0,5.587000000000001,5.662000000000001,7.928,90.0,90.0,90.0,0.7390000000000001
70,72,-3.365,0.069,14.751,0.0,5.84,6.057,8.34,90.0,90.0,90.0,5.242000000000001
71,73,-1.6740000000000002,0.28300000000000003,15.943,0.0,6.007999999999999,6.225,8.526,90.0,90.0,90.0,-1.294
72,74,0.35100000000000003,0.5760000000000001,12.997,0.0,4.02,4.02,4.02,90.0,90.0,90.0,-2.694
73,75,-1.51,0.235,9.898,0.0,5.093999999999999,5.3229999999999995,7.3,90.0,90.0,90.0,-1.341
74,76,-0.815,0.293,11.367,0.0,3.571,3.571,4.458,90.0,90.0,90.0,0.529
75,77,0.28600000000000003,0.539,13.242,0.0,4.046,4.046,4.046,90.0,90.0,90.0,-1.113
76,78,-0.35,1.074,8.138,0.0,3.4389999999999996,3.4389999999999996,3.4389999999999996,90.0,90.0,90.0,-2.641
77,79,-0.989,0.388,15.630999999999998,0.247,6.636,6.739,6.99,90.0,90.0,90.0,-6.975
78,80,-0.616,0.6829999999999999,8.781,0.0,3.528,3.528,3.528,90.0,90.0,90.0,-3.0580000000000003
79,81,-0.8170000000000001,0.064,13.662,0.0,5.765,5.765,5.765,60.4,60.4,60.4,-0.062
80,82,-0.975,0.435,14.204,0.0,5.8839999999999995,5.8839999999999995,5.8839999999999995,59.4,59.4,59.4,-6.108
81,83,0.174,0.7809999999999999,14.05,0.0,4.126,4.126,4.126,90.0,90.0,90.0,-4.143
82,84,-1.597,0.28,15.13,0.0,5.962000000000001,6.115,8.3,90.0,90.0,90.0,-3.253
83,86,-1.236,0.15,10.545,0.0,5.357,5.401,7.29,90.0,90.0,90.0,0.037000000000000005
84,87,0.539,1.287,16.599,0.0,4.362,4.362,4.362,90.0,90.0,90.0,-1.803
85,88,-0.224,0.23,10.222,0.0,5.066,5.322,7.582999999999999,90.0,90.0,90.0,-2.405
86,89,-1.334,0.7040000000000001,16.23,0.0,4.329,4.329,4.329,90.0,90.0,90.0,-3.359
87,90,-1.386,0.675,15.94,0.0,4.303,4.303,4.303,90.0,90.0,90.0,-3.225
88,91,-1.17,0.34700000000000003,13.994000000000002,0.0,5.684,5.956,8.267999999999999,90.0,90.0,90.0,-4.981
89,93,-0.927,0.236,10.602,0.0,5.13,5.419,7.627999999999999,90.0,90.0,90.0,-2.518
90,94,-1.281,0.728,16.72,0.0,4.373,4.373,4.373,90.0,90.0,90.0,-3.47
91,95,-1.053,0.18600000000000005,10.4,0.0,5.325,5.343,7.31,90.0,90.0,90.0,-0.267
92,96,-2.24,0.17,12.255,0.0,5.376,5.735,7.9510000000000005,90.0,90.0,90.0,-0.054000000000000006
93,97,0.409,0.703,14.36,0.0,4.156000000000001,4.156000000000001,4.156000000000001,90.0,90.0,90.0,-3.1660000000000004
94,98,-1.362,0.688,15.995,0.0,4.308,4.308,4.308,90.0,90.0,90.0,-3.272
95,99,-0.391,0.643,14.198,0.0,4.141,4.141,4.141,90.0,90.0,90.0,-3.35
96,100,-0.591,0.154,11.313,0.0,5.367000000000001,5.367000000000001,5.367000000000001,61.6,61.6,61.6,1.233
97,101,1.006,1.761,16.199,0.0,4.327,4.327,4.327,90.0,90.0,90.0,-4.658
98,102,-1.707,0.261,15.011,0.0,5.835,6.067,8.48,90.0,90.0,90.0,-2.616
99,103,0.105,0.926,9.602,0.0,3.635,3.635,3.635,90.0,90.0,90.0,-5.5470000000000015
100,104,-1.528,0.565,15.37,0.0,4.252,4.252,4.252,90.0,90.0,90.0,-2.317
101,105,-0.609,0.6940000000000001,11.550999999999998,0.0,3.865,3.865,3.865,90.0,90.0,90.0,-3.823
102,106,-1.013,0.151,10.451,0.0,5.327999999999999,5.332999999999999,7.356,90.0,90.0,90.0,-0.942
103,107,-1.548,0.182,11.963,0.0,3.911,3.911,3.911,90.0,90.0,90.0,4.381
104,108,0.624,1.3730000000000002,13.092,0.0,4.03,4.03,4.03,90.0,90.0,90.0,-9.782
105,109,-2.009,0.043,12.263,1.269,5.611000000000001,5.611000000000001,5.611000000000001,59.2,59.2,59.2,4.672
106,110,-1.152,0.8270000000000001,17.662,0.0,4.453,4.453,4.453,90.0,90.0,90.0,-3.549
107,111,-0.377,0.232,10.196,0.0,5.118,5.377000000000001,7.41,90.0,90.0,90.0,-1.927
108,112,-2.246,0.086,14.282,1.6980000000000002,5.694,6.002999999999999,8.356,90.0,90.0,90.0,1.048
109,113,-0.8009999999999999,0.18,11.258,0.0,5.379,5.379,5.379,61.0,61.0,61.0,3.043
110,114,-2.326,-0.361,14.961,2.571,6.042999999999999,6.042999999999999,6.042999999999999,58.2,58.2,58.2,4.367
111,115,-0.6679999999999999,0.106,13.353,0.0,5.484,5.809,8.382,90.0,90.0,90.0,-1.825
112,116,-0.32299999999999995,0.115,11.304,0.0,5.3,5.526,7.718999999999999,90.0,90.0,90.0,-1.906
113,117,-1.194,0.757,17.337,0.0,4.426,4.426,4.426,90.0,90.0,90.0,-3.507
114,118,-1.624,0.276,14.835,0.0,5.914,6.087999999999999,8.241,90.0,90.0,90.0,-3.23
115,119,-0.389,0.162,11.472,0.0,5.39,5.527,7.702000000000001,90.0,90.0,90.0,-0.7390000000000001
116,120,-2.016,0.046,14.166,0.997,5.67,5.99,8.343,90.0,90.0,90.0,0.281
117,121,0.957,1.699,16.105999999999998,0.0,4.3180000000000005,4.3180000000000005,4.3180000000000005,90.0,90.0,90.0,-12.398
118,122,-1.22,0.301,11.768,0.0,3.889,3.889,3.889,90.0,90.0,90.0,4.367
119,123,-0.541,0.188,11.041,0.0,5.357,5.4110000000000005,7.617000000000001,90.0,90.0,90.0,0.287
120,124,-0.754,0.112,11.148,0.0,5.375,5.375,5.375,60.7,60.7,60.7,1.891
121,125,-1.157,0.109,12.152,0.0,5.539,5.591,7.848,90.0,90.0,90.0,2.278
122,126,-1.781,0.235,11.772,0.0,5.276,5.635,7.917999999999999,90.0,90.0,90.0,-2.029
123,127,-1.63,0.32,10.221,0.0,3.32,3.32,4.638,90.0,90.0,90.0,0.18600000000000005
124,128,-1.22,0.743,17.49,0.0,4.439,4.439,4.439,90.0,90.0,90.0,-3.43
125,129,-1.126,0.152,12.255,0.0,5.392,5.6610000000000005,8.03,90.0,90.0,90.0,-0.512
126,130,-1.047,0.354,14.274,0.0,6.337000000000001,6.414,7.024,90.0,90.0,90.0,-7.542999999999998
127,131,-2.247,0.018000000000000002,12.114,2.03,5.584,5.584,5.584,59.3,59.3,59.3,5.586
128,132,-1.177,0.716,16.469,0.0,4.351,4.351,4.351,90.0,90.0,90.0,-3.403
129,133,-1.141,0.172,11.35,0.0,5.442,5.442,5.442,59.8,59.8,59.8,3.523
130,134,-0.835,0.14,12.872,0.0,5.62,5.718999999999999,8.01,90.0,90.0,90.0,1.213
131,135,-2.063,0.585,17.974,0.0,4.479,4.479,4.479,90.0,90.0,90.0,-0.696
132,136,-1.915,0.13699999999999998,11.01,0.0,5.41,5.417999999999999,7.5120000000000005,90.0,90.0,90.0,-0.16
133,137,0.113,0.6940000000000001,14.969,0.0,4.2139999999999995,4.2139999999999995,4.2139999999999995,90.0,90.0,90.0,-3.625
134,138,-1.419,0.66,15.687,0.0,4.281000000000001,4.281000000000001,4.281000000000001,90.0,90.0,90.0,-3.122
135,139,-2.513,-0.009000000000000001,14.714,2.636,6.032,6.032,6.032,57.7,57.7,57.7,3.748
136,140,-1.582,0.125,11.419,0.341,3.6839999999999997,3.6839999999999997,4.208,90.0,90.0,90.0,1.832
137,141,-1.675,0.281,12.02,0.0,3.917,3.917,3.917,90.0,90.0,90.0,5.198
138,142,-1.3730000000000002,0.643,16.597,0.0,4.362,4.362,4.362,90.0,90.0,90.0,-2.727
139,143,-1.234,0.281,12.637,0.0,5.8,5.981,7.285,90.0,90.0,90.0,-5.322
140,144,-0.13,0.642,11.449000000000002,0.0,3.8539999999999996,3.8539999999999996,3.8539999999999996,90.0,90.0,90.0,-3.48
141,145,-2.099,0.187,12.568,0.0,5.398,5.7829999999999995,8.052,90.0,90.0,90.0,-0.445
142,146,-3.304,0.228,14.825,3.1180000000000003,5.553,5.62,9.501,90.0,90.0,90.0,-5.957999999999998
143,147,-1.543,0.203,11.015,0.0,4.913,5.222,8.588,90.0,90.0,90.0,-5.981
144,148,-2.079,1.186,9.258,0.0,3.591,3.591,3.591,90.0,90.0,90.0,-0.978
145,149,-0.946,1.409,11.095,0.0,3.8139999999999996,3.8139999999999996,3.8139999999999996,90.0,90.0,90.0,1.18
146,150,-0.085,1.6880000000000002,13.042,0.0,4.025,4.025,4.025,90.0,90.0,90.0,-0.897
147,151,-1.37,1.6130000000000002,7.079,0.0,3.283,3.283,3.283,90.0,90.0,90.0,0.6940000000000001
148,152,-2.722,0.217,15.338,0.369,5.405,6.292999999999999,9.019,90.0,90.0,90.0,-9.71
149,153,-1.499,1.332,7.62,0.0,3.365,3.365,3.365,90.0,90.0,90.0,-4.029
150,154,-2.132,0.257,13.078,1.156,5.494,5.499,8.657,90.0,90.0,90.0,-4.525
151,155,-2.797,0.165,12.156,0.0,5.18,5.611000000000001,8.363999999999999,90.0,90.0,90.0,-9.223
152,156,-1.93,0.197,11.712,0.211,5.236000000000001,5.506,8.124,90.0,90.0,90.0,-7.376
153,157,-3.19,0.289,13.608,2.937,5.557,5.574,8.786,90.0,90.0,90.0,-7.106
154,158,-0.957,1.3019999999999998,9.363,0.0,3.6039999999999996,3.6039999999999996,3.6039999999999996,90.0,90.0,90.0,-1.991
155,159,-1.534,1.339,10.504,0.0,3.745,3.745,3.745,90.0,90.0,90.0,-1.25
156,160,0.425,2.668,17.34,0.0,4.426,4.426,4.426,90.0,90.0,90.0,-12.888
157,161,-0.6679999999999999,1.286,9.652,0.0,3.641,3.641,3.641,90.0,90.0,90.0,-3.853
158,162,-3.343,0.244,13.125,3.763,5.992999999999999,5.992999999999999,5.992999999999999,54.1,54.1,54.1,-6.424
159,163,-3.36,0.242,11.774,3.077,5.327999999999999,5.337000000000001,8.281,90.0,90.0,90.0,-6.199
160,164,-2.925,0.18,12.765,0.226,5.1339999999999995,5.797000000000001,8.578,90.0,90.0,90.0,-8.901
161,165,-1.125,1.332,10.496,0.0,3.7439999999999998,3.7439999999999998,3.7439999999999998,90.0,90.0,90.0,-2.445
162,166,-1.246,1.4369999999999998,10.465,0.0,3.74,3.74,3.74,90.0,90.0,90.0,-3.306
163,167,-3.3160000000000003,0.253,13.622,3.807,6.086,6.086,6.086,53.8,53.8,53.8,-6.621
164,168,-1.324,1.168,10.214,0.0,3.71,3.71,3.71,90.0,90.0,90.0,0.597
165,169,-2.376,1.031,13.345,0.0,4.056,4.056,4.056,90.0,90.0,90.0,-0.122
166,171,-3.357,0.238,12.949000000000002,3.715,5.966,5.966,5.966,54.1,54.1,54.1,-6.308
167,172,-2.354,0.201,11.102,1.524,5.22,5.226,8.141,90.0,90.0,90.0,-5.702000000000001
168,173,-0.63,1.482,11.877,0.0,3.9010000000000002,3.9010000000000002,3.9010000000000002,90.0,90.0,90.0,0.139
169,174,-1.982,0.285,14.152,2.012,5.624,6.742999999999999,7.4639999999999995,90.0,90.0,90.0,-16.374000000000002
170,175,-3.335,0.226,13.793,3.69,5.461,5.529,9.137,90.0,90.0,90.0,-6.662000000000001
171,176,-0.6829999999999999,1.686,8.215,0.0,3.45,3.45,3.45,90.0,90.0,90.0,-6.246
172,177,-3.397,0.225,12.134,3.815,5.7860000000000005,5.7860000000000005,5.7860000000000005,55.1,55.1,55.1,-5.759
173,178,-1.168,1.6909999999999998,10.399,0.0,3.7319999999999998,3.7319999999999998,3.7319999999999998,90.0,90.0,90.0,-5.359
174,179,-1.359,1.2819999999999998,10.42,0.0,3.735,3.735,3.735,90.0,90.0,90.0,-2.158
175,180,-1.574,1.028,12.186,0.0,3.935,3.935,3.935,90.0,90.0,90.0,3.998
176,181,-1.971,0.321,11.427,2.09,5.461,5.978,7.002000000000001,90.0,90.0,90.0,-11.819
177,182,-1.999,0.882,13.005,0.0,4.021,4.021,4.021,90.0,90.0,90.0,4.777
178,183,-3.233,0.28,13.108,3.042,5.495,5.5089999999999995,8.66,90.0,90.0,90.0,-7.0310000000000015
179,184,-0.821,1.308,9.43,0.0,3.613,3.613,3.613,90.0,90.0,90.0,-3.057
180,185,-3.234,0.268,13.507,1.4680000000000002,5.4479999999999995,5.46,9.082,90.0,90.0,90.0,-1.4069999999999998
181,186,-0.857,1.298,11.825,0.0,3.8960000000000004,3.8960000000000004,3.8960000000000004,90.0,90.0,90.0,1.9
182,187,-2.259,0.768,16.861,2.193,4.385,4.385,4.385,90.0,90.0,90.0,5.433
183,188,-1.959,0.29100000000000004,12.675,0.0,5.4670000000000005,5.475,8.47,90.0,90.0,90.0,-4.904
184,189,-0.438,1.454,11.84,0.0,3.897,3.897,3.897,90.0,90.0,90.0,-3.303
185,190,-3.256,0.274,12.876,2.97,5.468999999999999,5.484,8.587,90.0,90.0,90.0,-6.858
186,191,-3.213,0.28600000000000003,13.347,2.935,5.529,5.537000000000001,8.72,90.0,90.0,90.0,-7.082000000000002
187,192,-0.417,1.564,12.279000000000002,0.0,3.945,3.945,3.945,90.0,90.0,90.0,-0.923
188,193,-3.306,0.21600000000000005,13.362,1.93,5.412000000000001,5.435,9.086,90.0,90.0,90.0,-2.763
189,194,0.71,2.952,15.861,0.0,4.296,4.296,4.296,90.0,90.0,90.0,-15.897
190,195,-1.244,1.157,11.970999999999998,0.0,3.912,3.912,3.912,90.0,90.0,90.0,3.045
191,196,-0.6659999999999999,1.433,11.614,0.0,3.872,3.872,3.872,90.0,90.0,90.0,-2.563
192,197,-0.871,1.331,11.595999999999998,0.0,3.87,3.87,3.87,90.0,90.0,90.0,0.5760000000000001
193,198,-1.11,1.3119999999999998,12.983,0.0,4.019,4.019,4.019,90.0,90.0,90.0,1.822
194,199,-1.867,1.669,12.556,0.0,3.9739999999999998,3.9739999999999998,3.9739999999999998,90.0,90.0,90.0,-4.725
195,200,-1.991,1.033,8.794,0.0,3.53,3.53,3.53,90.0,90.0,90.0,5.627999999999999
196,201,-3.267,0.27,12.728,3.072,5.45,5.462000000000001,8.551,90.0,90.0,90.0,-6.818
197,202,-1.209,1.317,12.859000000000002,0.0,4.006,4.006,4.006,90.0,90.0,90.0,-1.044
198,203,-2.765,0.194,13.698,0.445,5.2589999999999995,5.926,8.791,90.0,90.0,90.0,-10.222
199,204,-2.219,0.753,12.82,0.0,4.002,4.002,4.002,90.0,90.0,90.0,5.56
200,205,-3.197,0.251,13.312,3.738,6.025,6.025,6.025,54.0,54.0,54.0,-6.525
201,206,-1.22,1.178,11.777,0.0,3.89,3.89,3.89,90.0,90.0,90.0,2.474
202,207,-0.8009999999999999,1.416,13.852,0.0,4.107,4.107,4.107,90.0,90.0,90.0,1.55
203,208,-2.164,1.466,18.528,0.0,4.525,4.525,4.525,90.0,90.0,90.0,-2.435
204,209,-2.161,1.032,11.337,0.0,3.841,3.841,3.841,90.0,90.0,90.0,0.011
205,210,-1.911,0.19,12.152,0.638,5.285,5.41,8.5,90.0,90.0,90.0,-6.702000000000001
206,211,-3.378,0.237,12.404000000000002,3.756,5.827999999999999,5.827999999999999,5.827999999999999,55.1,55.1,55.1,-6.024
207,212,-2.94,0.452,13.853,0.0,5.72,5.961,8.125,90.0,90.0,90.0,2.358
208,213,-2.799,0.149,9.609,1.47,5.004,5.03,7.636,90.0,90.0,90.0,-0.475
209,214,-1.67,0.951,12.242,0.0,3.9410000000000003,3.9410000000000003,3.9410000000000003,90.0,90.0,90.0,4.827
210,215,-3.324,0.236,13.18,3.81,6.002999999999999,6.002999999999999,6.002999999999999,54.1,54.1,54.1,-6.49
211,216,-2.923,0.124,11.845,0.0,5.119,5.58,8.294,90.0,90.0,90.0,-7.558
212,217,-0.72,1.614,10.398,0.0,3.7319999999999998,3.7319999999999998,3.7319999999999998,90.0,90.0,90.0,-5.063
213,218,-2.1830000000000003,1.117,13.936,0.0,4.115,4.115,4.115,90.0,90.0,90.0,-1.156
214,219,-2.622,-0.109,16.601,2.97,5.879,6.527,8.652999999999999,90.0,90.0,90.0,-2.465
215,220,0.229,1.337,12.735,0.0,3.9930000000000003,3.9930000000000003,3.9930000000000003,90.0,90.0,90.0,-3.674
216,221,-1.712,0.644,9.746,0.0,3.653,3.653,3.653,90.0,90.0,90.0,1.5830000000000002
217,222,-0.521,0.925,11.453,0.0,3.8539999999999996,3.8539999999999996,3.8539999999999996,90.0,90.0,90.0,1.088
218,223,0.26,1.257,13.197,0.0,4.041,4.041,4.041,90.0,90.0,90.0,-1.212
219,224,-0.852,1.183,7.706,0.923,3.377,3.377,3.377,90.0,90.0,90.0,2.629
220,225,-2.111,0.232,18.14,0.0,5.93,6.407,9.549,90.0,90.0,90.0,-8.868
221,226,-1.008,1.015,8.407,0.0,3.477,3.477,3.477,90.0,90.0,90.0,-2.418
222,227,-0.33,1.13,15.153,0.0,4.231,4.231,4.231,90.0,90.0,90.0,-3.743
223,228,-2.182,0.134,13.764,0.0,5.449,5.93,8.52,90.0,90.0,90.0,-8.351
224,229,0.08199999999999999,1.51,13.588,0.0,4.081,4.081,4.081,90.0,90.0,90.0,-5.71
225,230,-0.902,1.665,18.283,0.0,4.505,4.505,4.505,90.0,90.0,90.0,-7.2189999999999985
226,231,-0.584,0.82,9.799,0.0,3.659,3.659,3.659,90.0,90.0,90.0,0.08900000000000001
227,232,-1.192,0.772,10.907,0.0,3.792,3.792,3.792,90.0,90.0,90.0,0.789
228,233,0.861,2.563,17.457,0.0,4.436,4.436,4.436,90.0,90.0,90.0,-3.766
229,234,-0.301,0.8809999999999999,10.145,0.0,3.702,3.702,3.702,90.0,90.0,90.0,-0.831
230,235,-1.3019999999999998,1.3869999999999998,15.714,0.0,4.283,4.283,4.283,90.0,90.0,90.0,-5.336
231,236,-1.376,1.295,15.254,0.0,4.2410000000000005,4.2410000000000005,4.2410000000000005,90.0,90.0,90.0,-4.874
232,237,-2.292,0.022,14.25,0.0,5.528,5.937,8.683,90.0,90.0,90.0,-8.456
233,238,-0.747,0.805,10.955,0.0,3.798,3.798,3.798,90.0,90.0,90.0,-0.7240000000000001
234,239,-0.941,0.8320000000000001,10.821,0.0,3.782,3.782,3.782,90.0,90.0,90.0,-0.391
235,240,-1.22,1.399,16.257,0.0,4.332,4.332,4.332,90.0,90.0,90.0,-5.81
236,241,-0.909,0.7070000000000001,10.602,0.0,3.7569999999999997,3.7569999999999997,3.7569999999999997,90.0,90.0,90.0,1.493
237,242,-2.012,0.773,13.462,0.0,4.0680000000000005,4.0680000000000005,4.0680000000000005,90.0,90.0,90.0,0.248
238,243,0.404,1.59,14.238,0.0,4.145,4.145,4.145,90.0,90.0,90.0,-5.4270000000000005
239,244,-1.34,1.356,15.474,0.0,4.261,4.261,4.261,90.0,90.0,90.0,-5.112
240,245,-0.473,1.172,13.685,0.0,4.09,4.09,4.09,90.0,90.0,90.0,-3.437
241,246,-0.244,0.958,11.93,0.0,3.907,3.907,3.907,90.0,90.0,90.0,0.02
242,247,-1.727,-0.173,15.098,3.052,4.836,5.454,11.449000000000002,90.0,90.0,90.0,-9.214
243,248,-1.048,1.6030000000000002,17.892,0.0,4.4719999999999995,4.4719999999999995,4.4719999999999995,90.0,90.0,90.0,-6.72
244,249,-0.236,1.588,9.144,0.0,3.576,3.576,3.576,90.0,90.0,90.0,-5.542999999999998
245,250,-1.487,1.231,14.534,0.0,4.173,4.173,4.173,90.0,90.0,90.0,-4.14
246,251,-0.852,1.261,10.925,0.0,3.7939999999999996,3.7939999999999996,3.7939999999999996,90.0,90.0,90.0,-3.805
247,252,-0.981,0.7829999999999999,10.859000000000002,0.0,3.787,3.787,3.787,90.0,90.0,90.0,-0.345
248,253,-1.092,0.6829999999999999,12.158,0.0,3.932,3.932,3.932,90.0,90.0,90.0,3.029
249,254,-1.63,0.131,12.895,2.122,5.1160000000000005,5.131,9.824,90.0,90.0,90.0,-9.344
250,255,-1.53,0.693,12.927,0.0,4.013,4.013,4.013,90.0,90.0,90.0,2.989
251,256,-1.017,1.601,17.618,0.0,4.45,4.45,4.45,90.0,90.0,90.0,-6.772
