,Unnamed: 0,num_electron,latt const,tetragonality,e_form,pol fermi,mu_b,mu_b saturation
258,258,28,5.55,1.0,-0.321,100.0,4.0,867.98
259,259,28,5.7,1.0,-0.056,94.02,4.006,802.44
260,260,28,5.948,0.9993,0.062,87.28,4.0661,717.31
261,261,27,5.74,1.0,-0.201,54.0,5.9605,1169.16
262,262,27,5.43,1.2118,-0.111,56.93,6.6536,1272.21
263,263,27,5.65,1.2354,0.172,46.73,7.1541,1191.05
264,264,28,5.61,1.0,-0.329,44.51,5.0667,1064.54
265,265,28,5.7155,0.9998,-0.116,48.39,5.2807,1049.36
266,266,28,6.0127,1.0027,0.043,42.85,6.5086,1107.7
267,267,29,5.5524,1.0001,-0.289,48.38,5.0315,1090.32
268,268,29,5.74,1.0,-0.037000000000000005,0.32,5.7639999999999985,1130.62
269,269,29,5.987,0.9995,0.058,27.48,6.0872,1052.82
270,270,28,5.056,1.4727,-0.19,64.3,5.8097,1132.27
271,271,28,5.77,1.0,-0.049,79.39,6.0409,1166.54
272,272,28,6.05,1.0,0.244,79.59,6.5959,1104.93
273,273,29,5.59,1.0,-0.226,81.65,4.3846,931.15
274,274,29,5.0578,1.4637,-0.08900000000000001,54.22,5.5796,1092.94
275,275,29,5.2541,1.4938,0.059,48.36,5.8411,1000.09
276,276,30,5.4186,1.0599,-0.202,47.93,3.7875,833.19
277,277,30,5.72,1.0,0.05,49.0,4.848,960.95
278,278,30,5.9538,1.0104,0.16399999999999998,65.86,5.2371,911.03
279,279,29,4.9494,1.5606,-0.27,19.72,4.5692,895.85
280,280,29,4.9986,1.5315,-0.16699999999999998,32.84,4.7697,924.99
281,281,29,5.2056,1.5535,0.096,64.88,5.1293,868.29
282,282,30,4.9287,1.5014,-0.327,2.56,4.6756,964.86
283,283,30,5.0188,1.5075,-0.165,5.79,4.8274,939.74
284,284,30,5.2189999999999985,1.5298,-0.042,14.2,4.9502,844.38
285,285,31,5.3607,1.1005,-0.236,23.36,3.0197,660.73
286,286,31,5.0354,1.5397,-0.083,4.36,5.5457,1046.53
287,287,31,5.2267,1.54,0.002,30.79,5.3721,906.31
288,288,22,6.2276,0.9991,-0.5670000000000001,0.0,0.0,0.0
289,289,22,6.24,1.0,-0.435,0.02,0.0002,0.03
290,290,22,6.4522,1.0016,-0.26,0.02,0.0002,0.03
291,291,23,6.13,1.0,-0.6659999999999999,0.0,0.0,0.0
292,292,23,6.216,0.9997,-0.535,0.0,0.0,0.0
293,293,23,6.4312,0.9997,-0.526,0.03,0.0004,0.06
294,294,24,6.07,1.0,-0.66,0.0,0.0,0.0
295,295,24,6.2,1.0,-0.5379999999999999,0.01,0.0,0.0
296,296,24,6.39,1.0,-0.605,0.01,0.0,0.0
297,297,23,6.0858,1.0002,-0.765,0.0,0.0,0.0
298,298,23,6.1,1.0,-0.623,0.0,0.0,0.0
299,299,23,6.314,0.9989,-0.34700000000000003,0.0,0.0001,0.01
300,300,24,5.9958,1.0,-0.8959999999999999,0.01,0.0,0.0
301,301,24,6.0797,1.0002,-0.708,0.01,0.0,0.0
302,302,24,6.29,1.0,-0.604,0.01,0.0,0.0
303,303,25,5.7232,1.1477,-0.612,0.0,0.0,0.0
304,304,25,5.8325,1.1516,-0.454,0.0,0.0,0.0
305,305,25,6.0283,1.1435,-0.457,0.0,0.0,0.0
306,306,24,5.9945,1.0,-0.628,0.02,0.0,0.0
307,307,24,6.0142,1.0002,-0.458,0.0,0.0,0.0
308,308,24,6.2309,0.9998,-0.115,0.01,0.0,0.0
309,309,25,5.93,1.0,-0.565,85.07,0.9479,168.63
310,310,25,6.0247,1.0005,-0.36,99.0,1.0,169.55
311,311,25,6.24,1.0,-0.191,0.84,0.0036,0.55
312,312,26,5.55,1.218,-0.343,3.35,0.0471,8.39
313,313,26,6.07,1.0,-0.121,96.54,1.928,319.79
314,314,26,5.8518,1.2114,-0.118,0.03,0.0002,0.03
315,315,25,5.9697,0.9999,-0.34700000000000003,92.21,1.071,186.78
316,316,25,5.9937,1.0002,-0.18600000000000005,90.72,1.1539,198.74
317,317,25,6.22,1.0,0.157,88.03,1.2682,195.5
318,318,26,5.9221,1.0,-0.413,97.16,2.0034,357.8
319,319,26,6.0108,1.0001,-0.217,86.97,2.0241,345.73
320,320,26,6.24,1.0,-0.079,71.39,2.0577,314.16
321,321,27,5.92,1.0,-0.22,96.92,2.9699,531.01
322,322,27,6.05,1.0,-0.042,95.5,2.9478,493.81
323,323,27,6.2258,1.0087,-0.019,98.62,3.0034,457.73
324,324,26,5.9759,0.9997,-0.399,60.72,2.1106,367.0
325,325,26,5.996,1.0,-0.254,62.9,2.1457,369.26
326,326,26,6.2306,0.9999,0.076,70.11,2.2152,339.79
327,327,27,5.9166,0.9996,-0.465,96.58,3.011,539.5
328,328,27,6.0069,1.0001,-0.264,94.43,3.0349,519.35
329,329,27,6.2356,1.0,-0.134,90.83,3.0859,472.12
330,330,28,5.91,1.0,-0.308,96.13,3.9618,711.96
331,331,28,6.04,1.0,-0.129,92.31,3.9508,665.12
332,332,28,6.24,1.0,-0.126,95.58,4.0241,614.39
333,333,27,5.98,1.0,-0.305,79.09,3.1046,538.55
334,334,27,5.9964,1.0005,-0.149,82.14,3.1606,543.48
335,335,27,6.23,1.0,0.174,79.37,3.2673,501.25
336,336,28,5.91,1.0,-0.362,73.14,3.9022,701.25
337,337,28,6.01,1.0,-0.159,77.06,4.0354,689.59
338,338,28,6.23,1.0,-0.046,66.57,4.147,636.2
339,339,29,5.8963,0.9982,-0.191,70.39,4.1472,751.84
340,340,29,6.02,1.0,-0.01,81.74,4.2502,722.68
341,341,29,6.22,1.0,0.0,71.95,4.388,676.43
342,342,28,5.95,1.0,-0.152,29.38,2.1645,381.18
343,343,28,5.97,1.0,0.002,36.96,1.6152,281.6
344,344,28,6.175,0.9969,0.366,1.93,0.2047,32.35
345,345,29,5.87,1.0,-0.242,27.77,1.9178,351.74
346,346,29,5.96,1.0,-0.032,24.61,1.9867,348.11
347,347,29,6.1683,0.9986,0.118,48.23,3.0292,479.45
348,348,30,5.84,1.0,-0.151,5.88,2.2273,414.83
349,349,30,5.98,1.0,0.05,5.98,2.5327,439.35
350,350,30,6.19,1.0,0.093,57.07,2.8044,438.63
351,351,29,5.94,1.0,-0.185,0.0,0.0,0.0
352,352,29,5.956,1.0002,-0.048,0.0,0.0001,0.02
353,353,29,6.183,1.0025,0.295,1.89,0.4478,70.1
354,354,30,5.8584,0.9999,-0.297,2.65,0.2722,50.22
355,355,30,5.9512,0.9999,-0.08900000000000001,0.5,0.4651,81.87
356,356,30,6.19,1.0,0.068,34.34,1.798,281.22
357,357,31,5.8253,0.9997,-0.232,0.0,0.0001,0.02
358,358,31,5.96,1.0,-0.017,0.0,0.0008,0.14
359,359,31,6.18,1.0,0.037000000000000005,33.41,1.6166,254.08
360,360,24,5.97,1.0,-0.51,0.05,0.0001,0.02
361,361,24,5.97,1.0,-0.438,0.03,0.0001,0.02
362,362,24,6.21,1.0,-0.246,0.02,0.0,0.0
363,363,25,5.87,1.0,-0.581,100.0,1.0,183.41
364,364,25,5.9621,0.9999,-0.461,93.33,1.0143,177.56
365,365,25,6.21,1.0,-0.424,87.62,1.0378,160.76
366,366,26,5.8344,0.9996,-0.552,67.39,2.0,373.72
367,367,26,5.99,1.0,-0.408,87.34,1.997,344.69
368,368,26,6.22,1.0,-0.414,100.0,2.0,308.31
369,369,25,5.83,1.0,-0.621,60.07,1.0,187.21
370,370,25,5.83,1.0,-0.525,91.02,1.0005,187.3
371,371,25,6.07,1.0,-0.251,88.37,1.0284,170.58
372,372,26,5.75,1.0,-0.669,7.5,2.0,390.26
373,373,26,5.8394,1.0006,-0.505,14.8,2.0,372.37
374,374,26,6.09,1.0,-0.397,100.0,2.0,328.48
375,375,27,5.22,1.2989,-0.614,22.88,0.9248,185.7
376,376,27,5.38,1.277,-0.408,67.19,0.9743,181.76
377,377,27,5.78,1.1574,-0.322,7.78,1.2418,206.11
378,378,26,5.74,1.0,-0.412,94.88,1.9985,392.01
379,379,26,5.7561,1.0,-0.29600000000000004,100.0,2.0,389.03
380,380,26,6.0,1.0,0.017,94.62,2.0031,344.01
381,381,27,5.21,1.2687,-0.448,51.51,0.9313,192.55
382,382,27,5.2646,1.2922,-0.263,13.5,0.923,181.6
383,383,27,6.02,1.0,-0.092,70.08,3.0,510.1
384,384,28,4.9881,1.4113,-0.423,0.0,0.0001,0.02
385,385,28,5.1288,1.4031,-0.16899999999999998,0.03,0.0002,0.04
386,386,28,6.02,1.0,0.001,9.32,3.6913,627.65
387,387,27,5.704,1.0001,-0.233,100.0,3.0,599.57
388,388,27,5.7241,0.9986,-0.105,94.22,3.0259,599.32
389,389,27,5.98,1.0,0.207,88.65,3.165,549.03
390,390,28,5.6335,0.9995,-0.31,100.0,4.0,830.36
391,391,28,5.74,1.0,-0.111,100.0,4.0,784.61
392,392,28,5.99,1.0,0.016,91.25,4.019,693.69
393,393,29,4.95,1.4121,-0.268,29.41,1.2939,280.25
394,394,29,5.1204,1.389,-0.015,14.29,1.3838,275.29
395,395,29,6.0086,1.0001,0.051,100.0,5.0,854.89
396,396,28,5.7,1.0,-0.35600000000000004,59.7,4.0235,805.95
397,397,28,5.7183,1.0002,-0.228,72.89,4.0987,813.01
398,398,28,5.9839,0.9998,0.069,2.06,4.4315,767.41
399,399,29,5.6301,0.9997,-0.441,100.0,5.0,1039.59
400,400,29,5.7347,1.0002,-0.248,99.46,5.0,983.33
401,401,29,5.99,1.0,-0.131,76.76,5.0283,867.9
402,402,30,5.6382,0.9995,-0.314,100.0,5.9999,1242.43
403,403,30,5.7963,0.9988,-0.126,95.58,5.9966,1143.66
404,404,30,6.018,1.0011,-0.087,100.0,6.0,1020.09
405,405,29,5.7,1.0,-0.359,74.69,4.9910000000000005,999.75
406,406,29,5.72,1.0,-0.231,74.39,5.0109,993.24
407,407,29,5.98,1.0,0.065,31.78,5.1132,886.99
408,408,30,5.627999999999999,0.9992,-0.354,72.34,5.48,1141.24
409,409,30,5.74,1.0,-0.163,67.99,5.6579,1109.8
410,410,30,5.9935,1.0033,-0.039,68.56,5.7037,979.57
411,411,31,5.1947,1.2352,-0.247,6.49,4.6553,997.36
412,412,31,5.38,1.2193,-0.038,11.48,5.0427,985.19
413,413,31,5.63,1.1918,0.029,14.9,4.8951,853.79
414,414,30,5.68,1.0,-0.22,67.49,4.0336,816.54
415,415,30,5.7,1.0,-0.09,69.43,4.0989,821.05
416,416,30,5.97,1.0,0.209,74.43,4.3081,751.09
417,417,31,5.07,1.3156,-0.285,62.54,2.8601,618.82
