,Unnamed: 0,pf_n,pf_p,s_n,s_p,m_n,m_p
33,33,0.778,0.27,-544.0,712.0,1.38,10.8
34,34,0.13,0.436,-784.0,714.0,14.4,39.2
35,35,1.96,1.12,-588.0,636.0,0.758,3.03
36,36,1.59,0.823,-510.0,623.0,0.586,3.14
37,37,0.763,0.799,-595.0,571.0,1.58,2.77
38,38,0.935,0.307,-386.0,586.0,0.449,2380.0
39,39,0.972,0.125,-376.0,716.0,0.409,3.22
40,40,0.89,0.108,-478.0,792.0,0.728,102.0
41,41,0.629,0.975,-497.0,471.0,1.12,1.27
42,42,0.595,0.589,-508.0,609.0,1.78,1.63
43,43,0.907,0.124,-401.0,785.0,0.501,20.1
44,44,0.248,0.156,-669.0,779.0,5.6,25.6
45,45,1.02,0.172,-535.0,739.0,1710.0,8.51
46,46,1.03,0.294,-347.0,646.0,0.329,1.15
47,47,1.09,0.166,-278.0,687.0,0.203,1.32
48,48,0.795,0.526,-542.0,576.0,1.16,1.7
49,49,0.539,0.187,-512.0,659.0,1.38,4.12
50,50,0.489,0.422,-543.0,668.0,2.88,10.8
51,51,0.546,0.438,-590.0,652.0,3.51,2.52
52,52,1.54,1.21,-307.0,453.0,0.335,0.974
53,53,0.6709999999999999,0.556,-606.0,621.0,2.76,3.67
54,54,1.22,0.21,-637.0,698.0,1.21,10.2
55,55,2.14,2.02,-538.0,531.0,0.381,0.404
56,56,1.13,1.16,-700.0,719.0,1.22,1.19
57,57,1.02,0.715,-308.0,418.0,0.263,0.77
58,58,1.6,2.1,-463.0,462.0,0.378,0.28800000000000003
59,59,0.857,0.373,-752.0,824.0,1.86,4.28
60,60,0.993,0.0665,-170.0,579.0,0.08199999999999999,1.24
61,61,1.01,0.162,-378.0,745.0,0.398,2.48
62,62,0.872,1.21,-646.0,603.0,1.35,0.977
63,63,0.322,0.231,-560.0,646.0,3.11,7.13
64,64,1.44,1.01,-538.0,541.0,0.596,1.55
65,65,1.47,1.07,-537.0,537.0,0.5820000000000001,1.57
66,66,0.0135,3.88,-957.0,470.0,723.0,1.57
67,67,1.53,1.19,-548.0,530.0,0.579,1.57
68,68,1.54,1.19,-547.0,530.0,0.574,1.58
69,69,0.443,0.0577,-577.0,732.0,3.08,20.4
70,70,0.41,0.0597,-608.0,734.0,3.91,22.3
71,71,0.885,0.0567,-405.0,805.0,0.523,12.8
72,72,0.873,0.122,-416.0,693.0,0.56,6.38
73,73,0.596,0.366,-688.0,721.0,7.58,15.2
74,74,0.977,0.413,-482.0,568.0,1.19,3.18
75,75,0.825,0.0207,-437.0,837.0,0.652,33.7
76,76,0.223,0.126,-700.0,694.0,8.55,15.5
77,77,0.889,0.131,-410.0,786.0,0.534,4.1
78,78,1.12,0.0945,-287.0,756.0,0.208,6.19
79,79,1.49,0.872,-515.0,734.0,0.684,89.5
80,80,1.89,1.39,-499.0,711.0,0.684,59.2
81,81,1.08,0.647,-384.0,558.0,0.509,3.44
82,82,0.923,0.061,-403.0,812.0,0.4970000000000001,11.2
83,83,2.27,2.11,-478.0,379.0,0.415,0.568
84,84,0.868,0.589,-629.0,645.0,1.3,2.75
85,85,0.71,0.893,-703.0,653.0,4.59,5.47
86,86,0.0628,1.02,-832.0,719.0,31.2,1.91
87,87,2.21,3.22,-490.0,344.0,0.306,0.211
88,88,1.24,0.484,-410.0,462.0,0.384,0.993
89,89,1.0,0.17,-334.0,737.0,0.313,1.92
90,90,0.625,0.7120000000000001,-588.0,654.0,2.23,2.16
91,91,0.607,0.7609999999999999,-572.0,630.0,2.95,2.25
92,92,1.1,0.234,-324.0,568.0,0.279,2.66
93,93,1.06,0.2,-330.0,597.0,0.303,2.66
94,94,0.883,0.064,-407.0,781.0,0.53,8.71
95,95,0.89,0.02,-405.0,801.0,0.52,24.4
96,96,0.871,0.0141,-415.0,840.0,0.561,34.4
97,97,0.329,1.35,-817.0,729.0,6.55,1.43
98,98,0.594,0.515,-672.0,668.0,5.33,3.76
99,99,0.8909999999999999,0.0749,-398.0,785.0,0.502,18.2
100,100,1.05,0.949,-582.0,606.0,1.11,1.34
101,101,1.37,0.409,-338.0,425.0,0.481,1.13
102,102,0.599,0.4320000000000001,-562.0,591.0,2.22,2.46
103,103,0.72,0.0589,-459.0,818.0,0.8390000000000001,19.5
104,104,0.728,0.18,-476.0,854.0,0.879,3.56
105,105,1.15,1.48,-604.0,474.0,1.0,0.7659999999999999
106,106,1.04,0.301,-332.0,539.0,0.301,1.47
107,107,1.0,0.467,-485.0,561.0,1.26,2.9
108,108,1.02,0.7509999999999999,-495.0,516.0,1.38,2.19
109,109,0.917,0.16399999999999998,-403.0,734.0,0.505,3.17
110,110,0.444,0.464,-642.0,621.0,21.9,4.37
111,111,1.29,0.5770000000000001,-431.0,584.0,0.406,0.906
112,112,0.797,0.015,-448.0,922.0,0.711,51.0
113,113,0.933,0.241,-391.0,667.0,0.475,4.26
114,114,1.26,1.05,-453.0,497.0,1.26,1.43
115,115,0.923,0.0921,-399.0,708.0,0.487,6.09
116,116,1.17,0.317,-423.0,679.0,0.944,1.9
117,117,1.76,1.32,-593.0,719.0,3.25,20.6
118,118,0.604,0.6779999999999999,-721.0,658.0,6.71,3.06
119,119,0.948,0.0715,-420.0,739.0,0.737,9.55
120,120,1.55,1.33,-532.0,505.0,0.539,1.2
121,121,0.758,0.873,-519.0,468.0,1.13,0.877
122,122,0.916,0.182,-394.0,645.0,0.478,6.69
123,123,1.19,0.537,-340.0,483.0,0.488,0.8759999999999999
124,124,1.49,0.105,-501.0,708.0,0.508,7.79
125,125,1.25,1.35,-450.0,461.0,0.458,0.425
126,126,0.25,0.151,-810.0,860.0,7.39,12.2
127,127,0.162,0.255,-705.0,663.0,286.0,6.84
128,128,0.478,0.191,-636.0,692.0,163.0,600.0
129,129,0.436,0.319,-619.0,664.0,4.17,107.0
130,130,0.469,0.42,-619.0,667.0,5.56,31.1
131,131,0.7,1.28,-634.0,604.0,37.9,12.8
132,132,0.7979999999999999,1.37,-579.0,567.0,10.4,8.91
133,133,0.721,0.0979,-511.0,708.0,1.47,8.88
134,134,0.736,0.129,-442.0,726.0,0.753,13.8
135,135,0.397,0.512,-501.0,542.0,1.99,1.45
136,136,1.39,0.622,-460.0,512.0,1.17,2.05
137,137,0.198,0.161,-724.0,705.0,9.76,10.4
138,138,0.36,0.197,-548.0,684.0,2.57,10.6
139,139,1.17,0.755,-588.0,661.0,0.8320000000000001,1.29
140,140,0.884,0.0956,-397.0,661.0,0.503,4.65
141,141,1.36,1.29,-522.0,481.0,0.879,0.62
142,142,0.966,0.048,-384.0,708.0,0.445,10.1
143,143,1.08,0.0571,-345.0,796.0,0.31,5.86
144,144,0.8590000000000001,0.0657,-428.0,654.0,0.614,11.9
145,145,0.8590000000000001,0.0647,-440.0,759.0,0.637,14.3
146,146,0.904,0.0351,-416.0,813.0,0.546,21.9
147,147,0.404,0.478,-786.0,751.0,6.99,3.98
148,148,0.329,0.261,-645.0,719.0,4.32,6.74
149,149,0.35200000000000004,0.358,-659.0,706.0,4.52,5.02
150,150,0.7709999999999999,0.438,-638.0,667.0,1.86,2.95
151,151,0.8859999999999999,0.18600000000000005,-452.0,760.0,1.52,14.0
152,152,0.848,0.462,-427.0,602.0,0.618,1.44
153,153,0.309,0.0853,-597.0,780.0,3.25,15.6
154,154,1.12,0.747,-412.0,513.0,0.718,1.88
155,155,0.758,0.0894,-497.0,821.0,0.923,8.18
156,156,0.8109999999999999,0.192,-460.0,719.0,0.764,7.0
157,157,0.615,0.395,-519.0,679.0,1.37,16.3
158,158,0.875,0.0686,-407.0,751.0,0.5329999999999999,10.1
159,159,1.42,0.3720000000000001,-587.0,768.0,0.727,2.74
160,160,0.7759999999999999,0.00892,-459.0,883.0,0.7659999999999999,75.3
161,161,0.711,0.614,-656.0,728.0,1.84,2.35
162,162,0.905,0.0262,-413.0,846.0,0.535,29.0
163,163,1.09,0.202,-280.0,719.0,0.205,2.24
164,164,0.426,0.362,-805.0,770.0,5.27,6.16
165,165,1.26,0.917,-570.0,517.0,2.27,1.26
166,166,1.27,0.8440000000000001,-554.0,522.0,1.84,1.24
167,167,1.08,0.247,-294.0,498.0,0.224,1.31
168,168,0.856,0.38,-540.0,635.0,1.14,2.17
169,169,1.33,0.818,-466.0,513.0,1.28,1.83
170,170,0.985,0.29,-340.0,560.0,0.382,2.17
171,171,1.31,1.95,-626.0,518.0,0.895,2.07
172,172,1.08,0.361,-312.0,484.0,0.256,0.768
173,173,0.9,0.187,-409.0,661.0,0.56,4.96
174,174,1.78,0.49,-659.0,745.0,0.687,2.5
175,175,1.64,0.527,-656.0,737.0,0.7390000000000001,2.3
176,176,1.58,0.542,-656.0,733.0,0.7659999999999999,2.23
177,177,0.933,0.256,-390.0,754.0,0.47,9.33
178,178,1.11,0.123,-311.0,763.0,0.245,2.22
179,179,0.971,0.184,-527.0,674.0,0.862,5.01
180,180,1.05,0.629,-502.0,625.0,0.691,2.44
181,181,1.15,0.591,-460.0,627.0,0.52,3.04
182,182,0.924,0.519,-380.0,500.0,0.453,1.09
183,183,0.625,0.125,-625.0,719.0,1.76,8.8
184,184,0.962,0.0621,-394.0,761.0,0.455,9.29
185,185,0.802,0.0401,-431.0,742.0,0.654,14.6
186,186,0.807,0.0213,-438.0,897.0,0.67,31.9
187,187,1.03,0.189,-360.0,706.0,0.361,2.67
188,188,1.06,0.13699999999999998,-336.0,741.0,0.3,2.96
189,189,0.958,0.0474,-393.0,825.0,0.455,9.34
190,190,1.03,0.317,-616.0,713.0,1.07,3.84
191,191,1.32,2.36,-562.0,444.0,0.726,0.422
192,192,2.08,4.84,-485.0,352.0,1.59,0.344
193,193,0.917,0.128,-395.0,773.0,0.481,3.93
194,194,0.606,0.481,-634.0,614.0,2.08,3.11
195,195,0.934,0.128,-388.0,726.0,0.457,3.83
196,196,0.984,0.195,-379.0,575.0,0.441,2.14
197,197,0.8490000000000001,0.0194,-418.0,873.0,0.581,28.2
198,198,1.13,0.109,-275.0,591.0,0.189,2.24
199,199,0.328,0.27,-670.0,760.0,6.6,5.57
200,200,1.07,0.19,-320.0,717.0,0.269,1.52
201,201,0.789,0.192,-454.0,743.0,0.797,3.03
202,202,0.855,0.268,-633.0,747.0,1.39,4.22
203,203,0.92,0.6609999999999999,-528.0,527.0,0.88,1.4
204,204,1.19,0.667,-517.0,523.0,0.636,1.36
205,205,0.977,0.407,-393.0,516.0,0.467,1.32
206,206,0.951,0.403,-382.0,509.0,0.453,1.26
207,207,1.13,0.17,-329.0,726.0,0.3,3.07
208,208,1.28,0.85,-451.0,569.0,0.454,0.861
209,209,1.45,3.61,-391.0,207.0,0.298,0.119
210,210,0.0342,1.35,-814.0,563.0,383.0,12300.0
211,211,0.899,0.513,-441.0,526.0,0.745,1.45
212,212,0.906,0.0416,-412.0,861.0,0.528,11.5
213,213,0.852,0.084,-411.0,750.0,0.5670000000000001,6.91
214,214,1.81,0.8340000000000001,-437.0,514.0,1.48,1.75
215,215,0.898,0.0277,-403.0,873.0,0.513,28.4
216,216,0.8859999999999999,1.33,-494.0,477.0,1.18,1.11
217,217,0.508,0.13,-535.0,709.0,3.31,11.9
218,218,1.57,0.628,-467.0,657.0,0.392,0.978
219,219,1.05,4.6,-670.0,350.0,3.51,0.421
220,220,0.912,0.888,-438.0,452.0,0.659,0.94
221,221,0.184,0.213,-692.0,707.0,56.1,9.61
222,222,0.7290000000000001,0.374,-659.0,740.0,5.92,3.97
223,223,1.08,0.248,-254.0,562.0,0.17,2.47
224,224,1.52,0.708,-512.0,684.0,0.486,1.04
225,225,0.7090000000000001,0.112,-446.0,749.0,0.802,1260.0
226,226,0.5589999999999999,0.0312,-650.0,805.0,3.01,49.4
227,227,0.91,0.0336,-389.0,796.0,0.478,20.9
228,228,0.4320000000000001,0.244,-769.0,843.0,3.86,6.84
229,229,0.064,0.101,-801.0,822.0,56.8,20.7
230,230,0.0623,0.106,-784.0,811.0,228.0,40.3
231,231,1.05,0.0371,-330.0,748.0,0.292,10.6
232,232,0.904,0.0646,-444.0,747.0,0.617,9.11
233,233,0.8029999999999999,0.2,-440.0,774.0,0.685,2.82
234,234,0.765,0.00743,-436.0,808.0,0.701,72.3
235,235,0.936,0.0267,-378.0,804.0,0.436,23.0
236,236,1.03,0.18600000000000005,-345.0,570.0,0.324,1.87
237,237,0.906,0.0564,-401.0,783.0,0.501,10.4
238,238,1.26,0.4,-559.0,739.0,0.6990000000000001,3.15
239,239,2.64,1.19,-382.0,541.0,0.16,0.418
240,240,1.02,0.0351,-385.0,714.0,0.408,14.8
241,241,1.06,0.0299,-412.0,737.0,0.46,33.3
242,242,0.958,0.0238,-383.0,783.0,0.433,52.7
243,243,0.861,0.00397,-405.0,800.0,0.537,120.0
244,244,1.07,0.03,-344.0,759.0,0.312,11.1
245,245,0.369,0.6629999999999999,-715.0,673.0,4.02,11.0
246,246,0.89,0.259,-446.0,715.0,0.7809999999999999,4.05
247,247,0.905,0.0342,-386.0,721.0,0.464,18.9
248,248,0.732,0.0242,-459.0,918.0,0.8109999999999999,24.5
249,249,1.09,0.115,-287.0,801.0,0.213,2.02
250,250,0.936,0.0452,-396.0,867.0,0.472,9.77
251,251,0.88,0.0809,-404.0,788.0,0.525,6.75
252,252,0.254,0.175,-806.0,791.0,7.98,12.1
253,253,0.00106,0.000131,-854.0,788.0,2130.0,15700.0
254,254,0.84,0.0327,-422.0,888.0,0.598,15.4
255,255,1.28,0.984,-373.0,507.0,0.586,3.63
256,256,0.92,0.0484,-398.0,862.0,0.484,9.2
257,257,0.912,0.07339999999999999,-408.0,837.0,0.515,6.4
258,258,0.88,0.0132,-411.0,878.0,0.54,37.5
259,259,1.1,0.185,-225.0,567.0,0.135,0.773
260,260,0.795,0.0143,-442.0,879.0,0.6940000000000001,41.0
261,261,1.08,0.249,-437.0,662.0,1.05,2.58
262,262,0.307,1.0,-519.0,511.0,2.53,1.44
263,263,1.12,0.895,-500.0,577.0,0.644,1.82
264,264,1.25,0.944,-515.0,578.0,0.605,1.93
265,265,0.863,0.0913,-416.0,778.0,0.5660000000000001,14.3
266,266,1.04,0.124,-216.0,547.0,0.127,1.56
267,267,0.99,0.15,-411.0,717.0,0.56,9.28
268,268,1.04,0.0151,-372.0,806.0,0.376,67.2
269,269,0.491,0.942,-654.0,664.0,2.46,1.28
270,270,0.8759999999999999,0.267,-516.0,699.0,0.858,2.82
271,271,1.04,0.5529999999999999,-383.0,605.0,0.399,0.8540000000000001
272,272,0.404,0.0644,-730.0,873.0,3.72,23.3
273,273,0.826,0.0757,-606.0,908.0,1.25,13.7
274,274,0.522,0.091,-685.0,864.0,2.53,14.5
275,275,1.02,0.175,-356.0,758.0,0.348,2.03
276,276,0.984,0.188,-373.0,761.0,0.398,2.08
277,277,0.977,0.29,-378.0,733.0,0.412,1.39
278,278,1.52,0.236,-553.0,792.0,0.568,3.65
279,279,0.217,0.0683,-658.0,804.0,10.0,35.4
280,280,1.07,2.27,-539.0,518.0,1.0,0.369
281,281,0.16,0.0649,-719.0,748.0,54.1,1170.0
282,282,0.494,1.03,-808.0,744.0,4.09,1.79
283,283,1.79,0.5429999999999999,-525.0,676.0,0.494,1.49
284,284,0.76,0.787,-580.0,592.0,1.25,1.2
285,285,0.584,0.8270000000000001,-660.0,695.0,2.1,1.49
286,286,0.8740000000000001,0.259,-418.0,698.0,0.5710000000000001,1.92
287,287,0.969,0.0373,-398.0,764.0,0.46,22.2
288,288,1.43,0.887,-572.0,576.0,0.705,2.41
289,289,1.13,0.0435,-264.0,777.0,0.173,4.54
290,290,0.375,0.0813,-705.0,743.0,3.75,22.2
291,291,1.69,1.29,-557.0,541.0,1.76,1.73
292,292,0.8240000000000001,0.00705,-433.0,831.0,0.643,83.2
293,293,1.27,2.46,-724.0,478.0,1.61,0.996
294,294,0.7859999999999999,0.596,-468.0,492.0,0.85,1.05
295,295,0.863,0.1,-409.0,696.0,0.583,4.86
296,296,0.0559,0.028,-776.0,930.0,420.0,60.6
297,297,1.53,1.35,-681.0,490.0,1.5,0.984
298,298,0.93,0.0605,-406.0,742.0,0.504,20.5
299,299,1.18,0.0916,-658.0,729.0,1.03,13.3
300,300,1.03,0.355,-563.0,661.0,1.63,5.27
301,301,1.06,0.114,-323.0,758.0,0.281,3.54
302,302,1.31,0.375,-532.0,764.0,0.612,2.32
303,303,1.11,0.8640000000000001,-474.0,574.0,0.73,6.13
304,304,0.841,0.155,-419.0,727.0,0.59,3.34
305,305,1.01,0.231,-596.0,676.0,1.47,12.3
306,306,0.919,0.14300000000000002,-389.0,628.0,0.465,4.45
307,307,0.843,0.0352,-426.0,715.0,0.608,18.1
308,308,1.05,0.028,-413.0,784.0,0.462,109.0
309,309,1.16,0.3670000000000001,-679.0,703.0,1.12,3.76
310,310,0.763,0.252,-430.0,578.0,0.684,2.07
311,311,0.889,0.0506,-412.0,838.0,0.541,43.7
312,312,1.52,0.5660000000000001,-583.0,633.0,2.03,2.35
313,313,0.855,0.769,-536.0,544.0,1.01,1.05
314,314,0.971,0.00974,-381.0,784.0,0.421,104.0
315,315,1.07,0.21,-257.0,593.0,0.174,0.887
316,316,1.12,0.0588,-274.0,789.0,0.188,4.11
317,317,1.19,0.0886,-359.0,697.0,0.304,16.8
318,318,0.823,0.0357,-432.0,795.0,0.639,24.0
319,319,0.0924,0.104,-759.0,787.0,21.8,102.0
320,320,0.56,0.135,-718.0,735.0,4.46,12.1
321,321,0.967,0.308,-360.0,553.0,0.378,2.27
322,322,0.862,0.278,-445.0,606.0,0.6629999999999999,3.18
323,323,0.16899999999999998,0.00892,-651.0,843.0,9.1,160.0
324,324,0.185,0.00804,-647.0,844.0,7.87,171.0
325,325,0.897,0.0378,-391.0,767.0,0.487,24.6
326,326,0.8420000000000001,0.0239,-429.0,819.0,0.623,22.8
327,327,0.9,0.0358,-387.0,760.0,0.473,29.7
328,328,0.89,0.00854,-421.0,862.0,0.563,82.3
329,329,0.841,0.0762,-527.0,745.0,1.06,11.1
330,330,0.972,0.109,-565.0,790.0,0.926,8.24
331,331,0.8290000000000001,0.319,-159.0,66.4,0.093,0.226
332,332,1.29,0.979,-667.0,584.0,1.11,1.28
333,333,2.39,2.35,-531.0,522.0,0.332,0.339
334,334,0.271,0.0654,-599.0,627.0,4.03,30.4
335,335,1.58,0.398,-496.0,681.0,0.528,1.8
336,336,0.534,0.0879,-632.0,684.0,2.61,16.7
337,337,0.674,0.986,-640.0,496.0,2.2,1.21
338,338,1.07,0.181,-568.0,772.0,0.86,5.23
339,339,0.0194,0.00409,-686.0,643.0,68.3,324.0
340,340,0.0149,0.00617,-697.0,660.0,91.6,222.0
341,341,2.53,2.34,-514.0,526.0,0.294,0.318
342,342,1.06,0.049,-398.0,740.0,0.425,20.5
343,343,0.609,0.6,-658.0,608.0,11.7,2.81
344,344,1.63,0.532,-496.0,592.0,1.01,1.52
345,345,0.7609999999999999,0.72,-644.0,602.0,5.2,4.46
346,346,1.62,0.853,-507.0,633.0,0.448,0.85
347,347,0.501,1.68,-729.0,514.0,3.17,1.53
348,348,0.645,1.03,-643.0,494.0,2.38,1.16
349,349,0.634,0.491,-599.0,615.0,3.01,4.79
350,350,0.00593,0.0632,-858.0,742.0,446.0,132.0
351,351,0.889,0.122,-399.0,748.0,0.505,41.2
352,352,0.888,0.00894,-409.0,811.0,0.53,62.5
353,353,0.916,0.5670000000000001,-371.0,487.0,0.43,1.01
354,354,1.4,1.49,-635.0,539.0,1.93,1.1
355,355,0.946,0.0943,-369.0,675.0,0.409,98.8
356,356,0.955,0.0894,-364.0,683.0,0.395,146.0
357,357,0.438,0.121,-614.0,696.0,5.82,37.6
358,358,0.933,0.254,-398.0,617.0,0.491,3.61
359,359,1.08,0.0406,-347.0,790.0,0.315,8.34
360,360,0.8059999999999999,0.0138,-445.0,797.0,0.693,387.0
361,361,0.94,0.604,-371.0,482.0,0.422,0.977
362,362,0.899,0.439,-528.0,684.0,82200.0,38.4
363,363,0.915,0.0726,-410.0,840.0,0.518,6.52
364,364,0.19,0.14,-446.0,237.0,3.9,5.64
365,365,0.502,0.0948,-708.0,888.0,2.82,14.9
366,366,0.883,0.0618,-439.0,785.0,0.629,34.7
367,367,0.847,0.359,-498.0,618.0,0.862,4.36
368,368,0.958,0.0847,-408.0,693.0,0.512,27.1
369,369,1.73,1.06,-459.0,611.0,0.343,0.562
370,370,0.674,0.343,-577.0,683.0,1.39,2.73
371,371,0.946,0.478,-429.0,674.0,0.675,1.74
372,372,0.914,0.157,-395.0,608.0,0.485,8.98
373,373,0.7490000000000001,0.0137,-457.0,760.0,0.787,100.0
374,374,1.29,0.374,-472.0,675.0,1.07,2.03
375,375,1.08,0.0543,-346.0,787.0,0.313,6.2
376,376,0.8909999999999999,0.0379,-390.0,761.0,0.481,12.5
377,377,1.12,0.043,-270.0,786.0,0.183,4.78
378,378,0.818,0.00983,-406.0,784.0,0.568,47.3
379,379,1.12,0.0576,-290.0,669.0,0.213,5.72
380,380,1.07,2.41,-623.0,516.0,1.18,0.466
381,381,0.999,0.526,-377.0,465.0,0.412,0.763
382,382,1.21,0.276,-271.0,589.0,0.187,2.13
383,383,0.884,0.0241,-425.0,760.0,0.5770000000000001,33.5
384,384,0.981,0.185,-374.0,686.0,0.402,2.27
385,385,0.952,0.0302,-381.0,755.0,0.429,39.0
386,386,0.239,0.0377,-679.0,703.0,11.7,94.1
387,387,1.1,0.162,-240.0,639.0,0.149,1.0
388,388,1.6,0.371,-291.0,568.0,0.152,0.648
389,389,1.38,0.8740000000000001,-554.0,564.0,0.6459999999999999,1.8
390,390,1.41,0.945,-557.0,557.0,0.642,1.8
391,391,1.56,0.8540000000000001,-528.0,579.0,0.508,1.57
392,392,1.61,0.83,-523.0,583.0,0.484,1.51
393,393,1.61,0.853,-524.0,585.0,0.488,1.45
394,394,1.69,1.08,-517.0,548.0,0.453,1.25
395,395,1.64,1.09,-522.0,549.0,0.474,1.25
396,396,1.69,1.09,-518.0,557.0,0.457,1.18
397,397,0.978,0.371,-355.0,597.0,0.362,0.956
398,398,0.8140000000000001,0.152,-580.0,731.0,1.61,8.54
399,399,1.06,0.0657,-322.0,799.0,0.28,161.0
400,400,0.594,0.254,-510.0,648.0,1.55,3.23
401,401,0.8859999999999999,0.0326,-425.0,790.0,0.575,18.4
402,402,0.8859999999999999,0.374,-639.0,693.0,9.13,13.2
403,403,1.46,3.94,-506.0,496.0,0.496,0.184
404,404,1.25,0.426,-568.0,683.0,6.38,4.88
405,405,1.47,4.09,-655.0,390.0,0.985,0.93
406,406,0.823,0.363,-573.0,689.0,1.29,32.8
407,407,0.325,0.111,-710.0,733.0,5.27,13.9
408,408,1.06,0.108,-180.0,65.3,0.0859,0.8420000000000001
409,409,0.459,2.98,-711.0,621.0,4.54,1.06
410,410,0.0667,4.6,-840.0,552.0,31.0,1.55
411,411,0.599,2.75,-656.0,610.0,67.0,1.63
412,412,0.0468,0.466,-801.0,688.0,66.1,4.65
413,413,0.945,0.0173,-388.0,844.0,0.45,24.9
414,414,0.784,0.239,-421.0,577.0,0.638,2.09
415,415,1.03,0.642,-482.0,505.0,1.17,1.43
416,416,1.06,0.807,-490.0,485.0,1.25,1.28
417,417,0.848,0.643,-680.0,691.0,1.54,2.03
418,418,0.542,0.0822,-641.0,686.0,2.68,17.9
419,419,1.47,0.439,-382.0,567.0,0.309,2.43
420,420,1.8,2.2,-587.0,499.0,0.5379999999999999,0.441
421,421,1.07,0.182,-251.0,615.0,0.17,10.8
422,422,0.945,0.483,-298.0,256.0,0.348,0.8009999999999999
423,423,1.04,0.13699999999999998,-349.0,664.0,0.333,4.98
424,424,1.41,1.1,-684.0,652.0,1.32,4.92
425,425,0.299,0.234,-566.0,647.0,3.44,7.58
426,426,0.944,0.184,-399.0,697.0,0.493,8.79
427,427,1.01,0.451,-474.0,563.0,1.06,1.93
428,428,0.883,0.621,-420.0,492.0,0.6559999999999999,0.8
429,429,0.0022600000000000003,0.251,-916.0,691.0,1050.0,13.7
430,430,0.6459999999999999,0.101,-516.0,708.0,1.27,47.2
431,431,0.862,0.109,-449.0,695.0,0.664,7.49
432,432,0.565,0.173,-557.0,645.0,1.72,5.48
433,433,0.8759999999999999,0.215,-415.0,615.0,0.557,4.24
434,434,0.877,0.218,-415.0,614.0,0.555,4.14
435,435,0.794,0.123,-518.0,817.0,0.957,6.32
436,436,1.36,1.24,-449.0,478.0,1.51,0.596
437,437,1.7,2.31,-523.0,379.0,0.537,0.531
438,438,1.11,1.92,-475.0,379.0,1.75,0.484
439,439,1.0,0.713,-393.0,482.0,0.624,1.21
440,440,0.35600000000000004,0.325,-660.0,616.0,6.61,3.92
441,441,0.861,0.0601,-408.0,811.0,0.545,7.81
442,442,0.8809999999999999,0.06,-419.0,784.0,0.574,12.0
443,443,1.57,1.57,-547.0,497.0,0.595,1.12
444,444,1.53,1.26,-543.0,543.0,0.5529999999999999,7.41
445,445,0.5760000000000001,0.525,-549.0,599.0,1.66,3.19
446,446,0.794,0.638,-683.0,679.0,1.65,2.06
447,447,0.883,0.0452,-415.0,825.0,0.551,71.1
448,448,2.73,0.637,-452.0,479.0,4.0,6.39
449,449,0.0514,0.108,-825.0,794.0,43.1,19.0
450,450,1.04,0.14,-360.0,632.0,0.35200000000000004,6.09
451,451,0.6869999999999999,0.416,-589.0,677.0,1.52,4.56
452,452,0.918,0.18,-566.0,766.0,7.88,13.6
453,453,1.07,0.08,-194.0,611.0,0.101,1.92
454,454,1.13,0.229,-312.0,576.0,0.254,1.63
455,455,0.713,0.192,-508.0,663.0,1.04,5.1
456,456,0.314,0.109,-655.0,751.0,4.64,21.0
