,Unnamed: 0,epsilon_x opt,epsilon_y opt,epsilon_z opt,exfoliation_en,e_form,gap tbmbj,epsilon_x tbmbj,epsilon_y tbmbj,epsilon_z tbmbj,gap opt
36,36,11.9162,11.9166,6.2042,66.03520000000086,-1.093,,,,,0.0542
37,37,2.1592,2.4597,1.9728,90.85875000000021,-1.025,3.3201,1.9308,2.1493,1.7758,2.0905
38,38,4.6211,4.6211,3.1155,36.148499999999906,-1.419,,,,,0.0476
39,39,2.0269,2.0269,1.6711,110.77446153846138,-0.943,2.9786,1.8261,1.8259999999999998,1.5395,2.6803
40,40,11.7419,7.6448,2.4614,70.2695999999996,-1.281,,,,,0.0232
41,41,16.877,16.877,11.6213,49.72449999999995,-0.35100000000000003,,,,,0.008
42,42,28.9687,28.9687,2.9923,81.66794999999995,-0.018000000000000002,0.0031,118.825,117.4402,3.472,0.025
43,43,21.0765,21.0822,2.3198,80.01143333333304,-1.025,,,,,0.1738
44,44,,,,89.67209999999982,-1.172,,,,,
45,45,39.1862,39.1861,11.4886,43.28366666666695,-0.97,0.0009,120.2425,62.9081,27.5234,0.0522
46,46,9.7248,9.7248,7.3142,72.76900000000009,-0.7290000000000001,,,,,0.0867
47,47,14.2705,14.2705,8.1382,83.87628000000014,-0.16399999999999998,,,,,0.0178
48,48,2.4738,2.4738,2.2519,84.6315125,-0.004,,,,,1.8869
49,49,9.4178,9.4178,2.1991,85.46425000000025,-0.5,,,,,0.0374
50,50,2.6497,2.6497,2.4622,35.227500000000404,-1.983,,,,,2.4043
51,51,16.2078,25.199,2.7561,72.20308333333358,-0.40299999999999997,,,,,0.968
52,52,2.1597,1.864,1.9869999999999999,39.95116666666654,-2.91,,,,,3.2365
53,53,11.5718,6.8659,2.529,65.55280000000029,-0.316,,,,,1.2131
54,54,2.5865,2.7959,2.5026,39.206666666665946,-2.674,1.8598,2.6082,2.8268,2.4844,1.9939
55,55,1.661,1.6578,1.4719,140.2239999999999,-1.9080000000000001,,,,,3.1428
56,56,1.5508,1.5508,1.5392,77.91661666666666,-1.0859999999999999,,,,,4.3192
57,57,8.6822,8.6822,1.7738,72.44275,-1.59,,,,,0.0801
58,58,3.3891,3.3891,3.3439,40.33816666666734,-1.499,,,,,1.0297
59,59,25.5838,22.673000000000002,4.3943,317.5542833333332,0.254,,,,,0.0051
60,60,2.75,2.75,2.4768,34.444000000000585,-1.949,,,,,1.9126
61,61,11.7614,11.7614,3.4192,250.88752222222243,0.042,,,,,0.039
62,62,5.0528,5.0528,2.8787,78.65685000000022,-0.066,1.2395,5.3728,5.3709,3.1261,0.8731
63,63,8.4863,8.3397,2.7738,96.06600000000044,-1.167,,,,,0.0206
64,64,4.038,3.1097,1.7546,591.1875555555561,0.003,0.1513,12.3257,-6.0508,2.0563,0.0583
65,65,7.0736,7.0736,2.5776,83.18559999999997,0.003,,,,,0.1046
66,66,10.225,10.225,7.689,72.30686000000031,-0.126,,,,,0.8452
67,67,,,,39.4439999999996,-1.18,,,,,
68,68,8.9223,8.9224,3.9814,52.279200000000074,-1.268,0.0644,8.9014,8.8764,4.1779,0.1908
69,69,1.4975,1.5025,1.4949,25.860000000000657,-2.952,5.4502,1.4385,1.4419,1.4172,4.4611
70,70,3.8932,3.6958,2.6676,82.05915000000007,-0.002,,,,,1.2996
71,71,2.2525,2.2313,2.0969,85.35976666666667,-1.103,,,,,3.052
72,72,1.7987,1.7974,1.7353,77.13100000000007,-1.8869999999999998,4.1728,1.6986,1.6905,1.6219,4.0673
73,73,2.2976,2.2976,2.0613,50.76100000000049,-2.793,,,,,3.8469
74,74,2.0476,2.0476,2.0278,37.42599999999996,-3.085,,,,,3.8191
75,75,1.7543,1.6606,1.6774,40.421000000000255,-3.2089999999999996,,,,,5.3471
76,76,10.4576,11.6978,2.5999,57.60509999999997,-0.23600000000000002,0.0256,18.4082,21.601,2.549,0.0419
77,77,6.2952,15.1685,1.7209,70.15683333333334,-0.772,0.0282,10.2452,55.5577,1.9606,0.0076
78,78,1.9433,1.9433,1.5808,571.6572,0.875,,,,,0.0202
79,79,50.1586,50.1586,13.0956,60.31066666666707,-0.385,,,,,0.0022
80,80,2.8042,3.1111,2.0849,132.96399999999986,0.027000000000000003,,,,,1.3176
81,81,21.4301,21.4295,7.5446,57.52449999999998,-0.905,,,,,0.0228
82,82,20.7942,20.7942,1.8304,76.94366666666718,-0.7879999999999999,,,,,0.6285
83,83,41.8338,41.8338,1.6394,582.8843499999998,1.068,,,,,0.0102
84,84,4.5899,4.2193,3.3406,78.52966666666683,0.026000000000000002,,,,,1.4016
85,85,18.2885,18.2885,1.5135,493.944575,1.054,,,,,0.0146
86,86,32.8228,32.8228,3.5178,102.65783333333276,-0.214,,,,,0.0226
87,87,,,,64.13899999999995,-1.331,,,,,
88,88,4.4588,4.4588,2.9468,88.0183333333342,-0.33,,,,,0.1599
89,89,1.4844,1.4844,1.3283,76.45199999999973,-1.515,,,,,1.2173
90,90,1.6624,1.6624,1.5547,75.81966666666685,-3.3160000000000003,6.2266,1.6098,1.6095,1.5086,2.1852
91,91,2.4576,1.6944,3.7779,847.9855600000003,-0.39399999999999996,,,,,0.0295
92,92,1.9659,1.9659,1.8695,75.23144333333335,-0.809,,,,,3.2479
93,93,1.9637,1.9637,1.8673,75.79157833333333,-0.809,3.8447,1.8111,1.8176,1.6944,3.2484
94,94,2.6076,3.5072,2.1424,87.60257500000002,-0.36200000000000004,,,,,1.8951
95,95,6.6092,4.8701,3.6802,58.53462500000007,-0.986,,,,,0.0343
96,96,3.8502,5.7582,2.4643,111.75575000000038,0.11199999999999999,,,,,0.848
97,97,1.6062,1.6421,1.8002,245.36814285714303,-2.441,,,,,3.1074
98,98,9.5614,9.548,6.5749,205.38953333333333,-0.348,,,,,0.0862
99,99,3.3229,3.3229,2.873,221.50642857142878,-1.868,0.7251,3.0029,3.0052,2.5622,0.5558
100,100,20.043,19.9643,1.6518,464.33633333333285,0.092,,,,,0.217
101,101,1.3958,1.5323,1.4489,136.5129999999999,-0.025,,,,,1.2378
102,102,20.7524,20.7524,11.4611,1604.0382857142856,-1.063,,,,,0.0146
103,103,7.7061,7.7061,5.5238,45.92944999999993,-0.187,1.4241,4.687,4.6858,4.0087,0.5378
104,104,4.5306,4.0661,2.5351,128.90484999999984,-0.414,,,,,1.5751
105,105,18.048,18.0481,9.8581,71.7171999999997,0.064,,,,,0.7472
106,106,3.5037,3.4592,2.8305,55.688124999999644,-1.2690000000000001,,,,,1.2087
107,107,8.5711,8.5711,3.2334,67.29823333333364,-0.21899999999999997,,,,,0.0314
108,108,1.7275,1.7275,1.4979,87.45933333333332,-1.515,3.0525,1.6404,1.6411,1.4319,2.6399
109,109,3.1074,2.9098,2.2396,80.67774999999955,0.41100000000000003,,,,,2.066
110,110,3.0904,3.2046,2.5351,151.9247374999999,-0.34299999999999997,2.4046,2.517,2.5662,2.1319999999999997,1.7152
111,111,1.8669,2.3424,2.1576,96.57843333333328,-0.135,,,,,1.8769
112,112,1.9548,1.9548,1.3693,181.1937675,-0.06,,,,,1.1631
113,113,15.9257,9.7674,2.5249,98.21425000000029,-0.79,,,,,0.0014
114,114,1.8243,1.7752,1.6901,82.25175000000019,-2.294,4.0538,1.7744,1.7099,1.6714,3.909
115,115,6.1641,6.1641,2.1024,46.238428571428784,-2.068,,,,,0.1054
116,116,6.0043,6.0043,2.7848,66.8578000000002,-1.065,,,,,0.0401
117,117,23.9401,23.9401,5.1268,54.80574999999988,-1.4569999999999999,,,,,0.1019
118,118,2.1912,2.1912,1.8113,45.28120000000069,,0.0247,3.3629,3.3661,1.7718,0.107
119,119,2.1077,2.4487,2.2553,65.8954444444444,-0.21600000000000003,2.1596,1.9814,2.215,2.1862,1.7775
120,120,1.7131,1.4047,1.3032,135.73166666666657,0.48100000000000004,,,,,2.1703
121,121,1.0614,1.5029,1.0595,213.55706666666663,0.085,,,,,3.0112
122,122,1.4774,1.4774,1.5246,33.91985714285717,-2.122,4.0234,1.4815,1.4814,1.4824,2.5227
123,123,11.753,11.753,2.0695,65.11159999999938,-0.7929999999999999,,,,,0.0202
124,124,4.0623,4.0623,3.1133,105.22520000000002,-0.39899999999999997,2.0203,3.5860000000000003,3.5819,2.803,1.6457
125,125,10.6175,9.8764,2.9373,92.57233333333393,-1.163,,,,,0.0073
126,126,3.6058,3.7816,3.574,35.45787500000053,-2.02,0.917,3.5888,3.825,3.5354,0.8725
127,127,43.1056,43.1056,15.1049,52.76099999999939,,0.0018,138.0291,134.8854,31.6818,0.0342
128,128,2.8799,2.68,2.8109,95.85414999999963,-0.9359999999999999,1.7114,2.5497,2.4427,2.4874,1.4611
129,129,4.4979,4.2377,2.5781,78.16296666666656,-0.602,,,,,1.1372
130,130,2.0135,2.0135,1.9591,35.057333333333496,-3.285,4.8202,1.8997,1.9011,1.8266,4.4197
131,131,1.8814,1.946,1.7076,177.25290000000004,-1.9380000000000002,4.7519,1.6508,1.7008,1.5314,1.8057
132,132,2.9643,2.9643,2.7842,45.271999999999764,-1.859,2.8706,2.8678,2.8688,2.5908,2.6789
133,133,,,,65.97091249999998,-0.278,,,,,
134,134,3.0317,3.0317,2.5824,92.92850000000018,-1.03,,,,,0.0801
135,135,23.1684,23.1684,3.1431,101.17833333333336,-0.735,,,,,0.2159
136,136,4.4362,4.4362,2.6392,107.57923333333297,-0.272,,,,,1.3617
137,137,13.4135,13.4135,2.8226,96.41066666666643,-0.708,,,,,0.1358
138,138,,,,250.03606249999996,-0.24100000000000002,,,,,
139,139,2.506,2.506,2.1034,83.2788666666664,-0.35700000000000004,,,,,1.5529
140,140,3.0626,3.0626,2.1336,88.91933333333313,-1.597,,,,,1.2421
141,141,36.9276,36.9276,12.7798,946.4379999999996,-1.0090000000000001,,,,,0.0257
142,142,24.3189,24.3243,8.014,57.25087499999981,-0.9740000000000001,,,,,0.0078
143,143,19.9716,17.0957,7.7809,57.90412499999942,-1.166,,,,,0.0045
144,144,,,,1002.0007499999997,0.765,,,,,
145,145,,,,95.66425000000044,-0.745,,,,,
146,146,1.5034,1.5034,1.3822,499.20775,-1.024,,,,,2.8797
147,147,3.3766,3.3766,2.3639,75.37180000000009,-0.444,,,,,1.6513
148,148,3.0587,3.0587,2.2796,77.70775000000008,-0.466,,,,,1.7672
149,149,3.0804,3.0804,2.2865,77.55054999999976,-0.466,,,,,1.7897
150,150,2.5031,2.4949,1.3904,145.06616666666702,-0.171,,,,,1.2821
151,151,3.1788,3.1788,2.7779,88.5220000000002,-0.73,,,,,0.1714
152,152,,,,82.7905909090907,0.731,,,,,
153,153,2.0913,2.0215,1.8538,104.6412142857145,-0.044000000000000004,,,,,1.5652
154,154,,,,81.40550000000069,-1.18,,,,,
155,155,,,,54.29000000000084,-1.213,,,,,
156,156,1.7864,1.5633,1.5683,85.99066666666609,-0.585,,,,,1.1565
157,157,4.0103,4.0103,2.4969,80.23699999999945,-0.591,,,,,1.446
158,158,5.5521,4.3898,3.3716,58.41349999999989,-1.045,,,,,0.0245
159,159,5.7596,5.7595,2.4789,91.88233333333427,-1.0390000000000001,,,,,0.0988
160,160,17.3175,8.5861,3.4413,100.42208333333357,-0.242,,,,,0.0086
161,161,3.7758,3.7758,2.4454,79.63433333333381,-0.465,,,,,1.3336
162,162,4.1888,4.0435,3.2034,71.43224999999953,0.013999999999999999,0.24100000000000002,1.0,1.0,1.0,1.808
163,163,,,,109.77216666666666,-0.61,,,,,
164,164,2.6571,2.6571,2.4519,58.41826250000004,-0.523,,,,,1.8729
165,165,3.1692,3.1692,2.8549,87.1546666666667,-1.0590000000000002,,,,,0.0823
166,166,,,,85.90374999999996,-1.146,,,,,
167,167,,,,50.566833333333776,-0.222,,,,,
168,168,14.3415,14.3415,2.5696,85.56324999999988,-0.20199999999999999,,,,,0.0238
169,169,17.1627,17.1627,8.5067,47.499999999999865,-0.41,,,,,0.0166
170,170,4.0399,4.0399,2.3786,95.44433333333302,-1.306,,,,,0.0488
171,171,,,,74.82075000000022,-0.643,,,,,
172,172,1.8661,1.8661,1.6412,100.68399999999977,-1.328,,,,,3.1315
173,173,,,,168.46266666666662,-0.188,,,,,
174,174,,,,90.236,0.059000000000000004,,,,,
175,175,6.3444,6.3444,2.4654,89.71833333333291,-1.331,,,,,0.0895
176,176,,,,143.57175,-0.327,,,,,
177,177,8.9585,8.9585,2.6799,94.4846666666672,-1.068,,,,,0.0189
178,178,3.5074,3.5074,2.7815,98.26599999999974,-0.764,,,,,0.0582
179,179,,,,75.87883333333333,0.32299999999999995,,,,,
180,180,3.7882,3.7882,2.4359,76.27233333333281,-0.8190000000000001,,,,,1.3372
181,181,,,,70.53064999999981,-0.28600000000000003,,,,,
182,182,9.8961,6.742000000000001,2.9383,84.89891666666605,0.012,,,,,0.0101
183,183,,,,196.30610833333336,-0.373,,,,,
184,184,,,,211.1025666666664,-0.035,,,,,
185,185,2.4201,2.4201,2.2718,87.35653333333332,-0.5710000000000001,,,,,2.639
186,186,2.4801,2.4801,2.3253,88.93356666666668,-0.5710000000000001,,,,,2.6386
187,187,,,,200.2513666666665,-0.16699999999999998,,,,,
188,188,2.0734,2.0734,2.0089,75.37302749999998,-0.18,,,,,1.6657
189,189,,,,55.68093333333346,-1.544,,,,,
190,190,2.992,2.6208,2.4507,124.3515833333333,-0.382,,,,,1.5463
191,191,3.1629,3.1887,2.661,236.6321,-0.10099999999999999,,,,,1.189
192,192,,,,101.70320000000021,-0.151,,,,,
193,193,3.028,2.7434,1.9502,217.4879166666668,-0.218,,,,,1.8501
194,194,,,,200.95743333333328,-0.171,,,,,
195,195,,,,124.94709999999998,-0.254,,,,,
196,196,,,,61.94083333333322,-0.53,,,,,
197,197,1.2537,1.2537,1.141,108.17792500000013,-0.8440000000000001,,,,,4.7605
198,198,2.2668,2.2668,2.2133,109.31456666666672,-0.125,,,,,1.7517
199,199,15.7542,15.7542,2.4458,72.34425,-0.615,,,,,1.0017
200,200,1.8968,1.8968,1.8,82.05643333333335,-1.044,,,,,3.7951
201,201,1.4259,1.4259,1.3952,63.48626666666668,-1.9180000000000001,6.8543,1.4052,1.4041,1.3694,3.62
202,202,1.3481,1.3481,1.1773,125.35922499999997,-0.35600000000000004,,,,,3.8083
203,203,4.5903,4.5903,1.9078,67.41090000000004,-0.674,,,,,0.0673
204,204,1.4079,1.3142,1.4062,96.06956250000007,-0.57,,,,,1.9680000000000002
205,205,4.3704,2.9739,2.2565,111.2315625,-0.7070000000000001,,,,,0.0198
206,206,1.574,1.7284,1.6907,77.782625,-0.619,,,,,1.3892
207,207,2.7430000000000003,2.7430000000000003,2.4556,97.59346249999994,-0.249,,,,,2.2019
208,208,1.5216,1.5295,1.4629,100.0521875,-1.035,,,,,1.0686
209,209,4.5654,2.6039999999999996,2.0852,99.68656249999985,-0.218,,,,,0.0914
210,210,11.7465,3.3732,1.939,95.03100000000008,-0.47100000000000003,,,,,0.2715
211,211,1.8074,2.0191,1.9252,89.14668749999998,-0.342,,,,,2.5402
212,212,2.7183,2.5887,2.2831,110.96958333333305,-0.501,,,,,1.2819
213,213,,,,43.94098750000008,-0.214,,,,,
214,214,,,,221.4786,-0.244,,,,,
215,215,,,,96.40375000000034,0.61,,,,,
216,216,,,,94.55812500000029,0.7509999999999999,,,,,
217,217,1.2086,1.212,1.1953,39.654850000000245,0.038,,,,,4.0426
218,218,2.9579,3.0980000000000003,1.5917,166.23558333333358,-0.092,,,,,1.4367
219,219,,,,61.320833333333276,0.09300000000000001,,,,,
220,220,,,,114.36422222222208,0.095,,,,,
221,221,8.2532,6.4712,3.8177,337.876975,-0.395,,,,,0.0081
222,222,2.8088,2.8088,2.6863,56.22477500000001,-0.65,,,,,2.4492
223,223,,,,59.974333333334684,-3.02,,,,,
224,224,,,,54.228666666666925,-1.6840000000000002,,,,,
225,225,19.908,19.908,3.6436,172.01489999999995,-0.040999999999999995,,,,,0.0037
226,226,,,,70.59610000000015,-0.13699999999999998,,,,,
227,227,,,,82.83173333333372,-0.175,,,,,
228,228,1.6016,1.4416,1.5735,109.67060000000006,-0.237,,,,,3.332
229,229,,,,69.42130000000013,-0.88,,,,,
230,230,,,,68.52220000000031,-1.0170000000000001,,,,,
231,231,,,,88.64803749999994,-0.509,,,,,
232,232,8.3811,8.3811,4.0723,52.18724999999935,-1.307,,,,,0.0491
233,233,1.9172,1.682,1.6837,83.9889166666663,-0.537,,,,,2.5522
234,234,,,,51.953000000000145,-1.4480000000000002,,,,,
235,235,,,,93.97707142857126,-0.015,,,,,
236,236,17.864,17.864,3.3689999999999998,92.34013333333336,0.187,,,,,0.0326
237,237,,,,69.52256249999999,-1.083,,,,,
238,238,6.327999999999999,5.0787,2.8411,101.53795833333322,-0.066,,,,,0.8813
239,239,7.38,6.2439,3.0393,106.9255583333334,0.055,,,,,0.9226
240,240,1.9865,1.8639,1.6119999999999999,101.22328571428608,0.28,,,,,1.5079
241,241,,,,77.68725625000006,-0.217,,,,,
242,242,17.5872,17.5872,2.1104,79.07762500000005,-0.725,,,,,1.1182
243,243,,,,75.92923333333346,-1.036,,,,,
244,244,6.2303,5.8115,3.3086,44.69833333333284,-1.222,,,,,0.1883
245,245,,,,58.42947500000007,-1.195,,,,,
246,246,,,,388.0054285714288,0.086,,,,,
247,247,,,,53.753457142857286,-0.141,,,,,
248,248,,,,77.94577777777789,0.359,,,,,
249,249,,,,108.49149999999952,0.615,,,,,
250,250,,,,195.64316666666667,-2.285,,,,,
251,251,2.0303,2.0298,1.8955,105.43426666666677,-0.853,,,,,2.918
252,252,4.173,3.9964,2.8226,138.26554999999985,-0.2,,,,,1.0518
253,253,,,,66.7030999999998,-1.435,,,,,
254,254,18.2649,18.2649,1.8527,73.31599999999972,-1.22,,,,,0.0212
255,255,3.6493,3.6493,2.3041,76.9906666666662,-0.885,,,,,1.6582
256,256,2.2345,2.2345,1.766,72.04162500000022,-1.3530000000000002,,,,,0.7342
257,257,,,,71.8506875,-1.371,,,,,
258,258,2.3138,2.3138,2.1422,84.25661666666662,-0.49700000000000005,,,,,1.4251
259,259,,,,87.00637777777777,-0.358,,,,,
260,260,2.9838,2.9838,2.8310000000000004,40.86980000000029,-2.1069999999999998,,,,,0.0212
261,261,,,,142.13110000000032,-0.792,,,,,
262,262,3.1999,3.1808,2.8839,60.997035714285715,-0.47100000000000003,,,,,1.9944
263,263,5.6164,6.2209,3.4768,107.82236111111088,-0.255,,,,,0.7358
264,264,3.2441,3.2441,2.2126,98.59840000000021,-1.256,,,,,0.0655
265,265,9.645,12.6924,3.5012,94.8680499999992,-0.35100000000000003,,,,,0.6459999999999999
266,266,,,,122.45621428571462,0.133,,,,,
267,267,,,,96.67024999999985,0.052000000000000005,,,,,
268,268,21.6771,21.7616,2.3395,54.97749999999967,-0.536,,,,,0.0538
269,269,14.9804,14.9804,5.4343,78.33959999999963,-0.511,,,,,0.0527
270,270,,,,72.97981818181798,-1.187,,,,,
271,271,,,,115.6756875,-1.834,,,,,
272,272,,,,94.75181818181831,-0.368,,,,,
273,273,12.7695,12.7695,3.1054,74.87250000000013,-0.012,,,,,0.0754
274,274,2.6877,2.7443,2.4967,95.51380555555555,-0.261,,,,,1.579
275,275,2.2721,2.3511,2.1647,89.9213666666666,-0.514,,,,,1.538
276,276,1.6857,1.656,1.6437,71.62399999999991,-1.805,,,,,4.1065
277,277,3.0918,2.9784,2.5738,81.66932500000001,-0.405,,,,,1.8702
278,278,,,,94.03814666666666,-0.158,,,,,
279,279,,,,90.77393333333349,-1.093,,,,,
280,280,4.1222,4.1222,2.5598,97.52918181818205,-0.467,,,,,0.0259
281,281,,,,46.4247499999999,0.094,,,,,
282,282,20.6825,20.6825,7.1628,423.69233333333335,-0.081,,,,,0.0356
283,283,,,,72.97218181818232,-1.2690000000000001,,,,,
284,284,14.1437,14.1437,2.1731,75.46296666666662,-0.209,,,,,0.0632
285,285,1.8908,1.8908,1.8803,42.20280000000053,-1.314,,,,,2.9165
286,286,,,,88.21197222222233,-0.309,,,,,
287,287,1.3209,1.3323,1.3442,131.39466666666655,-0.259,2.0451,1.3033,1.3096,1.3233,1.5843
288,288,,,,37.02783333333315,-1.796,,,,,
289,289,1.7056,1.6658,1.6534,120.51408749999992,-0.5579999999999999,,,,,2.8935
290,290,2.9594,2.9594,2.1665,71.89859999999993,-0.5529999999999999,,,,,2.0904
291,291,3.3582,3.3581,2.2357,87.80081818181795,-0.892,0.9761,3.1777,3.1787,2.112,0.8812
292,292,4.1138,4.1138,2.6098,81.93260000000002,-0.19,,,,,1.5219999999999998
293,293,4.9039,4.928,2.7569,83.18912500000009,-0.278,,,,,1.079
294,294,2.4,2.4111,1.9646,178.34704166666683,-0.261,,,,,0.9448
295,295,,,,41.45966666666646,-1.443,,,,,
296,296,4.2139,2.9388,2.4372,67.6610000000002,-1.392,,,,,0.0455
297,297,8.0892,8.0892,2.7578,108.003333333333,-0.735,,,,,0.0715
298,298,,,,250.82136,0.012,,,,,
299,299,25.374000000000002,25.3741,3.0014,87.05149999999983,-0.054000000000000006,,,,,0.7299
300,300,5.9761,5.9761,2.951,144.3219,-0.22699999999999998,,,,,0.6903
301,301,,,,51.866999999999656,-0.887,,,,,
302,302,2.7389,2.7389,1.1812,70.35500000000106,0.069,,,,,0.531
303,303,3.5382,3.5382,3.0712,91.5298333333334,-0.73,,,,,0.1711
304,304,,,,67.22335000000035,-0.38299999999999995,,,,,
305,305,4.8427,4.7711,3.0993,75.10066666666759,-0.305,,,,,1.2467
306,306,6.7004,6.5048,2.6763,89.5693333333334,-1.331,,,,,0.1123
307,307,13.6809,16.6955,2.3689,89.42516666666747,-0.61,,,,,0.0007
308,308,10.7282,10.7282,2.193,130.84974999999991,-0.08800000000000001,,,,,0.0306
309,309,27.4388,27.4388,5.2547,51.924399999999864,-0.887,,,,,0.0032
310,310,4.8756,4.8756,2.8048,90.98100000000065,-0.15,,,,,1.2289
311,311,14.6727,14.6727,2.6752,75.92125000000037,-0.225,,,,,0.0824
312,312,2.0268,2.0218,1.8876,117.8366875000001,-0.045,,,,,1.8198
313,313,2.2861,2.2861,1.5399,84.50833333333341,-0.501,,,,,1.7882
314,314,14.6229,14.1734,3.0810000000000004,74.69649999999993,-0.16399999999999998,,,,,0.434
315,315,,,,626.81875,-1.023,,,,,
316,316,3.2138,3.2138,2.4303,93.47436666666687,-0.24100000000000002,,,,,0.7311
317,317,,,,152.65027500000005,-0.33,,,,,
318,318,10.019,10.0189,2.8174,83.77800000000012,-0.626,,,,,0.0512
319,319,2.6087,2.3833,2.1733,66.6280833333337,-0.941,,,,,1.5861
320,320,4.2953,4.2953,2.5921,74.43899999999992,-0.109,,,,,0.9034
321,321,5.4761,5.4761,3.1691,124.91824999999969,-0.259,,,,,1.1351
322,322,3.9604,3.9604,2.1246,57.782666666666316,-0.7609999999999999,,,,,1.2526
323,323,,,,86.24066666666685,-0.092,,,,,
324,324,4.4787,4.4636,2.5810000000000004,79.8146666666666,-0.365,,,,,1.2421
325,325,22.5458,22.5548,7.6101,57.27412500000018,-0.963,,,,,0.013000000000000001
326,326,9.7299,7.5676,2.9638,86.87049999999985,-0.142,,,,,0.0045
327,327,,,,107.71333333333376,-0.536,,,,,
328,328,5.5816,5.5816,3.2827,79.55033333333274,-0.591,,,,,1.4464
329,329,4.6316,4.6316,3.5822,94.055,-0.764,,,,,0.0579
330,330,3.6128,3.6128,2.3109,95.49350000000034,-0.32,,,,,1.2587
331,331,31.8216,31.8216,4.7603,49.96840000000002,-0.961,,,,,0.0389
332,332,10.3296,10.3296,3.2869,202.39216666666678,-0.11,,,,,0.0338
333,333,7.9236,7.9236,2.97,199.71949999999958,-1.39,,,,,0.0087
334,334,2.2984,2.2984,1.5444,79.79266666666662,-0.5,,,,,1.788
335,335,3.3558,3.3558,2.9224,90.69241666666716,-0.73,,,,,0.1705
336,336,1.6183,1.6183,1.2833,58.904499999999686,-1.314,5.9168,1.4819,1.4817,1.2556,4.4818
337,337,1.8117,1.8117,1.3514,499.8254499999999,-0.07200000000000001,,,,,2.2686
338,338,2.8793,2.8793,2.2677,69.55804999999992,-0.649,,,,,2.0123
339,339,,,,83.68149999999997,-0.73,,,,,
340,340,5.7129,5.7129,3.0988,138.2427500000001,-0.267,,,,,1.1186
341,341,3.48,3.48,2.4617,106.04866666666668,-0.38,,,,,1.6483
342,342,,,,69.10380000000015,-0.38299999999999995,,,,,
