,Unnamed: 0,oqmdid,e_form expt,e_form mp,e_form oqmd
194,194,29360.0,-0.4084,-0.36745692,-0.38035091
195,195,88389.0,-0.4923,-0.39554595,-0.39532442
196,196,88389.0,-0.4436,-0.39554595,-0.39532442
197,197,,-0.1451,,
198,198,29783.0,-0.18,-0.25442908,-0.25688792
199,199,88926.0,-0.2161,-0.27157447,-0.27835424
200,200,,-0.1662,,
201,201,22909.0,-0.2021,-0.25999506,-0.263491
202,202,88957.0,-0.2004,-0.23550464,-0.2439541
203,203,29713.0,-0.1027,-0.12873991,-0.13245614
204,204,29715.0,-0.1675,-0.21782207,-0.22225439
205,205,29754.0,-0.1171,-0.12151383,-0.1256437
206,206,,-0.1503,,
207,207,,-0.1378,,
208,208,18310.0,-0.1752,-0.20811317,-0.20554552
209,209,,-0.0996,,
210,210,,-0.1458,,
211,211,,-0.1276,,
212,212,,-0.0938,,
213,213,,-0.1135,,
214,214,,-0.1415,,
215,215,,-0.131,,
216,216,,-0.1578,,
217,217,89117.0,-0.3648,-0.45827261,-0.46149673
218,218,29892.0,-0.284,-0.33433602,-0.3363989
219,219,,-0.2829,,
220,220,89140.0,-0.7929,-0.89557702,-0.87351625
221,221,29923.0,-0.6457,-0.75729068,-0.75177647
222,222,,-0.5887,,
223,223,,-0.8633,,
224,224,,-0.8975,,
225,225,,-0.7898,,
226,226,29881.0,-0.7245,-0.81256708,-0.81551265
227,227,29915.0,-1.1338,,-1.28752687
228,228,,-1.0167,,
229,229,,-0.8582,,
230,230,30015.0,-0.4363,-0.48549384,-0.49334426
231,231,9962.0,-0.3026,-0.33986862,-0.34341508
232,232,19323.0,-0.2715,-0.36478196,-0.3528259
233,233,30040.0,-0.9058,-0.9528684,-0.93567722
234,234,30042.0,-0.7234,-0.76770201,-0.7658654
235,235,89074.0,-0.9442,-0.93696182,-0.93152616
236,236,30026.0,-0.9805,,-0.96967227
237,237,18320.0,-0.9349,-0.91946738,-0.9140862
238,238,29997.0,-0.7866,-0.82361226,-0.82946363
239,239,30033.0,-1.2302,,-1.31429651
240,240,30034.0,-1.1173,-1.11267266,-1.1099039
241,241,30031.0,-0.9701,-1.0588538,-1.05419548
242,242,30000.0,-0.8592,-0.90571141,-0.88723354
243,243,31223.0,-0.3099,-0.39817732,-0.4264578
244,244,18493.0,-0.285,-0.31645859,-0.32547128
245,245,19322.0,-0.2249,,-0.27254295
246,246,89749.0,-0.7504,-0.79845049,-0.80485092
247,247,18849.0,-0.6778,-0.72410801,-0.73098246
248,248,30400.0,-0.8561,-0.87615604,-0.90098728
249,249,,-0.9172,,
250,250,18693.0,-0.826,-0.85188089,-0.86843066
251,251,30381.0,-0.71,,-0.79258353
252,252,30403.0,-1.1328,-1.22332553,-1.25292099
253,253,19392.0,-1.0364,-1.09387375,-1.09629062
254,254,,-0.4571,,
255,255,30515.0,-0.6146,-0.51942899,-0.51903074
256,256,,-0.5006,,
257,257,,-0.4954,-0.53959734,
258,258,30519.0,-1.1784,-1.1551287,-1.15022438
259,259,17381.0,-0.9183,-0.88831847,-0.88228811
260,260,,-0.9172,,
261,261,,-0.7203,,
262,262,307534.0,-0.6986,-0.62011466,-0.62936267
263,263,17386.0,-0.9929,-0.84404262,-0.86225973
264,264,,-1.0022,-0.9168302,
265,265,18379.0,-0.4322,-0.47223961,-0.47578984
266,266,,-0.3099,-0.33706329,
267,267,,-0.2778,,
268,268,89924.0,-0.9038,-0.92349809,-0.90454717
269,269,17475.0,-0.7296,-0.762437,-0.75878765
270,270,,-0.7607,,
271,271,30553.0,-0.9483,,-0.93871055
272,272,,-0.9763,,
273,273,17468.0,-0.9058,-0.91014537,-0.90423583
274,274,17458.0,-0.7711,-0.81827398,-0.82305063
275,275,30556.0,-1.2624,,-1.30171123
276,276,17471.0,-1.1048,-1.11254222,-1.10920807
277,277,17472.0,-0.9877,-1.04221636,-1.03721597
278,278,17457.0,-0.8364,-0.87271706,-0.85305838
279,279,17488.0,-0.6519,-0.72561905,-0.72714162
280,280,30613.0,-0.5151,,-0.5348565
281,281,17509.0,-0.7328,-0.66232216,-0.66759489
282,282,17519.0,-0.7317,-0.80297357,-0.58630438
283,283,17492.0,-0.8861,-0.9940064,-0.97229331
284,284,17493.0,-0.7359,-0.8276611999999999,-0.83185282
285,285,17536.0,-0.6829999999999999,-0.80468492,-0.78488145
286,286,17537.0,-0.6156,-0.79612315,-0.80149427
287,287,17541.0,-0.8882,-0.7304602,-0.76682189
288,288,116945.0,-0.8737,-0.74761197,-0.78383948
289,289,668142.0,-0.1358,,-0.19038848
290,290,30648.0,-0.257,,-0.33702567
291,291,17564.0,-0.2726,-0.28580203,-0.28991384
292,292,17577.0,-0.1068,-0.13222134,-0.11503042
293,293,31221.0,-0.5835,-0.75047637,-0.7408583000000001
294,294,17575.0,-0.5959,-0.70925247,-0.70088488
295,295,30656.0,-0.7898,-0.83987198,-0.83094462
296,296,17569.0,-0.7991,-0.8155392,-0.81537576
297,297,,-0.0933,,
298,298,17572.0,-0.9328,-1.08864628,-1.08129716
299,299,30659.0,-0.9545,-1.19302803,-1.1873856000000005
300,300,30659.0,-1.0333,-1.19302803,-1.1873856000000005
301,301,30692.0,-0.4902,,-0.52931072
302,302,17615.0,-0.3109,-0.34297382,-0.34533348
303,303,17626.0,-0.7058,-0.77552117,-0.77269213
304,304,,-0.6084,,
305,305,17621.0,-0.9442,-0.9775014,-0.97183242
306,306,17621.0,-0.9846,-0.9775014,-0.97183242
307,307,17622.0,-0.9193,-0.93985103,-0.9350624
308,308,30701.0,-0.939,,-1.3408569
309,309,30701.0,-1.2271,,-1.3408569
310,310,17624.0,-0.9245,-1.09541409,-1.09078775
311,311,,-1.0717,,
312,312,,-1.0198,,
313,313,647400.0,-0.483,-0.65285668,-0.65412165
314,314,30796.0,-0.2591,-0.31759139,-0.32541812
315,315,,-0.2715,-0.27940392,
316,316,17774.0,-0.1948,-0.1392589,-0.1218511
317,317,,-0.1783,,
318,318,30810.0,-0.6654,-0.68586954,-0.67523078
319,319,17771.0,-0.6208,-0.66563857,-0.6576357
320,320,30811.0,-0.4602,-0.50838989,-0.50505822
321,321,,-0.6208,,
322,322,30805.0,-0.8001,-0.81837344,-0.81555618
323,323,17765.0,-0.7597,-0.78640393,-0.78414478
324,324,17503.0,-0.7006,-0.69447488,-0.69973281
325,325,,-0.6187,-0.616531,
326,326,30808.0,-1.082,,-1.14886368
327,327,17768.0,-1.0147,-1.04798648,-1.0439796
328,328,17770.0,-0.57,-0.70115448,-0.70350947
329,329,,-0.0406,,
330,330,116608.0,-0.3749,-0.34371282,-0.3780194000000001
331,331,30838.0,-0.2912,-0.29216889,-0.29994979
332,332,17787.0,-0.2653,-0.26405656,-0.26530056
333,333,30859.0,-0.3773,-0.36764828,-0.37422219
334,334,17806.0,-0.284,-0.30177932,-0.30369402
335,335,17831.0,-0.3814,-0.44018856,-0.11587876
336,336,17834.0,-0.284,-0.32187828,-0.22247785
337,337,17842.0,-0.4809,-0.50330897,-0.50868034
338,338,17844.0,-0.3016,-0.3424406,-0.34492088
339,339,5776.0,-0.4374,-0.48423085,-0.49490854
340,340,116608.0,-0.3431,-0.34371282,-0.3780194000000001
341,341,2288.0,-0.4208,-0.42918024,-0.43017345
342,342,17864.0,-0.5234,-0.45603911,-0.45579793
343,343,103369.0,-0.3234,-0.32276983,-0.32468612
344,344,17850.0,-0.2249,-0.24632097,-0.23769544
345,345,647410.0,-0.2114,-0.36122189,-0.36419278
346,346,19318.0,-0.257,-0.30890026,-0.30353374
347,347,90586.0,-0.71,-0.71361444,-0.73613297
348,348,31204.0,-0.8167,-0.79545696,-0.79253344
349,349,,-0.8571,,
350,350,18690.0,-0.8540000000000001,-0.8606244000000001,-0.85599954
351,351,,-0.9038,,
352,352,,-0.8592,,
353,353,30947.0,-0.883,-0.92341571,-0.58771042
354,354,,-0.8861,,
355,355,,-0.8167,,
356,356,17980.0,-0.9597,-0.95361712,-0.9479927
357,357,17981.0,-0.8996,-0.9290976,-0.92451966
358,358,21469.0,-0.9836,,-0.91325416
359,359,,-0.9618,,
360,360,17986.0,-0.8188,-0.86590274,-0.85931583
361,361,21293.0,-0.6737,,-0.64955897
362,362,17964.0,-0.3741,-0.49012818,-0.48488672
363,363,17982.0,-0.7638,-0.53641653,-0.5302551
364,364,17982.0,-0.741,-0.53641653,-0.5302551
365,365,17970.0,-0.5348,-0.47762927,-0.48671641
366,366,,-0.5524,-0.54879321,
367,367,,-0.8747,,
368,368,9971.0,-0.6353,-0.65376425,-0.64896546
369,369,9971.0,-0.6851,-0.65376425,-0.64896546
370,370,18889.0,-0.1752,-0.1002159,-0.08165385
371,371,18888.0,-0.626,-0.64200098,-0.63329281
372,372,30953.0,-1.0717,,-1.11835627
373,373,18883.0,-0.9691,-1.02865162,-1.02437444
374,374,30979.0,-1.1266,,-1.19778358
375,375,17999.0,-1.0385,-1.0750635,-1.07204855
376,376,670146.0,-1.1991,,-0.94239172
377,377,18011.0,-1.0022,-1.10877126,-0.88454865
378,378,,-0.8872,,
379,379,,-1.2541,,
380,380,18020.0,-1.1649,-1.11064205,-1.10883487
381,381,,-0.9442,,
382,382,30992.0,-1.0779,,-1.26036657
383,383,18031.0,-0.9007,-0.98465417,-0.98113343
384,384,18028.0,-0.284,-0.45914973,-0.44208346
385,385,30989.0,-0.3856,-0.55702017,-0.53721562
386,386,18015.0,-0.826,-0.79131172,-0.79979012
387,387,,-0.94,-0.9285324,
388,388,30995.0,-0.995,,-1.08603694
389,389,30995.0,-1.0789,,-1.08603694
390,390,18058.0,-0.6789,-0.70122295,-0.69424156
391,391,,-0.6892,,
392,392,18067.0,-0.7493,-0.86392462,-0.51145901
393,393,18068.0,-0.6675,-0.74930235,-0.52306842
394,394,18076.0,-0.9214,-0.98561536,-0.96668025
395,395,18077.0,-0.7566,-0.77274405,-0.77044224
396,396,18083.0,-0.7887,-0.85827792,-0.84222032
397,397,18084.0,-0.6778,-0.74091214,-0.73874162
398,398,90794.0,-0.7866,-0.73091778,-0.75268252
399,399,,-0.8188,,
400,400,18078.0,-0.7224,-0.66664515,-0.67258111
401,401,18073.0,-0.741,-0.71770692,-0.74982654
402,402,755406.0,-0.7711,,-0.76142264
403,403,,-0.2446,,
404,404,,-0.3099,,
405,405,,-0.2829,,
406,406,116234.0,-0.7120000000000001,-0.66012382,-0.64287548
407,407,94574.0,-0.7979999999999999,-0.7733,-0.78846466
408,408,18098.0,-0.3213,-0.32529303,-0.32385064
409,409,17389.0,-0.9514,-0.8331390999999999,-0.81247741
410,410,,-0.1161,,
411,411,19393.0,-0.3368,-0.35023303,-0.36189395
412,412,17119.0,-0.2767,-0.26004219,-0.26502967
413,413,17795.0,-0.4633,-0.50720254,-0.51584033
414,414,17796.0,-0.4457,-0.52315748,-0.52449873
415,415,18090.0,-0.4612,-0.54169358,-0.53324862
416,416,18054.0,-0.9794,-1.0415801,-1.02687326
417,417,17512.0,-0.9297,-1.05110554,-1.03014618
418,418,18055.0,-0.5358,-0.61301078,-0.61530617
419,419,17944.0,-0.9255,-0.90841484,-0.90740356
420,420,17513.0,-0.6871,-0.74323264,-0.7488888000000001
421,421,17995.0,-1.0862,-1.22008164,-1.22878817
422,422,17997.0,-0.9805,-1.05328318,-1.04670448
423,423,,-0.9639,,
424,424,,-0.1182,,
425,425,,-0.1565,,
426,426,10507.0,-0.2311,-0.22816317,-0.23531136
427,427,18709.0,-0.142,-0.15861377,-0.18075574
428,428,,-0.6592,,
429,429,10552.0,-0.9048,-0.83438478,-0.82853899
430,430,10574.0,-0.3068,-0.26518005,-0.25623593
431,431,658981.0,-0.2062,-0.06988478,-0.25063347
432,432,,-0.2425,,
433,433,,-0.4146,-0.35436314,
434,434,54708.0,-0.2436,-0.33204742,-0.33175568
435,435,18706.0,-0.4135,-0.40458448,-0.40186183
436,436,94913.0,-0.6042,-0.65864811,-0.66944636
437,437,10562.0,-1.0385,-1.04806983,-1.0482982
438,438,10562.0,-1.0116,-1.04806983,-1.0482982
439,439,10576.0,-1.1017,-1.09471293,-1.09711632
440,440,18193.0,-0.6436,-0.6935834,-0.66275832
441,441,10539.0,-0.426,-0.45145086,-0.44950931
442,442,,-0.1897,-0.09141716,
443,443,10565.0,-1.0001,-0.99776218,-1.0001106
444,444,,-0.1752,,
445,445,,-0.3524,,
446,446,,-0.4944,,
447,447,19094.0,-0.454,-0.44346682,-0.44402344
448,448,10483.0,-0.5172,-0.49784908,-0.49709903
449,449,10492.0,-0.5452,-0.48386232,-0.48440793
450,450,10545.0,-0.4654,-0.56370358,-0.5618871
451,451,10612.0,-0.5224,-0.5314414000000001,-0.53390158
452,452,9987.0,-0.54,-0.53810863,-0.54013952
453,453,,-0.342,,
454,454,,-0.3576,,
455,455,18198.0,-0.5016,-0.48454051,-0.48795685
456,456,19074.0,-0.4208,-0.39534417,-0.39629425
457,457,18710.0,-0.4198,-0.42336587,-0.43058276
458,458,644858.0,-0.3099,-0.31732438,-0.31961342
459,459,18722.0,-0.3793,-0.39576492,-0.41231514
460,460,10604.0,-0.2881,-0.2886842,-0.28231944
461,461,,-0.3887,,
462,462,10605.0,-0.1461,-0.15354977,-0.15547335
463,463,5855.0,-0.2011,-0.24053737,-0.20127126
464,464,7798.0,-0.2342,-0.31252032,-0.31235674
465,465,67949.0,-0.3285,-0.39763521,-0.39815569
466,466,7800.0,-0.2342,-0.28994333,-0.29406372
467,467,,-0.2073,,
468,468,5858.0,-0.3607,-0.40155458,-0.41008351
469,469,5857.0,-0.3348,-0.37298173,-0.37596999
470,470,13802.0,-0.371,-0.49912716,-0.49958023
471,471,,-0.2975,,
472,472,5171.0,-0.2083,-0.2414927,-0.24335188
473,473,5171.0,-0.2145,-0.2414927,-0.24335188
474,474,,-0.3679,-0.38261772,
475,475,,-0.2301,,
476,476,,-0.2166,,
477,477,5847.0,-0.4125,-0.34044859,-0.33724790000000004
478,478,8332.0,-0.313,-0.56534511,-0.5618701
479,479,647372.0,-0.2829,-0.62338387,-0.62242526
480,480,8366.0,-0.2892,-0.5948309,-0.59305299
481,481,115218.0,-0.3089,-0.69191694,-0.68902248
482,482,8179.0,-0.2187,-0.28357077,-0.2887995
483,483,5806.0,-0.625,-0.69347592,-0.69505215
484,484,4449.0,-0.2228,-0.42981648,-0.42013953
485,485,8428.0,-1.0603,-0.84106919,-0.83846984
486,486,5807.0,-0.5524,-0.652593,-0.64900102
487,487,8471.0,-0.3545,-0.53102592,-0.30809373
488,488,5808.0,-1.1349,-1.05740636,-1.06683324
489,489,8473.0,-0.3171,-0.65282273,-0.65122261
490,490,109274.0,-0.7328,-0.74284597,-0.73208942
491,491,8475.0,-0.37,-0.56479997,-0.56358483
492,492,,-0.4467,,
493,493,,-0.4032,,
494,494,,-0.1182,,
495,495,,-0.2653,,
496,496,,-0.1814,,
497,497,4683.0,-0.5545,-0.62698238,-0.51932182
498,498,2155.0,-0.5255,-0.57170034,-0.56834399
499,499,19849.0,-0.5524,-0.5648665,-0.56388366
500,500,18748.0,-0.5503,-0.54672396,-0.54576316
501,501,5124.0,-0.5421,-0.59063889,-0.58949615
502,502,,-0.5928,-0.56401877,
503,503,,-0.5317,-0.48410568,
504,504,,-0.0922,,
505,505,,-0.1036,,
506,506,,-0.1461,,
507,507,,-0.0943,,
508,508,8050.0,-0.1202,-0.10295956,-0.11555772
509,509,,-0.4716,,
510,510,4155.0,-0.3296,-0.29194155,-0.29775347
511,511,,-0.4177,,
512,512,1949.0,-0.9628,-0.80734115,-0.80412494
513,513,13373.0,-0.2633,-0.1554227,-0.08301998
514,514,7901.0,-0.2964,-0.19310779,-0.19727318
515,515,4391.0,-0.2985,-0.19368365,-0.20063332
516,516,19369.0,-0.257,-0.16630952,-0.18553698
517,517,,-0.2964,,
518,518,5051.0,-0.2819,-0.16197667,-0.16385663
519,519,13888.0,-0.2767,-0.18638216,-0.19246326
520,520,53650.0,-0.3026,-0.11838131,-0.12456444
521,521,3666.0,-0.3047,-0.10019788,-0.10602352
522,522,19368.0,-0.2664,-0.14752258,-0.15356634
523,523,13374.0,-0.255,-0.18882349,0.02651546
524,524,,-0.3265,,
525,525,,-0.627,,
526,526,18278.0,-0.7369,-0.65310562,-0.71849747
527,527,29191.0,-0.5472,-0.54661531,-0.55564635
528,528,29254.0,-0.3047,-0.26603952,-0.26709825
529,529,5256.0,-0.3617,-0.46811329,-0.47477289
530,530,3604.0,-0.511,-0.61459397,-0.62430027
531,531,646168.0,-0.3928,-0.45288601,-0.46466624
532,532,,-0.2674,-0.36275147,
533,533,3602.0,-0.3545,-0.29522304,-0.2884598
534,534,3178.0,-0.3482,-0.31502719,-0.31060762
535,535,29544.0,-0.1223,-0.04884287,-0.05522517
536,536,3600.0,-0.2819,-0.34850978,-0.36159126
537,537,,-0.0632,,
538,538,,-0.5659,,
539,539,21014.0,-0.7141,-0.83304592,-0.8317414000000001
540,540,651409.0,-0.6633,-0.68672013,-0.68469964
541,541,665784.0,-0.6488,-0.49372392,-0.49122696
542,542,2939.0,-0.8799,-0.82215116,-0.8255610999999999
543,543,10339.0,-0.7328,-0.69769718,-0.7014001999999999
544,544,30160.0,-0.257,-0.23007081,-0.23789909
545,545,6697.0,-0.4001,-0.51035913,-0.51414325
546,546,30299.0,-0.172,-0.15113122,-0.15670685
547,547,18584.0,-0.6675,-0.64677807,-0.64203331
548,548,22484.0,-0.4042,-0.39903784,-0.4449591
549,549,17131.0,-0.5535,-0.46617369,-0.4660022
550,550,30301.0,-0.2747,-0.3216266,-0.3365402
551,551,,-0.6156,-0.52132614,
552,552,89558.0,-0.4654,-0.36500987,-0.37624769
553,553,23801.0,-0.7421,,-0.65903422
554,554,89616.0,-0.7587,-0.69359272,-0.68984355
555,555,17297.0,-0.3669,-0.32212428,-0.29821966
556,556,30366.0,-0.74,-0.66433596,-0.66682175
557,557,,-0.4249,,
558,558,30368.0,-0.7058,-0.6629153,-0.66099664
559,559,,-0.172,,
560,560,,-0.4654,,
561,561,19193.0,-0.5027,-0.49921012,-0.50422251
562,562,,-0.6115,,
563,563,12494.0,-0.7835,-0.78330897,-0.82500956
564,564,30419.0,-0.7048,,-0.65729056
565,565,647082.0,-0.7348,-0.82072508,-0.8201265999999999
566,566,647083.0,-0.8291,-0.8034005999999999,-0.80117558
567,567,,-0.6022,,
568,568,19859.0,-0.8385,-0.82723595,-0.82907496
569,569,30562.0,-0.7732,-0.69273225,-0.69430109
570,570,3182.0,-0.6612,-0.68431045,-0.69033796
571,571,3182.0,-0.6675,-0.68431045,-0.69033796
572,572,14081.0,-0.5887,,-0.66589192
573,573,2938.0,-0.7659,-0.74327757,-0.73829345
574,574,8508.0,-0.6384,-0.63776534,-0.63053424
575,575,16378.0,-0.6229,-0.60975188,-0.60340254
576,576,31331.0,-0.8115,-0.79471601,-0.79627164
577,577,31330.0,-0.7027,-0.70254819,-0.70342489
578,578,3603.0,-0.4084,-0.46536604,-0.46425079
579,579,,-0.3524,-0.34849914,
580,580,17715.0,-0.4964,-0.490212,-0.49665163
581,581,6653.0,-0.3959,-0.38982914,-0.39820548
582,582,,-0.5566,-0.54430792,
583,583,3572.0,-0.6695,-0.66596324,-0.67982951
584,584,,-0.6426,,
585,585,7934.0,-0.8157,-0.76401844,-0.76616419
586,586,27253.0,-0.6457,-0.58656729,-0.58972551
587,587,5883.0,-0.4394,-0.50192808,-0.5038064
588,588,4675.0,-0.5244,-0.55259568,-0.55906508
589,589,,-0.4674,,
590,590,83466.0,-0.3161,-0.45552864,-0.45174752
591,591,3181.0,-0.4146,-0.36805215,-0.36359973
592,592,669944.0,-0.6685,-0.69371833,-0.6909829000000001
593,593,669944.0,-0.6654,-0.69371833,-0.6909829000000001
594,594,8197.0,-0.6001,-0.61338369,-0.60600528
595,595,,-0.6374,,
596,596,7935.0,-0.8094,-0.74327973,-0.74525461
597,597,,-0.7006,,
598,598,2257.0,-0.6156,-0.67142261,-0.67066312
599,599,2257.0,-0.6177,-0.67142261,-0.67066312
600,600,14060.0,-0.6395,-0.72375884,-0.72264214
601,601,,-0.6561,,
602,602,10376.0,-0.1316,0.10865856,-0.09513163
603,603,18901.0,-0.7773,-0.82274837,-0.82411252
604,604,,-0.7856,,
605,605,8055.0,-0.6623,-0.72588414,-0.73085926
606,606,2149.0,-0.6291,-0.63734496,-0.6246689999999999
607,607,14277.0,-0.6022,-0.65174517,-0.63907988
608,608,,-0.6022,,
609,609,7936.0,-0.853,-0.83644904,-0.83784269
610,610,4475.0,-0.9317,-0.76833573,-0.76933428
611,611,4182.0,-0.4809,-0.4647244,-0.46975583
612,612,31250.0,-0.6954,,-0.61183675
613,613,3573.0,-0.3949,-0.61606373,-0.61647648
614,614,17347.0,-0.6322,-0.67495204,-0.26112869
615,615,,-0.7649,-0.76599174,
616,616,31067.0,-0.7887,,-0.70337537
617,617,31069.0,-0.6115,-0.58859846,-0.57183864
