,mpid,eps_electronic,eps_total,last phdos peak,structure,formula
24,mp-1011695,3.68170987688671,6.795583598408308,100.58577106823331,"Full Formula (Cs2 Se1)
Reduced Formula: Cs2Se
abc   :   6.015038   6.015038   6.015038
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Cs    0.25  0.25  0.25         0
  1  Cs    0.75  0.75  0.75         0
  2  Se    0     0     0            0",Cs2Se
25,mp-1014244,8.986295949984626,36.36973755172146,650.5857273972472,"Full Formula (Zr1 Zn1 N2)
Reduced Formula: ZrZnN2
abc   :   3.311332   3.311331   5.336780
angles:  90.000000  90.000000 120.000008
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zr    0         0         0.00288          0
  1  Zn    0.666667  0.333333  0.450386         0
  2  N     0.333333  0.666667  0.259576        -0
  3  N     0.666667  0.333333  0.817127         0",ZrZnN2
26,mp-10155,16.279463660018394,22.24540258022253,483.58574065734666,"Full Formula (P8 Ir4)
Reduced Formula: P2Ir
abc   :   5.795391   5.837716   5.900728
angles:  90.000000 111.306804  90.000000
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  P     0.157901  0.88107   0.870911
  1  P     0.842099  0.38107   0.629089
  2  P     0.842099  0.11893   0.129089
  3  P     0.157901  0.61893   0.370911
  4  P     0.334106  0.376434  0.18899
  5  P     0.665894  0.876434  0.31101
  6  P     0.665894  0.623566  0.81101
  7  P     0.334106  0.123566  0.68899
  8  Ir    0.271676  0.499292  0.791801
  9  Ir    0.728324  0.999292  0.708199
 10  Ir    0.728324  0.500708  0.208199
 11  Ir    0.271676  0.000708  0.291801",P2Ir
27,mp-10159,7.643536630519399,18.99223567017201,135.9557896728841,"Full Formula (K3 Sb1)
Reduced Formula: K3Sb
abc   :   6.055147   6.055147   6.055147
angles:  60.000000  60.000000  60.000000
Sites (4)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  K     0.5   0.5   0.5
  1  K     0.25  0.25  0.25
  2  K     0.75  0.75  0.75
  3  Sb    0     0     0",K3Sb
28,mp-10163,8.04592044198713,15.527655510007582,338.5857521706066,"Full Formula (Na2 Al2 Te4)
Reduced Formula: NaAlTe2
abc   :   6.875766   6.807812   6.807812
angles:  75.225480  59.669254  59.669254
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Na    0.25      0         0
  1  Na    0.75      0         0
  2  Al    0.25      0.5       0.5
  3  Al    0.75      0.5       0.5
  4  Te    0.173307  0.5       0.153387
  5  Te    0.326693  0.846613  0.5
  6  Te    0.673307  0.153387  0.5
  7  Te    0.826693  0.5       0.846613",NaAlTe2
29,mp-1018096,5.462559314815537,292.90134742923624,366.5857499473565,"Full Formula (Ba2 N1 F1)
Reduced Formula: Ba2NF
abc   :   4.039224   4.039224   7.165920
angles:  73.630205  73.630208  59.999997
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.758384  0.758384  0.724848         0
  1  Ba    0.241616  0.241616  0.275152         0
  2  N     0.5       0.5       0.5             -0
  3  F     0         0         0               -0",Ba2NF
30,mp-1018100,11.80061675726574,13.096345031336606,322.5857534410353,"Full Formula (Al2 Sb2)
Reduced Formula: AlSb
abc   :   4.400645   4.400203   7.220631
angles:  90.000000  90.000000 120.003324
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.666681  0.333361  0.499921        -0
  1  Al    0.333319  0.666639  0.999921        -0
  2  Sb    0.666683  0.333365  0.875179        -0
  3  Sb    0.333317  0.666635  0.375179        -0",AlSb
31,mp-10182,10.545504010109443,15.858015709786079,400.58574724769545,"Full Formula (Li1 Zn1 P1)
Reduced Formula: LiZnP
abc   :   4.071388   4.071388   4.071388
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c    magmom
---  ----  ----  ----  ----  --------
  0  Li    0.75  0.75  0.75         1
  1  P     0     0     0            1
  2  Zn    0.25  0.25  0.25         1",LiZnP
32,mp-1020019,3.0055572528671277,6.573655032862352,1100.5856916664407,"Full Formula (Li4 P2 N2 O4)
Reduced Formula: Li2PNO2
abc   :   4.756049   5.323868   5.323868
angles:  61.622830  90.000000  90.000000
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.498412  0.00668   0.325548        -0
  1  Li    0.498412  0.674452  0.99332         -0
  2  Li    0.998412  0.99332   0.674452        -0
  3  Li    0.998412  0.325548  0.00668         -0
  4  P     0.500902  0.345706  0.654294        -0
  5  P     0.000902  0.654294  0.345706        -0
  6  N     0.658342  0.613103  0.386897         0
  7  N     0.158342  0.386897  0.613103         0
  8  O     0.581466  0.332737  0.94497          0
  9  O     0.581466  0.05503   0.667263         0
 10  O     0.081466  0.667263  0.05503          0
 11  O     0.081466  0.94497   0.332737         0",Li2PNO2
33,mp-1020059,5.227938284513054,9.680689945303774,856.5857110404779,"Full Formula (Li2 Ge4 N6)
Reduced Formula: LiGe2N3
abc   :   5.099193   5.570339   5.562159
angles: 120.048660  90.000000  90.000000
Sites (12)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Li    0.494612  0.342603  -0                0
  1  Li    0.994612  0.657397  -0                0
  2  Ge    0.492485  0.670366   0.673495         0
  3  Ge    0.492485  0.996871   0.326505         0
  4  Ge    0.992485  0.329634   0.326505        -0
  5  Ge    0.992485  0.003129   0.673495         0
  6  N     0.123736  0.664065   0.626372         0
  7  N     0.123736  0.037693   0.373628        -0
  8  N     0.623736  0.335935   0.373628        -0
  9  N     0.623736  0.962307   0.626372        -0
 10  N     0.093946  0.298363  -0                0
 11  N     0.593946  0.701637  -0                0",LiGe2N3
34,mp-10219,3.4398158389370472,14.700498891586127,593.5857319231493,"Full Formula (Y2 O2 F2)
Reduced Formula: YOF
abc   :   3.876019   3.876019   5.520088
angles:  90.000000  90.000000  90.000000
Sites (6)
  #  SP       a     b         c    magmom
---  ----  ----  ----  --------  --------
  0  O     0.75  0.25  0.5            0.6
  1  O     0.25  0.75  0.5            0.6
  2  F     0.25  0.75  0              0.6
  3  F     0.75  0.25  0              0.6
  4  Y     0.25  0.25  0.710026       0.6
  5  Y     0.75  0.75  0.289974       0.6",YOF
35,mp-1022,3.1624879014539533,6.162422592880103,184.5857643984827,"Full Formula (K2 S1)
Reduced Formula: K2S
abc   :   5.278263   5.278263   5.278263
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  S     0     0     0
  1  K     0.75  0.75  0.75
  2  K     0.25  0.25  0.25",K2S
36,mp-10226,5.436177497725584,13.384878291901998,279.5857568553124,"Full Formula (Na1 Y1 S2)
Reduced Formula: NaYS2
abc   :   3.989382   3.989382   7.066685
angles:  73.604459  73.604459  60.000008
Sites (4)
  #  SP           a         b          c    magmom
---  ----  --------  --------  ---------  --------
  0  Na    0         0         -0               -0
  1  Y     0.5       0.5        0.5             -0
  2  S     0.242378  0.242378   0.272865         0
  3  S     0.757622  0.757622   0.727135         0",NaYS2
37,mp-10246,6.411221763823098,11.589418080954964,355.58575082077624,"Full Formula (Na4 Pt2 S4)
Reduced Formula: Na2PtS2
abc   :   3.593351   5.551273  10.960560
angles:  90.000000  90.000000 108.883869
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Na    0.171728  0.343455  0.0941
  1  Na    0.828272  0.656545  0.5941
  2  Na    0.43092   0.861841  0.877353
  3  Na    0.56908   0.138159  0.377353
  4  S     0.551828  0.103656  0.63674
  5  S     0.448172  0.896344  0.13674
  6  S     0.717134  0.434268  0.871833
  7  S     0.282866  0.565732  0.371833
  8  Pt    0.865418  0.730836  0.253973
  9  Pt    0.134582  0.269164  0.753973",Na2PtS2
38,mp-10250,2.665381384040416,14.770475588026216,481.5857408161503,"Full Formula (Ba1 Li1 F3)
Reduced Formula: BaLiF3
abc   :   4.052674   4.052674   4.052674
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Li    0.5  0.5  0.5
  1  F     0    0.5  0.5
  2  F     0.5  0.5  0
  3  F     0.5  0    0.5
  4  Ba    0    0    0",BaLiF3
39,mp-10281,6.1239566351730685,8.99434208990894,335.58575240881197,"Full Formula (Zn4 S4)
Reduced Formula: ZnS
abc   :   3.852503   3.852503  12.608181
angles:  90.000000  90.000000 120.000000
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  S     0.666667  0.333333  0.937641
  1  S     0.333333  0.666667  0.437641
  2  S     0         0         0.687265
  3  S     0         0         0.187265
  4  Zn    0.666667  0.333333  0.75003
  5  Zn    0.333333  0.666667  0.25003
  6  Zn    0         0         0.500064
  7  Zn    0         0         6.4e-05",ZnS
40,mp-10289,16.81878117517498,24.49249592122425,1292.5856764212965,"Full Formula (Ca2 B4 C4)
Reduced Formula: Ca(BC)2
abc   :   5.313534   5.313534   5.313534
angles:  91.128841 119.350418 119.350418
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  B     0.222133  0.361067  0.861067         1
  1  B     0.5       0.861067  0.638933         1
  2  B     0.5       0.138933  0.361067         1
  3  B     0.777867  0.638933  0.138933         1
  4  C     0.5       0.659301  0.840699         1
  5  C     0.818601  0.159301  0.659301         1
  6  C     0.5       0.340699  0.159301         1
  7  C     0.181399  0.840699  0.340699         1
  8  Ca    0         0.75      0.75             1
  9  Ca    0         0.25      0.25             1",Ca(BC)2
41,mp-1029,2.3975901031723645,8.170428075296527,301.58575510847294,"Full Formula (Ba1 F2)
Reduced Formula: BaF2
abc   :   4.442809   4.442809   4.442809
angles:  60.000000  60.000000  60.000000
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  F     0.75  0.75  0.75
  1  F     0.25  0.25  0.25
  2  Ba    0     0     0",BaF2
42,mp-10322,7.4357090919499464,30.19506253202084,719.5857219185235,"Full Formula (Ba2 Hf2 N4)
Reduced Formula: BaHfN2
abc   :   4.151013   4.151013   8.484556
angles:  90.000000  90.000000  90.000000
Sites (8)
  #  SP       a     b         c
---  ----  ----  ----  --------
  0  N     0.75  0.75  0.819798
  1  N     0.25  0.25  0.180202
  2  N     0.75  0.25  0.5
  3  N     0.25  0.75  0.5
  4  Ba    0.75  0.75  0.151737
  5  Ba    0.25  0.25  0.848263
  6  Hf    0.25  0.25  0.415067
  7  Hf    0.75  0.75  0.584933",BaHfN2
43,mp-10336,10.116478672548435,18.673626278801372,172.58576535130422,"Full Formula (Ba2 Y2 Cu2 Te6)
Reduced Formula: BaYCuTe3
abc   :   4.442627   7.817019  11.449826
angles:  90.000000  90.000000 106.508869
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cu    0.467534  0.935068  0.75
  1  Cu    0.532466  0.064932  0.25
  2  Y     0         0         0.5
  3  Y     0         0         0
  4  Te    0.363623  0.727246  0.938776
  5  Te    0.929696  0.859391  0.25
  6  Te    0.636377  0.272754  0.438776
  7  Te    0.636377  0.272754  0.061224
  8  Te    0.363623  0.727246  0.561224
  9  Te    0.070304  0.140609  0.75
 10  Ba    0.249379  0.498758  0.25
 11  Ba    0.750621  0.501242  0.75",BaYCuTe3
44,mp-10341,3.554472998004832,9.925032501668047,694.5857239035686,"Full Formula (Sr1 Ge1 Te1 O6)
Reduced Formula: SrGeTeO6
abc   :   5.149228   5.149228   5.493720
angles:  90.000000  90.000000 120.000000
Sites (9)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.382573  0.378877  0.699434
  1  O     0.621123  0.003696  0.699434
  2  O     0.996304  0.617427  0.699434
  3  O     0.382573  0.003696  0.300566
  4  O     0.996304  0.378877  0.300566
  5  O     0.621123  0.617427  0.300566
  6  Ge    0.666667  0.333333  0.5
  7  Sr    0         0         0
  8  Te    0.333333  0.666667  0.5",SrGeTeO6
45,mp-10378,8.163365022962411,21.92430853693818,69.63722405788964,"Full Formula (Cs3 Sb1)
Reduced Formula: Cs3Sb
abc   :   6.611987   6.611987   6.611987
angles:  60.000000  60.000000  60.000000
Sites (4)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Sb    0     0     0
  1  Cs    0.25  0.25  0.25
  2  Cs    0.75  0.75  0.75
  3  Cs    0.5   0.5   0.5",Cs3Sb
46,mp-1039,5.597271888039232,7.968398532110746,270.5857575699285,"Full Formula (Mg2 Te2)
Reduced Formula: MgTe
abc   :   4.610881   4.610881   7.509375
angles:  90.000000  90.000000 120.000000
Sites (4)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mg    0.333333  0.666667  0.996891
  1  Mg    0.666667  0.333333  0.496891
  2  Te    0.333333  0.666667  0.373109
  3  Te    0.666667  0.333333  0.873109",MgTe
47,mp-10408,2.777539745115334,6.981746726019808,1979.5856218722645,"Full Formula (K2 C1 N2)
Reduced Formula: K2CN2
abc   :   4.097267   4.097267   5.917930
angles:  76.258213  76.258213  89.514831
Sites (5)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  C     0         0         0
  1  N     0.84761   0.84761   0.206453
  2  N     0.15239   0.15239   0.793547
  3  K     0.675266  0.675266  0.708093
  4  K     0.324734  0.324734  0.291907",K2CN2
48,mp-10417,3.9098109227712454,10.626471523051901,609.5857306527207,"Full Formula (K2 Sb2 O4)
Reduced Formula: KSbO2
abc   :   5.679694   5.891293   5.891293
angles:  94.867927 112.852175 112.852175
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  O     0.220289  0.131367  0.233928         1
  1  O     0.279711  0.766072  0.868633         1
  2  O     0.720289  0.233928  0.131367         1
  3  O     0.779711  0.868633  0.766072         1
  4  K     0.25      0.636637  0.363363         1
  5  K     0.75      0.363363  0.636637         1
  6  Sb    0.75      0.906959  0.093041         1
  7  Sb    0.25      0.093041  0.906959         1",KSbO2
49,mp-10418,3.7102753164288274,9.912178138154557,607.5857308115244,"Full Formula (Rb2 Sb2 O4)
Reduced Formula: RbSbO2
abc   :   5.676910   6.209800   6.209800
angles:  98.350844 111.310721 111.310721
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  O     0.212437  0.130144  0.224243         1
  1  O     0.287563  0.775757  0.869856         1
  2  O     0.712437  0.224243  0.130144         1
  3  O     0.787563  0.869856  0.775757         1
  4  Rb    0.25      0.642841  0.357159         1
  5  Rb    0.75      0.357159  0.642841         1
  6  Sb    0.75      0.915148  0.084852         1
  7  Sb    0.25      0.084852  0.915148         1",RbSbO2
50,mp-10485,10.673487858406547,24.54931271195656,336.58575232941024,"Full Formula (Ba2 Li2 Sb2)
Reduced Formula: BaLiSb
abc   :   4.942313   4.942313   9.200513
angles:  90.000000  90.000000 120.000000
Sites (6)
  #  SP           a         b     c
---  ----  --------  --------  ----
  0  Li    0.666667  0.333333  0.75
  1  Li    0.333333  0.666667  0.25
  2  Sb    0.666667  0.333333  0.25
  3  Sb    0.333333  0.666667  0.75
  4  Ba    0         0         0.5
  5  Ba    0         0         0",BaLiSb
51,mp-10492,1.945891731228451,5.5161735040192905,762.5857185042465,"Full Formula (Rb2 Si1 F6)
Reduced Formula: Rb2SiF6
abc   :   6.089369   6.089369   6.089369
angles:  60.000000  60.000000  60.000000
Sites (9)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  F     0.200031  0.799969  0.799969       0.6
  1  F     0.200031  0.799969  0.200031       0.6
  2  F     0.799969  0.200031  0.799969       0.6
  3  F     0.799969  0.200031  0.200031       0.6
  4  F     0.799969  0.799969  0.200031       0.6
  5  F     0.200031  0.200031  0.799969       0.6
  6  Si    0         0         0              0.6
  7  Rb    0.75      0.75      0.75           0.6
  8  Rb    0.25      0.25      0.25           0.6",Rb2SiF6
52,mp-10547,4.0056121075338105,7.111494739967675,545.5857357344355,"Full Formula (Rb4 Au4 O4)
Reduced Formula: RbAuO
abc   :   5.947084   7.766325   7.766325
angles:  81.570389  67.488037  67.488037
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.712666  0.287334  0.287334
  1  O     0         0.712666  0.287334
  2  O     1         0.287334  0.712666
  3  O     0.287334  0.712666  0.712666
  4  Rb    0.193297  0.306703  0.306703
  5  Rb    0.5       0.693297  0.306703
  6  Rb    0.5       0.306703  0.693297
  7  Rb    0.806703  0.693297  0.693297
  8  Au    0.851621  0         0.296757
  9  Au    0.148379  0.703243  0
 10  Au    0.851621  0.296757  0
 11  Au    0.148379  0         0.703243",RbAuO
53,mp-10550,6.112325372357856,18.22086871715146,542.5857359726408,"Full Formula (Sr1 Mg2 N2)
Reduced Formula: SrMg2N2
abc   :   3.643607   3.643607   6.399763
angles:  90.000000  90.000000 120.000000
Sites (5)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  N     0.333333  0.666667  0.220537
  1  N     0.666667  0.333333  0.779463
  2  Mg    0.333333  0.666667  0.868604
  3  Mg    0.666667  0.333333  0.131396
  4  Sr    0         0         0.5",SrMg2N2
