,formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,mu_b,mu_b saturation
87,Cr2TiP,Full Heusler,21,L21,5.7976,1.0001,-0.36200000000000004,5.2,2.5318,481.92
88,Cr2TiAs,Full Heusler,21,L21,5.9565,1.0017,-0.136,65.11,2.9461,516.24
89,Cr2TiSb,Full Heusler,21,L21,6.2179,0.9990000000000001,-0.033,86.72,2.9913,462.02
90,Cr2VAl,Full Heusler,20,L21,5.93,1.0,-0.055,31.65,2.6887,478.31
91,Cr2VGa,Full Heusler,20,L21,5.93,1.0,-0.02,6.48,2.8109,500.04
92,Cr2VIn,Full Heusler,20,L21,6.25,1.0,0.272,46.41,3.7257,566.1
93,Cr2VSi,Full Heusler,21,L21,5.81,1.0005,-0.28800000000000003,53.98,2.8966,547.62
94,Cr2VGe,Full Heusler,21,L21,5.9082,1.0,-0.115,83.36,2.9515,530.88
95,Cr2VSn,Full Heusler,21,L21,6.18,1.0,0.078,64.35,2.9765,467.81
96,Cr2VP,Full Heusler,22,L21,5.66,1.0,-0.364,13.01,0.3656,74.8
97,Cr2VAs,Full Heusler,22,L21,5.84,1.0,-0.071,23.18,1.7736,330.33
98,Cr2VSb,Full Heusler,22,L21,6.11,1.0,0.10300000000000001,93.35,1.9941,324.3
99,Cr2CrAl,Full Heusler,21,L21,5.9114,1.0002,-0.021,64.28,2.9205,524.38
100,Cr2CrGa,Full Heusler,21,L21,5.92,1.0,0.035,46.04,2.8754,514.11
101,Cr2CrIn,Full Heusler,21,L21,6.25,1.0,0.344,68.56,2.9604,449.82
102,Cr2CrSi,Full Heusler,22,L21,5.73,1.0,-0.16899999999999998,41.4,1.8813,370.96
103,Cr2CrGe,Full Heusler,22,L21,5.86,1.0,0.032,92.88,1.9746,364.01
104,Cr2CrSn,Full Heusler,22,L21,6.2051,0.9983,0.239,99.84,1.9997,311.0
105,Cr2CrP,Full Heusler,23,L21,5.6071,1.0028,-0.201,0.0,0.0,0.0
106,Cr2CrAs,Full Heusler,23,L21,5.84,1.0,0.083,90.67,0.9754,181.67
107,Cr2CrSb,Full Heusler,23,L21,6.14,1.0,0.265,99.93,1.0,160.26
108,Cr2MnAl,Full Heusler,22,L21,5.9167,0.9999,0.002,97.35,1.9932,357.03
109,Cr2MnGa,Full Heusler,22,L21,5.9347,1.0013,0.04,89.59,1.9515,345.9
110,Cr2MnIn,Full Heusler,22,L21,6.27,1.0,0.337,62.99,2.0343,306.15
111,Cr2MnSi,Full Heusler,23,L21,5.78,1.0,-0.162,84.44,0.9306,178.77
112,Cr2MnGe,Full Heusler,23,L21,5.91,1.0,-0.006999999999999999,92.23,0.9588,172.3
113,Cr2MnSn,Full Heusler,23,L21,6.21,1.0,0.18100000000000002,95.76,0.9905,153.43
114,Cr2MnP,Full Heusler,24,L21,5.6774,0.9993,-0.268,41.82,0.397,80.54
115,Cr2MnAs,Full Heusler,24,L21,5.85,1.0,-0.006,80.55,0.0447,8.28
116,Cr2MnSb,Full Heusler,24,L21,6.13,1.0,0.171,95.17,0.0011,0.18
117,Cr2FeAl,Full Heusler,23,L21,5.8518,0.9991,0.099,82.06,4.9857,923.78
118,Cr2FeGa,Full Heusler,23,L21,5.89,1.0,0.11,50.67,0.8541,155.06
119,Cr2FeIn,Full Heusler,23,L21,6.16,1.0,0.45,53.19,0.9688,153.75
120,Cr2FeSi,Full Heusler,24,L21,5.7185,1.0021,-0.134,5.54,0.7815,154.7
121,Cr2FeGe,Full Heusler,24,L21,5.84,1.0,0.049,40.46,0.1578,29.39
122,Cr2FeSn,Full Heusler,24,D022,5.0667,1.6458,0.292,47.51,1.0825,187.6
123,Cr2FeP,Full Heusler,25,L21,5.6248,0.9997,-0.223,13.2,1.6627,346.69
124,Cr2FeAs,Full Heusler,25,L21,5.8006,0.9947,0.076,0.02,1.1509,219.91
125,Cr2FeSb,Full Heusler,25,L21,6.06,1.0,0.29600000000000004,61.58,0.8395,139.94
126,Cr2CoAl,Full Heusler,24,L21,5.8919,0.9986,0.125,75.95,5.7597,1046.02
127,Cr2CoGa,Full Heusler,24,L21,5.8906,1.001,0.162,79.2,5.7819,1048.29
128,Cr2CoIn,Full Heusler,24,L21,6.1978,1.001,0.47700000000000004,66.54,6.9038,1074.68
129,Cr2CoSi,Full Heusler,25,D022,4.7767,1.6358,-0.265,0.0,0.0,0.0
130,Cr2CoGe,Full Heusler,25,D022,4.8726,1.6211,-0.052000000000000005,0.0,0.0,0.0
131,Cr2CoSn,Full Heusler,25,L21,6.19,1.0,0.319,83.49,7.0093,1096.3
132,Cr2CoP,Full Heusler,26,D022,5.5397,1.0331,-0.16,34.48,0.4985,105.29
133,Cr2CoAs,Full Heusler,26,D022,4.9214,1.5768,0.013999999999999999,57.4,0.5348,105.56
134,Cr2CoSb,Full Heusler,26,D022,5.1399,1.5723,0.22399999999999998,66.97,0.7158,124.38
135,Cr2NiAl,Full Heusler,25,L21,6.0,1.0,0.153,66.55,6.686,1148.26
136,Cr2NiGa,Full Heusler,25,L21,5.99,1.0,0.16899999999999998,68.79,6.5147,1124.45
137,Cr2NiIn,Full Heusler,25,L21,6.3,1.0,0.409,26.7,7.4137,1099.87
138,Cr2NiSi,Full Heusler,26,D022,4.8237,1.6169,-0.215,0.0,0.0,0.0
139,Cr2NiGe,Full Heusler,26,D022,4.9228,1.598,-0.031,7.82,0.078,15.18
140,Cr2NiSn,Full Heusler,26,L21,6.27,1.0,0.273,0.79,7.093,1067.47
141,Cr2NiP,Full Heusler,27,D022,5.4831,1.0761,-0.191,0.0,0.0001,0.02
142,Cr2NiAs,Full Heusler,27,D022,5.0664,1.4838,0.043,69.21,1.7279,332.19
143,Cr2NiSb,Full Heusler,27,D022,5.178999999999999,1.5627,0.215,65.14,1.8940000000000001,323.66
144,Mn2ScAl,Full Heusler,20,L21,6.16,1.0,-0.111,88.78,4.0054,635.67
145,Mn2ScGa,Full Heusler,20,D022,5.63,1.3677,-0.111,31.71,5.4082,822.0
146,Mn2ScIn,Full Heusler,20,L21,6.52,1.0,0.055999999999999994,37.22,5.9553,797.05
147,Mn2ScSi,Full Heusler,21,L21,5.9449,1.0011,-0.25,93.9,2.9809,525.72
148,Mn2ScGe,Full Heusler,21,L21,6.04,1.0,-0.128,84.94,2.9786,501.45
149,Mn2ScSn,Full Heusler,21,L21,6.48,1.0,-0.083,47.79,5.6623,771.96
150,Mn2ScP,Full Heusler,22,L21,5.82,1.0,-0.313,96.18,1.9888,374.24
151,Mn2ScAs,Full Heusler,22,L21,5.975,0.9998,-0.11699999999999999,96.41,1.9852,345.29
152,Mn2ScSb,Full Heusler,22,L21,6.2319,0.9996,-0.067,97.14,1.9879,304.81
153,Mn2TiAl,Full Heusler,21,L21,5.95,1.0,-0.33799999999999997,75.34,2.9865,525.94
154,Mn2TiGa,Full Heusler,21,L21,5.94,1.0,-0.28600000000000003,77.07,2.9726,526.14
155,Mn2TiIn,Full Heusler,21,L21,6.22,1.0,-0.013000000000000001,12.55,3.1839999999999997,490.83
156,Mn2TiSi,Full Heusler,22,L21,5.77,1.0,-0.535,93.46,1.9832,382.97
157,Mn2TiGe,Full Heusler,22,L21,5.87,1.0,-0.35100000000000003,94.28,1.9721,361.69
158,Mn2TiSn,Full Heusler,22,L21,6.13,1.0,-0.17,96.98,1.9841,319.53
159,Mn2TiP,Full Heusler,23,L21,5.6621,1.0001,-0.614,0.09,0.0044,0.9
160,Mn2TiAs,Full Heusler,23,L21,5.82,1.0,-0.34600000000000003,70.55,0.9519,179.12
161,Mn2TiSb,Full Heusler,23,L21,6.07,1.0,-0.214,88.3,0.976,161.89
162,Mn2VAl,Full Heusler,22,L21,5.8019,0.9994,-0.31,98.05,1.9994,379.98
163,Mn2VGa,Full Heusler,22,L21,5.8044,1.001,-0.225,94.78,1.9786,374.95
164,Mn2VIn,Full Heusler,22,L21,6.25,1.0,0.09300000000000001,7.49,4.1104,624.56
165,Mn2VSi,Full Heusler,23,L21,5.65,1.0,-0.517,73.16,0.9657,198.62
166,Mn2VGe,Full Heusler,23,L21,5.75,1.0,-0.278,84.97,0.9628,187.87
167,Mn2VSn,Full Heusler,23,L21,6.01,1.0,-0.018000000000000002,93.53,0.9941,169.88
168,Mn2VP,Full Heusler,24,L21,5.5664,0.9999,-0.5479999999999999,3.35,0.0018,0.39
169,Mn2VAs,Full Heusler,24,L21,5.7203,0.9994,-0.225,0.03,0.0,0.0
170,Mn2VSb,Full Heusler,24,L21,5.9686,0.9999,-0.031,0.0,0.0,0.0
171,Mn2CrAl,Full Heusler,23,L21,5.72,1.0,-0.155,91.76,1.0406,206.26
172,Mn2CrGa,Full Heusler,23,D022,5.4019,1.2832,-0.061,58.23,2.7269,500.11
173,Mn2CrIn,Full Heusler,23,L21,6.31,1.0,0.243,53.3,3.7636,555.7
174,Mn2CrSi,Full Heusler,24,L21,5.5899,0.9988,-0.327,0.04,0.0002,0.04
175,Mn2CrGe,Full Heusler,24,L21,5.72,1.0,-0.063,95.68,0.0156,3.09
176,Mn2CrSn,Full Heusler,24,D022,5.61,1.3316,0.092,88.95,2.028,320.0
177,Mn2CrP,Full Heusler,25,L21,5.55,1.0,-0.335,87.89,1.0108,219.34
178,Mn2CrAs,Full Heusler,25,D022,5.2188,1.4032,-0.055,13.48,1.4207,264.25
179,Mn2CrSb,Full Heusler,25,D022,5.52,1.3623,0.10400000000000001,9.78,1.1809,191.18
180,Mn2MnAl,Full Heusler,24,D022,5.3644,1.307,-0.136,55.07,1.7039,313.27
181,Mn2MnGa,Full Heusler,24,D022,5.35,7.09,-0.10400000000000001,58.98,1.7624,60.22
182,Mn2MnIn,Full Heusler,24,D022,5.6,1.3464,0.179,67.32,1.9188,301.03
183,Mn2MnSi,Full Heusler,25,L21,5.64,1.0,-0.32799999999999996,95.93,1.0071,208.24
184,Mn2MnGe,Full Heusler,25,D022,5.2882,1.3430000000000002,-0.14800000000000002,72.35,0.9943,185.71
185,Mn2MnSn,Full Heusler,25,D022,5.5637,1.3377,0.033,85.16,1.0435,168.02
186,Mn2MnP,Full Heusler,26,L21,5.55,1.0,-0.39899999999999997,95.56,2.0003,434.05
187,Mn2MnAs,Full Heusler,26,L21,5.71,1.0,-0.09699999999999999,92.89,2.002,398.92
188,Mn2MnSb,Full Heusler,26,D022,5.4041,1.4378,0.049,11.82,1.133,185.22
189,Mn2FeAl,Full Heusler,25,D022,5.2194,1.3645,-0.07200000000000001,29.28,5.1686,988.26
190,Mn2FeGa,Full Heusler,25,L21,5.87,1.0,-0.036000000000000004,48.52,7.3108,1340.84
191,Mn2FeIn,Full Heusler,25,L21,6.16,1.0,0.23399999999999999,29.41,8.0256,1273.69
192,Mn2FeSi,Full Heusler,26,L21,5.599,1.0002,-0.265,25.04,2.104,444.57
193,Mn2FeGe,Full Heusler,26,D022,5.3788,1.2613,-0.057999999999999996,54.12,6.4483,1218.73
194,Mn2FeSn,Full Heusler,26,D022,5.75,1.2104,0.08800000000000001,32.05,7.3279,1181.3
195,Mn2FeP,Full Heusler,27,L21,5.55,1.0,-0.294,44.63,2.8161,611.08
196,Mn2FeAs,Full Heusler,27,D022,5.0395,1.4881,-0.02,22.65,2.2138,431.17
197,Mn2FeSb,Full Heusler,27,D022,5.2938,1.4767,0.13,11.14,7.1437,1209.64
198,Mn2CoAl,Full Heusler,26,L21,5.89,1.0,-0.14400000000000002,4.85,7.5559,1371.73
199,Mn2CoGa,Full Heusler,26,L21,5.91,1.0,-0.086,28.99,7.7951,1400.83
200,Mn2CoIn,Full Heusler,26,L21,6.19,1.0,0.165,30.43,8.1582,1276.0
201,Mn2CoSi,Full Heusler,27,D022,4.8959,1.4978,-0.257,46.4,2.1643,456.77
202,Mn2CoGe,Full Heusler,27,L21,5.86,1.0,-0.009000000000000001,56.26,7.1538,1318.78
203,Mn2CoSn,Full Heusler,27,D022,5.5362,1.3506,0.052000000000000005,44.8,7.3015,1181.89
204,Mn2CoP,Full Heusler,28,L21,5.5092,0.9993,-0.23800000000000002,0.09,0.3986,88.49
205,Mn2CoAs,Full Heusler,28,D022,5.1779,1.3982,-0.027999999999999997,34.13,5.8381,1115.76
206,Mn2CoSb,Full Heusler,28,D022,5.4292,1.4102,0.076,62.81,6.874,1129.94
207,Mn2NiAl,Full Heusler,27,L21,5.92,1.0,-0.09699999999999999,50.48,6.8174,1218.94
208,Mn2NiGa,Full Heusler,27,D022,5.3911,1.3223,-0.098,52.97,6.6725,1194.72
209,Mn2NiIn,Full Heusler,27,L21,6.25,1.0,0.157,46.99,7.7576,1178.73
210,Mn2NiSi,Full Heusler,28,D022,5.1434,1.3706,-0.266,18.3,4.9589,986.39
211,Mn2NiGe,Full Heusler,28,D022,5.2653,1.3665,-0.129,26.27,5.6529,1051.31
212,Mn2NiSn,Full Heusler,28,D022,5.4657,1.4094,-0.011000000000000001,49.61,6.3444,1022.67
213,Mn2NiP,Full Heusler,29,L21,5.53,1.0,-0.261,0.0,0.0001,0.02
214,Mn2NiAs,Full Heusler,29,D022,5.2002,1.4034,-0.096,13.81,5.3638,1008.23
215,Mn2NiSb,Full Heusler,29,D022,5.3953,1.4396,-0.008,49.95,5.8538,960.44
216,Fe2ScAl,Full Heusler,22,L21,6.02,1.0,-0.19699999999999998,92.85,1.9221,326.82
217,Fe2ScGa,Full Heusler,22,L21,6.01,1.0,-0.14,93.61,1.9142,327.11
218,Fe2ScIn,Full Heusler,22,L21,6.37,1.0,0.039,56.37,3.8266,549.19
219,Fe2ScSi,Full Heusler,23,L21,5.85,1.0,-0.387,91.16,0.9336,172.99
220,Fe2ScGe,Full Heusler,23,L21,5.95,1.0,-0.24600000000000002,90.53,0.9044,159.27
221,Fe2ScSn,Full Heusler,23,L21,6.2048,1.0005,-0.162,86.4,0.8989,139.52
222,Fe2ScP,Full Heusler,24,L21,5.75,1.0,-0.484,0.0,0.0,0.0
223,Fe2ScAs,Full Heusler,24,L21,5.9,1.0,-0.28800000000000003,0.0,0.0,0.0
224,Fe2ScSb,Full Heusler,24,L21,6.15,1.0,-0.253,0.0,0.0002,0.03
225,Fe2TiAl,Full Heusler,23,L21,5.82,1.0,-0.465,88.76,0.9442,177.67
226,Fe2TiGa,Full Heusler,23,L21,5.83,1.0,-0.377,87.03,0.9086,170.1
227,Fe2TiIn,Full Heusler,23,L21,6.07,1.0,-0.059000000000000004,88.28,0.9466,157.01
228,Fe2TiSi,Full Heusler,24,L21,5.685,1.0001,-0.706,0.0,0.0,0.0
229,Fe2TiGe,Full Heusler,24,L21,5.78,1.0,-0.494,0.0,0.0,0.0
230,Fe2TiSn,Full Heusler,24,L21,6.0338,1.0,-0.304,0.0,0.0007,0.12
231,Fe2TiP,Full Heusler,25,L21,5.65,1.0,-0.6,100.0,1.0,205.68
232,Fe2TiAs,Full Heusler,25,L21,5.8,1.0,-0.354,100.0,1.0,190.13
233,Fe2TiSb,Full Heusler,25,L21,6.04,1.0,-0.264,100.0,1.0022,168.72
234,Fe2VAl,Full Heusler,24,L21,5.6925,1.0001,-0.42700000000000005,0.0,0.0,0.0
235,Fe2VGa,Full Heusler,24,L21,5.7084,1.0,-0.299,0.0,0.0,0.0
236,Fe2VIn,Full Heusler,24,L21,5.9606,0.9999,0.107,0.0,0.0,0.0
237,Fe2VSi,Full Heusler,25,L21,5.61,1.0,-0.489,81.91,0.8056,169.26
238,Fe2VGe,Full Heusler,25,D022,5.59,1.0698,-0.249,78.36,0.8652,171.76
239,Fe2VSn,Full Heusler,25,L21,5.98,1.0,-0.02,66.79,0.882,153.0
240,Fe2VP,Full Heusler,26,D022,5.181,1.2439,-0.414,0.0,0.0,0.0
241,Fe2VAs,Full Heusler,26,D022,5.3037,1.253,-0.134,0.0,0.0,0.0
242,Fe2VSb,Full Heusler,26,L21,5.99,1.0,0.01,66.39,1.8343,316.6
243,Fe2CrAl,Full Heusler,25,L21,5.6599,1.0,-0.16699999999999998,95.02,0.9978,204.15
244,Fe2CrGa,Full Heusler,25,L21,5.68,1.0,-0.033,100.0,1.0013,202.7
245,Fe2CrIn,Full Heusler,25,D022,5.462000000000001,1.3928,0.302,87.34,0.912,149.06
246,Fe2CrSi,Full Heusler,26,D022,5.4678,1.0659,-0.266,99.38,2.0,425.78
247,Fe2CrGe,Full Heusler,26,D022,5.62,1.0409,-0.031,100.0,2.0,401.54
248,Fe2CrSn,Full Heusler,26,L21,5.9688,0.9999,0.18600000000000003,99.91,2.0011,349.11
249,Fe2CrP,Full Heusler,27,D022,5.062,1.3152,-0.245,67.17,1.0625,231.04
250,Fe2CrAs,Full Heusler,27,D022,5.22,1.3065,0.046,51.19,0.1825,36.43
251,Fe2CrSb,Full Heusler,27,D022,5.756,1.1068,0.17300000000000001,99.98,3.0,527.27
252,Fe2MnAl,Full Heusler,26,L21,5.6711,1.0002,-0.038,0.01,0.0001,0.02
253,Fe2MnGa,Full Heusler,26,L21,5.6969,1.0001,-0.075,74.25,2.0329,407.84
254,Fe2MnIn,Full Heusler,26,D022,5.4,1.4278,0.23600000000000002,30.29,0.2034,33.56
255,Fe2MnSi,Full Heusler,27,L21,5.5942,0.9951,-0.34,100.0,3.0,638.77
256,Fe2MnGe,Full Heusler,27,D022,5.7226,0.9839,-0.114,96.99,3.0081,605.16
257,Fe2MnSn,Full Heusler,27,L21,5.9606,0.9992,0.107,0.23,5.597,981.2
258,Fe2MnP,Full Heusler,28,L21,5.55,1.0,-0.321,100.0,4.0,867.98
259,Fe2MnAs,Full Heusler,28,L21,5.7,1.0,-0.055999999999999994,94.02,4.006,802.44
260,Fe2MnSb,Full Heusler,28,L21,5.9479999999999995,0.9993,0.062,87.28,4.0661,717.31
261,Fe2FeAl,Full Heusler,27,L21,5.74,1.0,-0.201,54.0,5.9605,1169.16
262,Fe2FeGa,Full Heusler,27,D022,5.43,1.2118,-0.111,56.93,6.6536,1272.21
263,Fe2FeIn,Full Heusler,27,D022,5.65,1.2354,0.172,46.73,7.1541,1191.05
264,Fe2FeSi,Full Heusler,28,L21,5.61,1.0,-0.32899999999999996,44.51,5.0667,1064.54
265,Fe2FeGe,Full Heusler,28,L21,5.7155,0.9998,-0.11599999999999999,48.39,5.2807,1049.36
266,Fe2FeSn,Full Heusler,28,L21,6.0127,1.0027,0.043,42.85,6.5086,1107.7
267,Fe2FeP,Full Heusler,29,L21,5.5524,1.0001,-0.289,48.38,5.0315,1090.32
268,Fe2FeAs,Full Heusler,29,L21,5.74,1.0,-0.037000000000000005,0.32,5.763999999999999,1130.62
269,Fe2FeSb,Full Heusler,29,L21,5.987,0.9995,0.057999999999999996,27.48,6.0872,1052.82
270,Fe2CoAl,Full Heusler,28,D022,5.056,1.4727,-0.19,64.3,5.8097,1132.27
271,Fe2CoGa,Full Heusler,28,L21,5.77,1.0,-0.049,79.39,6.0409,1166.54
272,Fe2CoIn,Full Heusler,28,L21,6.05,1.0,0.244,79.59,6.5959,1104.93
273,Fe2CoSi,Full Heusler,29,L21,5.59,1.0,-0.226,81.65,4.3846,931.15
274,Fe2CoGe,Full Heusler,29,D022,5.0578,1.4637,-0.08900000000000001,54.22,5.5796,1092.94
