,formula,phase,processing,gfa
45,Ag15Mg80Y5,AM,meltspin,1
46,Ag15Pd68.5Si16.5,AM,meltspin,1
47,Ag17Cu20Fe63,CR,sputtering,0
48,Ag17Cu41Fe42,CR,sputtering,0
49,Ag20.9Pd62.6Si16.5,CR,meltspin,0
50,Ag20Al25La55,AM,meltspin,1
51,Ag20Ce10Cu70,AM,meltspin,1
52,Ag20Ce3Cu77,CR,meltspin,0
53,Ag20Ce4Cu76,CR,meltspin,0
54,Ag20Ce5Cu75,AC,meltspin,0
55,Ag20Ce6Cu74,AM,meltspin,1
56,Ag20Mg20Y60,AC,meltspin,0
57,Ag20Mg30Y50,AM,meltspin,1
58,Ag20Mg40Y40,AM,meltspin,1
59,Ag20Mg50Y30,AM,meltspin,1
60,Ag20Mg60Y20,AM,meltspin,1
61,Ag20Mg70Y10,AM,meltspin,1
62,Ag21Cu42Fe37,AC,sputtering,0
63,Ag22Cu41Fe37,AC,sputtering,0
64,Ag22Cu51Fe27,CR,sputtering,0
65,Ag23Cu10Fe67,CR,sputtering,0
66,Ag24Cu31Fe45,CR,sputtering,0
67,Ag25Al10Mg65,AM,meltspin,1
68,Ag25Al20Mg55,AM,meltspin,1
69,Ag25Ce6Cu69,AM,meltspin,1
70,Ag25Cu25Fe50,CR,sputtering,0
71,Ag25Mg60Y15,AM,meltspin,1
72,Ag25Mg65Y10,AM,meltspin,1
73,Ag25Mg70Y5,AM,meltspin,1
74,Ag26Cu23Fe51,CR,sputtering,0
75,Ag26Cu44Fe30,AC,sputtering,0
76,Ag27Cu31Fe42,CR,sputtering,0
77,Ag27Cu73Fe0,CR,sputtering,0
78,Ag28Cu30Fe42,AM,sputtering,1
79,Ag28Cu45Fe27,CR,sputtering,0
80,Ag29Cu30Fe41,AM,sputtering,1
81,Ag29Cu31Fe40,AC,sputtering,0
82,Ag30Ce10Cu60,AM,meltspin,1
83,Ag30Ce3Cu67,CR,meltspin,0
84,Ag30Ce5Cu65,AC,meltspin,0
85,Ag30Ce6Cu64,AM,meltspin,1
86,Ag30Cu30Fe40,AM,sputtering,1
87,Ag30Mg20Y50,CR,meltspin,0
88,Ag30Mg30Y40,AM,meltspin,1
89,Ag30Mg40Y30,AM,meltspin,1
90,Ag30Mg50Y20,AM,meltspin,1
91,Ag30Mg55Y15,AM,meltspin,1
92,Ag30Mg60Y10,AM,meltspin,1
93,Ag31Cu31Fe38,AM,sputtering,1
94,Ag31Cu37Fe32,AC,sputtering,0
95,Ag31Cu49Fe20,CR,sputtering,0
96,Ag31Cu55Fe14,CR,sputtering,0
97,Ag32Cu66Fe2,CR,sputtering,0
98,Ag35Al10Mg55,AM,meltspin,1
99,Ag35Al20Mg45,AM,meltspin,1
100,Ag35Ce3Cu62,AC,meltspin,0
101,Ag35Ce4Cu61,AM,meltspin,1
102,Ag35Ce5Cu60,AM,meltspin,1
103,Ag35Ce6Cu59,AM,meltspin,1
104,Ag35Cu35Mg30,AM,meltspin,1
105,Ag36Cu30Fe34,AC,sputtering,0
106,Ag37.5Cu37.5Ge25,AM,meltspin,1
107,Ag37Cu6Fe57,CR,sputtering,0
108,Ag38.75Cu38.75Ge22.5,AM,meltspin,1
109,Ag38Cu22Fe40,AM,sputtering,1
110,Ag4.2Pd79.3Si16.5,AM,meltspin,1
111,Ag4.5Pd75.5Si20,AM,meltspin,1
112,Ag4.5Pd79Si16.5,AM,meltspin,1
113,Ag40Ce10Cu50,AM,meltspin,1
114,Ag40Ce1Cu59,CR,meltspin,0
115,Ag40Ce2Cu58,CR,meltspin,0
116,Ag40Ce3Cu57,AM,meltspin,1
117,Ag40Ce4Cu56,AM,meltspin,1
118,Ag40Ce5Cu55,AM,meltspin,1
119,Ag40Ce8Cu52,AM,meltspin,1
120,Ag40Cu12Fe48,AC,sputtering,0
121,Ag40Cu40Fe20,AC,sputtering,0
122,Ag40Cu40Ge20,AM,meltspin,1
123,Ag40Cu47Fe13,AC,sputtering,0
124,Ag40Mg20Y40,CR,meltspin,0
125,Ag40Mg30Y30,AM,meltspin,1
126,Ag40Mg40Y20,AM,meltspin,1
127,Ag40Mg50Y10,AM,meltspin,1
128,Ag41Cu23Fe36,AM,sputtering,1
129,Ag42Cu0Fe58,CR,sputtering,0
130,Ag45Al20Mg35,AM,meltspin,1
131,Ag45Ce2Cu53,AC,meltspin,0
132,Ag45Ce3Cu52,AM,meltspin,1
133,Ag45Ce4Cu51,AM,meltspin,1
134,Ag45Ce5Cu50,AM,meltspin,1
135,Ag46Cu12Fe42,AM,sputtering,1
136,Ag48Cu0Fe52,CR,sputtering,0
137,Ag48Cu52Fe0,CR,sputtering,0
138,Ag49Cu29Fe22,CR,sputtering,0
139,Ag4Pd79.5Si16.5,AM,meltspin,1
140,Ag5.5Cu87P7.5,CR,meltspin,0
141,Ag5.5Pd78Si16.5,AM,meltspin,1
142,Ag50Ce10Cu40,AM,meltspin,1
143,Ag50Ce2Cu48,AC,meltspin,0
144,Ag50Ce3Cu47,AM,meltspin,1
145,Ag50Ce4Cu46,AM,meltspin,1
146,Ag50Ce5Cu45,AM,meltspin,1
147,Ag50Cu0Fe50,CR,sputtering,0
148,Ag50Mg20Y30,AC,meltspin,0
149,Ag50Mg30Y20,AM,meltspin,1
150,Ag50Mg40Y10,CR,meltspin,0
151,Ag51Cu13Fe36,CR,sputtering,0
152,Ag52Cu0Fe48,CR,sputtering,0
153,Ag55Ce5Cu40,AM,meltspin,1
154,Ag55Ce6Cu39,AM,meltspin,1
155,Ag55Ce8Cu37,AM,meltspin,1
156,Ag55Cu0Fe45,CR,sputtering,0
157,Ag58Cu32Fe10,CR,sputtering,0
158,Ag5Ce5Cu90,CR,meltspin,0
159,Ag5Ce6Cu89,CR,meltspin,0
160,Ag5Ce8Cu87,CR,meltspin,0
161,Ag5Mg80Y15,AM,meltspin,1
162,Ag5Mg85Y10,AC,meltspin,0
163,Ag5Mg90Y5,CR,meltspin,0
164,Ag5Pd77Si18,AM,meltspin,1
165,Ag5Pd79Si16,AM,meltspin,1
166,Ag6.7Pd76.8Si16.5,AM,meltspin,1
167,Ag60Ce10Cu30,AC,meltspin,0
168,Ag60Ce3Cu37,CR,meltspin,0
169,Ag60Ce5Cu35,AC,meltspin,0
170,Ag60Mg20Y20,AC,meltspin,0
171,Ag61Cu0Fe39,CR,sputtering,0
172,Ag62Cu30Fe8,CR,sputtering,0
173,Ag63Cu0Fe37,CR,sputtering,0
174,Ag63Cu8Fe29,CR,sputtering,0
175,Ag67Cu0Fe33,CR,sputtering,0
176,Ag6Ce8Cu86,AC,meltspin,0
177,Ag6Pd77.5Si16.5,AM,meltspin,1
178,Ag7.1Cu85.2P7.7,AM,meltspin,1
179,Ag7.5Cu85.5P7,AM,meltspin,1
180,Ag7.5Cu86P6.5,AC,meltspin,0
181,Ag70Ce10Cu20,CR,meltspin,0
182,Ag70Ce5Cu25,CR,meltspin,0
183,Ag70Cu0Fe30,CR,sputtering,0
184,Ag7Cu84.5P8.5,AC,meltspin,0
185,Ag8.5Pd75Si16.5,AM,meltspin,1
186,Ag8.9Cu83.5P7.6,AM,meltspin,1
187,Ag84Cu0Fe16,CR,sputtering,0
188,Ag9Cu82.5P8.5,CR,meltspin,0
189,Ag9Cu82.8P8.2,AM,meltspin,1
190,Ag9Cu84.5P6.5,AC,meltspin,0
191,Ag9Cu84P7,AM,meltspin,1
192,Ag9Cu85P6,CR,meltspin,0
193,Al0.018Fe89.982Zr10,AM,meltspin,1
194,Al0.036Fe89.964Zr10,AM,meltspin,1
195,Al0.054Fe89.946Zr10,AM,meltspin,1
196,Al0.09Fe89.91Zr10,AM,meltspin,1
197,Al0B13Fe87,AM,meltspin,1
198,Al0B18Co82,AM,meltspin,1
199,Al0B18Fe82,AM,meltspin,1
200,Al0B18Ni82,AM,meltspin,1
201,Al0B22Co78,AM,meltspin,1
202,Al0B22Fe78,AM,meltspin,1
203,Al0B22Ni78,CR,meltspin,0
204,Al0B26Co74,AM,meltspin,1
205,Al0B26Ni74,CR,meltspin,0
206,Al0B30Co70,AM,meltspin,1
207,Al0B30Ni70,AM,meltspin,1
208,Al0B34Ni66,AM,meltspin,1
209,Al0B36Co64,AM,meltspin,1
210,Al0B38Co62,AM,meltspin,1
211,Al0B38Ni62,AM,meltspin,1
212,Al0B40Co60,AM,meltspin,1
213,Al0B40Ni60,AM,meltspin,1
214,Al0B42Ni58,AM,meltspin,1
215,Al0Co90Zr10,AM,meltspin,1
216,Al0Cu10Ti90,CR,meltspin,0
217,Al0Cu20La80,CR,meltspin,0
218,Al0Cu20Ti80,CR,meltspin,0
219,Al0Cu30Ti70,AC,meltspin,0
220,Al0Cu33Zr67,AM,meltspin,1
221,Al0Cu35Ti65,AM,meltspin,1
222,Al0Cu40La60,CR,meltspin,0
223,Al0Cu40Ti60,AM,meltspin,1
224,Al0Cu40Y60,AM,meltspin,1
225,Al0Cu40Zr60,AM,meltspin,1
226,Al0Cu45Ti55,AM,meltspin,1
227,Al0Cu50La50,CR,meltspin,0
228,Al0Cu50Ti50,AM,meltspin,1
229,Al0Cu55Ti45,AM,meltspin,1
230,Al0Cu56Zr44,AM,meltspin,1
231,Al0Cu60Ti40,AM,meltspin,1
232,Al0Cu60Zr40,AM,meltspin,1
233,Al0Cu73Ti27,AM,meltspin,1
234,Al0Cu75Ti25,AM,meltspin,1
235,Al0Cu80Ti20,AC,meltspin,0
236,Al0Fe66.7Tb33.3,CR,meltspin,0
237,Al0Fe80P20,AM,meltspin,1
238,Al0Fe90Zr10,AM,meltspin,1
239,Al0Gd56Si44,AM,meltspin,1
240,Al0La30Ni70,CR,meltspin,0
241,Al0La40Ni60,CR,meltspin,0
242,Al0La48Ni52,AM,meltspin,1
243,Al0La50Ni50,CR,meltspin,0
244,Al0La60Ni40,AM,meltspin,1
245,Al0La70Ni30,AM,meltspin,1
246,Al0La80Ni20,CR,meltspin,1
247,Al0La90Ni10,CR,meltspin,0
248,Al0Mg0Ti1,CR,sputtering,0
249,Al0Mg1Ti0,CR,sputtering,0
250,Al0Mg52Ti48,CR,sputtering,0
251,Al0Mg55Zn45,AC,meltspin,0
252,Al0Mg60Zn40,AM,meltspin,1
253,Al0Mg65Zn35,AM,meltspin,1
254,Al0Mg70Zn30,AM,meltspin,1
255,Al0Mg75Zn25,AM,meltspin,1
256,Al0Mg77Ti23,CR,sputtering,0
257,Al0Mg80Zn20,AC,meltspin,0
258,Al0Mg83Ti17,CR,sputtering,0
259,Al0Mg85Zn15,AC,meltspin,0
260,Al0Mg90Zn10,CR,meltspin,0
261,Al0Mg95Zn5,CR,meltspin,0
262,Al0Ni0Ti1,CR,sputtering,0
263,Al0Ni18Zr82,AM,meltspin,1
264,Al0Ni1Ti0,CR,sputtering,0
265,Al0Ni20Zr80,AM,meltspin,1
266,Al0Ni28Ti72,AM,sputtering,1
267,Al0Ni30Ti70,AM,meltspin,1
268,Al0Ni30Zr70,AM,meltspin,1
269,Al0Ni33Ti67,AM,meltspin,1
270,Al0Ni36Zr64,AM,meltspin,1
271,Al0Ni38Ti62,AM,sputtering,1
272,Al0Ni40Ti60,AM,meltspin,1
273,Al0Ni40Zr60,AM,meltspin,1
274,Al0Ni50Ti50,AC,meltspin,0
275,Al0Ni50Zr50,AM,meltspin,1
276,Al0Ni55Ti45,AC,meltspin,0
277,Al0Ni60Zr40,AM,meltspin,1
278,Al0Ni63Ti37,AM,sputtering,1
279,Al0Ni65Zr35,AM,meltspin,1
280,Al0Ni68Ti32,AM,sputtering,1
281,Al0Ni68Zr32,AM,meltspin,1
282,Al0Ni72Ti28,AC,sputtering,0
283,Al0Ni75Ti25,CR,meltspin,0
284,Al0Ni84Ti16,CR,sputtering,0
285,Al0Ni90Zr10,AM,meltspin,1
286,Al0Si13Zr87,AM,meltspin,1
287,Al0Si15Zr85,AM,meltspin,1
288,Al0Si17Zr83,AM,meltspin,1
289,Al100Co0Fe0,CR,meltspin,0
290,Al100Co0Mn0,CR,meltspin,0
291,Al100Fe0Ni0,CR,meltspin,0
292,Al100Mg0Ti0,CR,sputtering,0
293,Al100Mn0Ni0,CR,meltspin,0
294,Al10Ca60Ga30,AM,meltspin,1
295,Al10Ce10Cu80,CR,meltspin,0
296,Al10Ce2Cu88,CR,meltspin,0
297,Al10Ce4Cu86,AC,meltspin,0
298,Al10Ce6Cu84,AC,meltspin,0
299,Al10Ce8Cu82,AM,meltspin,1
300,Al10Cu0La90,CR,meltspin,0
301,Al10Cu0Ti90,CR,meltspin,0
302,Al10Cu10La80,CR,meltspin,0
303,Al10Cu10Ti80,CR,meltspin,0
304,Al10Cu20La70,AC,meltspin,0
305,Al10Cu20Ti70,CR,meltspin,0
306,Al10Cu25Hf65,AM,meltspin,1
307,Al10Cu25Ti65,AM,meltspin,1
308,Al10Cu25Zr65,AM,meltspin,1
309,Al10Cu30La60,AM,meltspin,1
310,Al10Cu30Ti60,AM,meltspin,1
311,Al10Cu35Ti55,AM,meltspin,1
312,Al10Cu36Y54,AM,meltspin,1
313,Al10Cu50La40,CR,meltspin,0
314,Al10Cu50Ti40,AM,meltspin,1
315,Al10Cu60La30,CR,meltspin,0
316,Al10Cu60Ti30,AM,meltspin,1
317,Al10Cu70La20,CR,meltspin,0
318,Al10Cu70Ti20,AC,meltspin,0
319,Al10Cu80La10,CR,meltspin,0
320,Al10Cu80Nd10,CR,meltspin,0
321,Al10Cu82Nd8,AM,meltspin,1
322,Al10Cu84Nd6,AC,meltspin,0
323,Al10Cu86Nd4,AC,meltspin,0
324,Al10Cu88Nd2,CR,meltspin,0
325,Al10Hf65Ni25,AM,meltspin,1
326,Al10La10Ni80,CR,meltspin,0
327,Al10La20Ni70,CR,meltspin,0
328,Al10La25Ni65,AC,meltspin,0
329,Al10La30Ni60,AM,meltspin,1
330,Al10La35Ni55,AM,meltspin,1
331,Al10La40Ni50,AM,meltspin,1
332,Al10La45Ni45,AM,meltspin,1
333,Al10La50Ni40,AM,meltspin,1
334,Al10La55Ni35,AM,meltspin,1
335,Al10La60Ni30,AM,meltspin,1
336,Al10La65Ni25,AM,meltspin,1
337,Al10La70Ni20,AM,meltspin,1
338,Al10La75Ni15,AM,meltspin,1
339,Al10La80Ni10,AM,meltspin,1
340,Al10La86Ni4,AM,meltspin,1
341,Al10La90Ni0,CR,meltspin,0
342,Al10Mg40Zn50,CR,meltspin,0
343,Al10Mg50Zn40,CR,meltspin,0
344,Al10Mg60Zn30,CR,meltspin,0
345,Al10Mg65Zn25,AM,meltspin,1
346,Al10Mg70Zn20,AM,meltspin,1
347,Al10Mg75Zn15,AM,meltspin,1
348,Al10Mg80Zn10,CR,meltspin,0
349,Al10Mg85Zn5,CR,meltspin,0
350,Al10Ni10Zr80,AM,meltspin,1
351,Al10Ni15Zr75,AM,meltspin,1
352,Al10Ni20Zr70,AM,meltspin,1
353,Al10Ni25Ti65,AM,meltspin,1
354,Al10Ni25Zr65,AM,meltspin,1
355,Al10Ni30Ti60,AM,meltspin,1
356,Al10Ni30Zr60,AM,meltspin,1
357,Al10Ni32.4Zr57.6,AM,meltspin,1
358,Al10Ni35Zr55,AM,meltspin,1
359,Al10Ni36Ti54,AM,meltspin,1
360,Al10Ni40Ti50,AM,meltspin,1
361,Al10Ni40Zr50,AM,meltspin,1
362,Al10Ni45Ti45,AC,meltspin,0
363,Al10Ni50Zr40,AM,meltspin,1
364,Al10Ni55Zr35,AM,meltspin,1
365,Al10Ni5Zr85,CR,meltspin,0
366,Al10Ni60Zr30,AM,meltspin,1
367,Al10Ni70Ti20,CR,meltspin,0
368,Al10Ni70Zr20,CR,meltspin,0
369,Al10Ni80Zr10,CR,meltspin,0
370,Al11La27Ni62,AM,meltspin,1
371,Al11La87Ni2,AM,meltspin,1
372,Al11Mg22Ti67,CR,sputtering,0
373,Al11Ni60Zr29,AM,meltspin,1
374,Al11Ni6Zr83,AM,meltspin,1
375,Al12B10Co78,CR,meltspin,0
376,Al12B10Fe78,CR,meltspin,0
377,Al12B14Co74,AC,meltspin,0
378,Al12B14Fe74,AM,meltspin,1
379,Al12B14Ni74,AC,meltspin,0
380,Al12B18Co70,AM,meltspin,1
381,Al12B18Ni70,AM,meltspin,1
382,Al12B22Co66,AM,meltspin,1
383,Al12B22Fe66,AM,meltspin,1
384,Al12B22Ni66,AM,meltspin,1
385,Al12B26Co62,AM,meltspin,1
386,Al12B26Ni62,AM,meltspin,1
387,Al12B30Co58,AM,meltspin,1
388,Al12B30Ni58,AM,meltspin,1
389,Al12B34Co54,AM,meltspin,1
390,Al12B34Ni54,AM,meltspin,1
391,Al12B38Co50,AM,meltspin,1
392,Al12B6Co82,CR,meltspin,0
393,Al12B6Fe82,CR,meltspin,0
394,Al12Ce10Cu78,CR,meltspin,0
395,Al12Ce6Cu82,CR,meltspin,0
396,Al12Ce8Cu80,AM,meltspin,1
397,Al12Cu78Nd10,CR,meltspin,0
398,Al12Cu80Nd8,AM,meltspin,1
399,Al12Cu82Nd6,AC,meltspin,0
400,Al12Cu84Nd4,AC,meltspin,0
401,Al12Ga12Mg76,AM,meltspin,1
402,Al13La87Ni0,AM,meltspin,1
403,Al13Ni58Zr29,AM,meltspin,1
404,Al14Ce10Cu76,CR,meltspin,0
405,Al14Ce6Cu80,CR,meltspin,0
406,Al14Ce8Cu78,CR,meltspin,0
407,Al14Cu76Nd10,CR,meltspin,0
408,Al14Cu78Nd8,CR,meltspin,0
409,Al14Cu80Nd6,CR,meltspin,0
410,Al14Cu82Nd4,CR,meltspin,0
411,Al14Mg46Ti40,CR,sputtering,0
412,Al14Ni4Zr82,AM,meltspin,1
413,Al15Ca70Mg15,AM,meltspin,1
414,Al15Cu20Zr65,AM,meltspin,1
415,Al15Cu25La60,AM,meltspin,1
416,Al15Cu25Ti60,AM,meltspin,1
417,Al15Cu25Zr60,AM,meltspin,1
418,Al15Cu30Ti55,AM,meltspin,1
419,Al15Cu34Ti51,AM,meltspin,1
420,Al15Cu34Y51,AM,meltspin,1
421,Al15Cu35Ti50,AM,meltspin,1
422,Al15Cu40Ti45,AM,meltspin,1
423,Al15Cu50Ti35,AM,meltspin,1
424,Al15Cu60Ti25,AM,meltspin,1
425,Al15Fe15Zr70,AM,meltspin,1
426,Al15Fe56.7Tb28.3,CR,meltspin,0
427,Al15La25Ni60,AC,meltspin,0
428,Al15La26Ni59,AM,meltspin,1
429,Al15La30Ni55,AM,meltspin,1
430,Al15La40Ni45,AM,meltspin,1
431,Al15La50Ni35,AM,meltspin,1
432,Al15La55Ni30,AM,meltspin,1
433,Al15La60Ni25,AM,meltspin,1
434,Al15La65Ni20,AM,meltspin,1
435,Al15La70Ni15,AM,meltspin,1
436,Al15La75Ni10,AM,meltspin,1
437,Al15La80Ni5,AM,meltspin,1
438,Al15Mg31Ti54,CR,sputtering,0
439,Al15Mg70Zn15,AC,meltspin,0
440,Al15Mg75Zn10,AC,meltspin,0
441,Al15Mg80Zn5,AC,meltspin,0
442,Al15Mn15Zr70,AM,meltspin,1
443,Al15Ni10Zr75,AM,meltspin,1
444,Al15Ni15Zr70,AM,meltspin,1
445,Al15Ni20Zr65,AM,meltspin,1
446,Al15Ni25Ti60,AM,meltspin,1
447,Al15Ni25Zr60,AM,meltspin,1
448,Al15Ni30.6Zr54.4,AM,meltspin,1
449,Al15Ni30Zr55,AM,meltspin,1
450,Al15Ni35Zr50,AM,meltspin,1
451,Al15Ni40Zr45,AM,meltspin,1
452,Al15Ni45Zr40,AM,meltspin,1
453,Al15Ni50Zr35,AM,meltspin,1
454,Al15Ni55Zr30,AM,meltspin,1
455,Al15Ni5Zr80,AM,meltspin,1
456,Al15Ni75Zr10,CR,meltspin,0
457,Al16B10Co74,CR,meltspin,0
458,Al16B10Fe74,CR,meltspin,0
459,Al16B14Co70,AM,meltspin,1
460,Al16B14Fe70,AM,meltspin,1
461,Al16B14Ni70,CR,meltspin,0
462,Al16B18Co66,AM,meltspin,1
463,Al16B18Fe66,AM,meltspin,1
464,Al16B18Ni66,AM,meltspin,1
465,Al16B22Co62,AM,meltspin,1
466,Al16B22Fe62,AM,meltspin,1
467,Al16B22Ni62,AM,meltspin,1
468,Al16B26Co58,AM,meltspin,1
469,Al16B26Fe58,AM,meltspin,1
470,Al16B26Ni58,AM,meltspin,1
471,Al16B30Co54,AM,meltspin,1
472,Al16B30Ni54,AM,meltspin,1
473,Al16B34Co50,AM,meltspin,1
474,Al16B34Ni50,AM,meltspin,1
475,Al16B38Ni46,AM,meltspin,1
476,Al16Mg23Ti61,CR,sputtering,0
477,Al16Ni56Zr28,AM,meltspin,1
478,Al17La24Ni59,AM,meltspin,1
479,Al18Ga36Mg46,AM,meltspin,1
480,Al18Ni2Zr80,AM,meltspin,1
481,Al18Ni42Ti40,AM,sputtering,1
482,Al18Ni54Zr28,AM,meltspin,1
483,Al19La22Ni59,AM,meltspin,1
484,Al19Mg46Ti35,CR,sputtering,0
485,Al1La49Ni50,AM,meltspin,1
486,Al1La81Ni18,AM,meltspin,1
487,Al1Ni0Ti0,CR,sputtering,0
488,Al1Ni16Zr83,AM,meltspin,1
489,Al2.5Fe65Tb32.5,AM,meltspin,1
490,Al20B10Co70,CR,meltspin,0
491,Al20B14Co66,CR,meltspin,0
492,Al20B14Fe66,AM,meltspin,1
493,Al20B14Ni66,CR,meltspin,0
494,Al20B18Co62,AC,meltspin,0
495,Al20B18Fe62,AM,meltspin,1
496,Al20B18Ni62,AM,meltspin,1
497,Al20B22Co58,AC,meltspin,0
498,Al20B22Ni58,AM,meltspin,1
499,Al20B26Co54,AM,meltspin,1
500,Al20B26Fe54,AM,meltspin,1
501,Al20B26Ni54,AM,meltspin,1
502,Al20B30Co50,AM,meltspin,1
503,Al20B30Fe50,AM,meltspin,1
504,Al20B30Ni50,AM,meltspin,1
505,Al20B34Co46,AM,meltspin,1
506,Al20B34Fe46,AM,meltspin,1
507,Al20B34Ni46,AM,meltspin,1
508,Al20B38Co42,AM,meltspin,1
509,Al20B40Ni40,AM,meltspin,1
510,Al20Ca10Mg70,AM,meltspin,1
511,Al20Ca60Ga20,AM,meltspin,1
512,Al20Cr10Zr70,AM,meltspin,1
513,Al20Cu0La80,AM,meltspin,1
514,Al20Cu0Ti80,CR,meltspin,0
515,Al20Cu10La70,AC,meltspin,0
516,Al20Cu10Ti70,CR,meltspin,0
517,Al20Cu15Zr65,AM,meltspin,1
518,Al20Cu20La60,AM,meltspin,1
519,Al20Cu20Ti60,AC,meltspin,0
520,Al20Cu25La55,AM,meltspin,1
521,Al20Cu25Zr55,AM,meltspin,1
522,Al20Cu30Ti50,AM,meltspin,1
523,Al20Cu32Ti48,AM,meltspin,1
524,Al20Cu32Y48,AM,meltspin,1
525,Al20Cu35Ti45,AM,meltspin,1
526,Al20Cu40La40,AM,meltspin,1
527,Al20Cu50La30,AM,meltspin,1
528,Al20Cu50Ti30,AM,meltspin,1
529,Al20Cu60La20,AC,meltspin,0
530,Al20Cu60Ti20,AM,meltspin,1
531,Al20Cu70Ti10,CR,meltspin,0
532,Al20La10Ni70,CR,meltspin,0
533,Al20La20Ni60,AC,meltspin,0
534,Al20La30Ni50,AM,meltspin,1
535,Al20La35Ni45,AM,meltspin,1
536,Al20La40Ni40,AM,meltspin,1
537,Al20La45Ni35,AM,meltspin,1
538,Al20La50Ni30,AM,meltspin,1
539,Al20La55Ni25,AM,meltspin,1
540,Al20La60Ni20,AM,meltspin,1
541,Al20La65Ni15,AM,meltspin,1
542,Al20La70Ni10,AM,meltspin,1
543,Al20La75Ni5,AM,meltspin,1
544,Al20La80Ni0,AM,meltspin,1
545,Al20Mg36Ti44,CR,sputtering,0
546,Al20Mg39Ti41,CR,sputtering,0
547,Al20Mg40Zn40,CR,meltspin,0
548,Al20Mg50Zn30,CR,meltspin,0
549,Al20Mg60Zn20,CR,meltspin,0
550,Al20Mg70Zn10,AC,meltspin,0
551,Al20Ni0Zr80,CR,meltspin,0
552,Al20Ni10Zr70,AM,meltspin,1
553,Al20Ni15Zr65,AM,meltspin,1
554,Al20Ni20Ti60,AM,meltspin,1
555,Al20Ni20Zr60,AM,meltspin,1
556,Al20Ni25Zr55,AM,meltspin,1
557,Al20Ni28.8Zr51.2,AM,meltspin,1
558,Al20Ni2Zr78,AM,meltspin,1
559,Al20Ni30Ti50,AM,meltspin,1
560,Al20Ni30Zr50,AM,meltspin,1
561,Al20Ni32Ti48,AM,meltspin,1
562,Al20Ni35Zr45,AM,meltspin,1
563,Al20Ni40Ti40,AM,meltspin,1
564,Al20Ni40Zr40,AM,meltspin,1
565,Al20Ni45Zr35,AM,meltspin,1
566,Al20Ni50Zr30,AM,meltspin,1
567,Al20Ni52Zr28,AM,meltspin,1
568,Al20Ni60Zr20,CR,meltspin,0
569,Al20Ni70Zr10,CR,meltspin,0
570,Al21La20Ni59,AM,meltspin,1
571,Al21Mg27Ti52,AC,sputtering,0
572,Al22.5B10Tb67.5,AM,meltspin,1
573,Al22.5Ca70Mg7.5,AM,meltspin,1
574,Al22.5Fe67.5Zr10,AM,meltspin,1
575,Al22Ni2Zr76,AM,meltspin,1
576,Al22Ni50Zr28,AM,meltspin,1
577,Al23Mg17Ti60,CR,sputtering,0
578,Al23Ni35Ti42,AM,sputtering,1
579,Al24B14Ni62,AC,meltspin,0
580,Al24B18Ni58,AC,meltspin,0
581,Al24B22Co54,CR,meltspin,0
582,Al24B22Ni54,AC,meltspin,0
583,Al24B26Co50,AM,meltspin,1
584,Al24B26Ni50,AM,meltspin,1
