,formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
88,Al2CuNi,cP2,Pm-3m,,,-0.3319,,
89,Al5Cu3Ni2,cP2,Pm-3m,,,-0.3106,,
90,Al2Ni3,cP2,Pm-3m,,,-0.5317,,
91,Al4CuNi5,cP2,Pm-3m,,,-0.5068,,
92,Al2CuNi2,cP2,Pm-3m,,,-0.4315,,
93,Al0.4Cu0.25Ni0.35,cP2,Pm-3m,,,-0.4059,,
94,Al4Cu3Ni3,cP2,Pm-3m,,,-0.3888,,
95,Al2Cu2Ni,cP2,Pm-3m,,,-0.3029,,
96,Al0.4Cu0.45Ni0.15,cP2,Pm-3m,,,-0.3294,,
97,Al0.55Cu0.15Ni0.3,cP2,Pm-3m,,,-0.4294,,
98,AlCu8Ni,cF4,Fm-3m,,,-0.0685,,
99,Al3Cu5Ni2,cP2,Pm-3m,,,-0.2953,,
100,Al5Ni4Pt,cP2,Pm-3m,,,-0.7038,,
101,Al5Ni3Pt2,cP2,Pm-3m,,,-0.7472,,
102,Al0.45Ni0.45Pt0.1,cP2,Pm-3m,,,-0.6247,,
103,Al0.45Ni0.4Pt0.15,cP2,Pm-3m,,,-0.6389,,
104,Al0.5Ni0.45Pt0.05,cP2,Pm-3m,,,-0.6296,,
105,Al0.55Ni0.4Pt0.05,cP2,Pm-3m,,,-0.6321,,
106,Al6Ni3Pt,hP5,P-3m1,,,-0.6692,,
107,Al3NiPt,hP5,P-3m1,,,-0.8191,,
108,Al6NiPt3,hP5,P-3m1,,,-0.9105,,
109,Al0.27Ni0.63Pt0.1,cP2,Pm-3m,,,-0.5166,,
110,Al0.27Ni0.68Pt0.05,cP2,Pm-3m,,,-0.4337,,
111,Al0.05Ni0.9Pt0.05,cF4,Fm-3m,,,-0.1538,,
112,Al0.9Ni0.05Pt0.05,cF4,Fm-3m,,,-0.1919,,
113,Al5Ni4Pd,cP2,Pm-3m,,,-0.6777,,
114,Al5Ni3Pd2,cP2,Pm-3m,,,-0.7476,,
115,Al5Ni2Pd3,cP2,Pm-3m,,,-0.8079999999999999,,
116,Al5NiPd4,cP2,Pm-3m,,,-0.9033,,
117,AlPd,cP2,Pm-3m,mp-829,10550.0,-0.9457,-0.8822333000000001,-0.87597428
118,Al4Ni5Pd,cP2,Pm-3m,,,-0.5922,,
119,Al2Ni2Pd,cP2,Pm-3m,,,-0.6382,,
120,Al4Ni3Pd3,cP2,Pm-3m,,,-0.7154,,
121,Al2NiPd2,cP2,Pm-3m,,,-0.7781,,
122,Al0.54Ni0.46,cP2,Pm-3m,,,-0.6177,,
123,Al0.45Ni0.5Ti0.05,cP2,Pm-3m,,,-0.6156,,
124,Al4Ni5Ti,cP2,Pm-3m,,,-0.6229,,
125,Al0.45Ni0.55,cP2,Pm-3m,,,-0.6053,,
126,Al0.4Ni0.55Ti0.05,cP2,Pm-3m,,,-0.5882,,
127,Al0.5Ni0.42Ti0.08,cP2,Pm-3m,,,-0.5721,,
128,Al3Ni5Ti2,cF16,Fm-3m,,,-0.5599,,
129,TiAlNi2,cF16,Fm-3m,mp-7187,21081.0,-0.5783,-0.62052541,-0.64117697
130,Al2Ni5Ti3,cF16,Fm-3m,,,-0.569,,
131,Al0.05Ni0.5Ti0.45,cP2,Pm-3m,,,-0.4218,,
132,Al5Ni2Ti3,cF144,Fm-3m,,,-0.4995,,
133,Al0.21Ni0.74Ti0.05,cP4,Pm-3m,,,-0.2545,,
134,Al0.16Ni0.74Ti0.1,cP4,Pm-3m,,,-0.3341,,
135,Al0.11Ni0.74Ti0.15,cP4,Pm-3m,,,-0.4102,,
136,TiAl2Ni,cF144,Fm-3m,,509949.0,-0.5,,-0.33701128
137,Al0.05Ni0.75Ti0.2,hP16,P63/mmc,,,-0.3616,,
138,Al5IrNi4,cP2,Pm-3m,,,-0.6227,,
139,Al5Ir2Ni3,cP2,Pm-3m,,,-0.6825,,
140,Al5Ir4Ni,cP2,Pm-3m,,,-0.8476,,
141,AlIr,cP2,Pm-3m,mp-1885,10480.0,-0.8875,-0.9453517,-0.94632008
142,AlIr,cP2,Pm-3m,mp-1885,10480.0,-0.9618,-0.9453517,-0.94632008
143,Al4IrNi5,cP2,Pm-3m,,,-0.5559,,
144,Al2IrNi2,cP2,Pm-3m,,,-0.6187,,
145,Al4Ir3Ni3,cP2,Pm-3m,,,-0.6869,,
146,Al2Ir2Ni,cP2,Pm-3m,,,-0.7747,,
147,ScAu,cP2,Pm-3m,mp-11256,10797.0,-0.7887,-0.80003426,-0.8037018
148,YAu,cP2,Pm-3m,mp-11261,10822.0,-0.8157,-0.8561513000000001,-0.86178639
149,LaAu,oP8,Pnma,,28181.0,-0.7245,,-0.82187696
150,Au51Ce14,hP68,P6/m,,,-0.513,,
151,Au2Ce,oI12,Imma,,,-0.5959,,
152,CeAu,oP8,Pnma,,28133.0,-0.6509,,-0.78051986
153,Au51Pr14,hP68,P6/m,,,-0.569,,
154,PrAu2,oI12,Imma,mp-30415,10795.0,-0.6654,-0.76024071,-0.76304137
155,PrAu,oP8,Pnma,,28204.0,-0.7483,,-0.79399349
156,Au51Nd14,hP68,P6/m,,,-0.511,,
157,Au2Nd,tP106,P4/nmm,,,-0.7224,,
158,NdAu,oP8,Pnma,,28192.0,-0.7276,,-0.8085836
159,TiAu2,tI6,I4/mmm,mp-1018123,10816.0,-0.47600000000000003,-0.42368917,-0.43286958
160,TiAu,tP4,P4/nmm,mp-998972,28225.0,-0.4581,-0.42630756,-0.44766886
161,Ti3Au,cP8,Pm-3n,mp-1786,10815.0,-0.3253,-0.3503004,-0.40897919
162,ZrAu3,oP8,Pmmn,,28234.0,-0.5328,,-0.49745752
163,ZrAu2,tI6,I4/mmm,mp-1018103,28235.0,-0.6322,-0.57450582,-0.57476874
164,Au4Zr5,mP32,P12/m1,,,-0.4887,,
165,Zr3Au,cP8,Pm-3n,mp-11263,10833.0,-0.3117,-0.34064662,-0.344695
166,HfAu3,oP8,Pmmn,,28169.0,-0.5676,,-0.47940044
167,HfAu2,tI6,I4/mmm,mp-1018153,28170.0,-0.6424,-0.55926991,-0.56096042
168,HfAu,tP4,P4/nmm,mp-1007755,28171.0,-0.5911,-0.53970088,-0.54374941
169,Hf2Au,tI6,I4/mmm,mp-30383,10733.0,-0.4224,-0.44170843,-0.43916889
170,Au4V,,,,,-0.1015,,
171,Au2V,,,,,-0.1075,,
172,AuV4,,,,,-0.1009,,
173,Au2Nb,,,,,-0.1385,,
174,Au2Ta3,,,,,-0.2131,,
175,CeNi,oS8,Cmcm,mp-21188,19828.0,-0.314,-0.31832568,-0.2680098
176,CeNi5,hP6,P6/mmm,mp-1910,,-0.2912,-0.34174988,
177,CeRu2,cF24,Fd-3m,mp-607,31172.0,-0.2892,-0.28556185,-0.03192737
178,CeRh2,cF24,Fd-3m,mp-951,18272.0,-0.6892,-0.72223566,-0.60159683
179,CeRh3,cP4,Pm-3m,mp-1518,29167.0,-0.5721,-0.65070242,-0.22961403
180,Ce5Rh4,oP36,Pnma,mp-680602,27547.0,-0.7307,-0.6354721999999999,-0.56776512
181,CePd,oS8,Cmcm,mp-1018086,29155.0,-0.8115,-0.67666873,-0.76634775
182,CePd3,cP4,Pm-3m,mp-2092,18665.0,-0.7566,-0.84301504,-0.72610748
183,CeIr2,cF24,Fd-3m,mp-582,29113.0,-0.7649,-0.77569556,-0.62518661
184,CePt,oS8,Cmcm,mp-21245,18268.0,-1.0758,-1.09083658,-1.0789242
185,CePt2,cF24,Fd-3m,mp-2109,18795.0,-0.9390000000000001,-1.01138152,-0.99678888
186,CeCu6,oP28,Pnma,mp-21708,19222.0,-0.2166,-0.11954031,-0.11315403
187,CeCu6,oP28,Pnma,mp-21708,19222.0,-0.1047,-0.11954031,-0.11315403
188,CeCu2,oI12,Imma,mp-2801,29059.0,-0.2197,-0.15003585,-0.17359366
189,CeCu2,oI12,Imma,mp-2801,29059.0,-0.1534,-0.15003585,-0.17359366
190,TiCo,cP2,Pm-3m,mp-823,18811.0,-0.428,-0.39000135,-0.4096884
191,ZrCo2,cF24,Fd-3m,mp-929,31202.0,-0.371,-0.30849371,-0.32129482
192,ZrCo,cP2,Pm-3m,mp-2283,29537.0,-0.371,-0.28187688,-0.28789901
193,Zr2Co,tI12,I4/mcm,mp-628,29534.0,-0.2736,-0.25113077,-0.26078137
194,HfCo2,cF24,Fd-3m,mp-2337,29360.0,-0.4084,-0.36745692,-0.38035091
195,HfCo,cP2,Pm-3m,mp-2027,88389.0,-0.4923,-0.39554595,-0.39532442
196,HfCo,cP2,Pm-3m,mp-2027,88389.0,-0.4436,-0.39554595,-0.39532442
197,Cu4Sc,,,,,-0.1451,,
198,ScCu2,tI6,I4/mmm,mp-1018149,29783.0,-0.18,-0.25442908,-0.25688792
199,ScCu,cP2,Pm-3m,mp-1169,88926.0,-0.2161,-0.27157447,-0.27835424
200,Cu4Y,hP6,P6/mmm,,,-0.1662,,
201,YCu2,oI12,Imma,mp-2698,22909.0,-0.2021,-0.25999506,-0.263491
202,YCu,cP2,Pm-3m,mp-712,88957.0,-0.2004,-0.23550464,-0.2439541
203,LaCu6,oP28,Pnma,mp-636256,29713.0,-0.1027,-0.12873991,-0.13245614
204,LaCu2,hP3,P6/mmm,mp-2051,29715.0,-0.1675,-0.21782207,-0.22225439
205,PrCu6,oP28,Pnma,mp-30698,29754.0,-0.1171,-0.12151383,-0.1256437
206,Cu2Pr,oI12,Imma,,,-0.1503,,
207,Cu6Nd,oP28,Pnma,,,-0.1378,,
208,NdCu2,oI12,Imma,mp-11852,18310.0,-0.1752,-0.20811317,-0.20554552
209,CuTi,,,,,-0.0996,,
210,Cu3Zr,,,,,-0.1458,,
211,Cu3Zr2,,,,,-0.1276,,
212,CuZr,,,,,-0.0938,,
213,CuZr2,,,,,-0.1135,,
214,Cu4Hf,,,,,-0.1415,,
215,Cu3Hf2,,,,,-0.131,,
216,CuHf2,,,,,-0.1578,,
217,DyNi,oP8,Pnma,mp-2738,89117.0,-0.3648,-0.45827261,-0.46149673
218,DyNi5,hP6,P6/mmm,mp-1179,29892.0,-0.284,-0.33433602,-0.3363989
219,DyRu2,hP12,P63/mmc,,,-0.2829,,
220,DyRh,cP2,Pm-3m,mp-232,89140.0,-0.7929,-0.89557702,-0.87351625
221,DyRh2,cF24,Fd-3m,mp-1388,29923.0,-0.6457,-0.75729068,-0.75177647
222,Dy7Rh3,,,,,-0.5887,,
223,DyPd,,,,,-0.8633,,
224,Dy4Pd5,,,,,-0.8975,,
225,DyPd3,,,,,-0.7898,,
226,DyIr2,cF24,Fd-3m,mp-1358,29881.0,-0.7245,-0.81256708,-0.81551265
227,DyPt,oP8,Pnma,,29915.0,-1.1338,,-1.28752687
228,DyPt2,,,,,-1.0167,,
229,DyPt3,,,,,-0.8582,,
230,ErNi,oP8,Pnma,mp-567314,30015.0,-0.4363,-0.48549384,-0.49334426
231,ErNi5,hP6,P6/mmm,mp-853,9962.0,-0.3026,-0.33986862,-0.34341508
232,ErRu2,hP12,P63/mmc,mp-569220,19323.0,-0.2715,-0.36478196,-0.3528259
233,ErRh,cP2,Pm-3m,mp-2381,30040.0,-0.9058,-0.9528684000000001,-0.93567722
234,ErRh2,cF24,Fd-3m,mp-1762,30042.0,-0.7234,-0.76770201,-0.7658654
235,ErPd,cP2,Pm-3m,mp-851,89074.0,-0.9442,-0.93696182,-0.93152616
236,Er3Pd4,hR42,R-3,,30026.0,-0.9805,,-0.96967227
237,ErPd3,cP4,Pm-3m,mp-2825,18320.0,-0.9349,-0.91946738,-0.9140862
238,ErIr2,cF24,Fd-3m,mp-1495,29997.0,-0.7866,-0.82361226,-0.82946363
239,ErPt,oP8,Pnma,,30033.0,-1.2302,,-1.31429651
240,ErPt2,cF24,Fd-3m,mp-480,30034.0,-1.1173,-1.11267266,-1.1099039
241,ErPt3,cP4,Pm-3m,mp-1913,30031.0,-0.9701,-1.0588538,-1.05419548
242,ErIr,cP2,Pm-3m,mp-2713,30000.0,-0.8592,-0.90571141,-0.88723354
243,GdNi,oS8,Cmcm,mp-542632,31223.0,-0.3099,-0.39817732,-0.42645779999999994
244,GdNi5,hP6,P6/mmm,mp-21305,18493.0,-0.285,-0.31645859,-0.32547128
245,GdRu2,hP12,P63/mmc,,19322.0,-0.2249,,-0.27254295
246,GdRh,cP2,Pm-3m,mp-1742,89749.0,-0.7504,-0.79845049,-0.80485092
247,GdRh2,cF24,Fd-3m,mp-20084,18849.0,-0.6778,-0.72410801,-0.73098246
248,GdPd,oS8,Cmcm,mp-11427,30400.0,-0.8561,-0.87615604,-0.90098728
249,Gd3Pd4,,,,,-0.9172,,
250,GdPd3,cP4,Pm-3m,mp-21427,18693.0,-0.826,-0.85188089,-0.86843066
251,GdIr2,cF24,Fd-3m,,30381.0,-0.71,,-0.79258353
252,GdPt,oP8,Pnma,mp-11428,30403.0,-1.1328,-1.22332553,-1.25292099
253,GdPt2,cF24,Fd-3m,mp-1422,19392.0,-1.0364,-1.09387375,-1.09629062
254,Hf2Ni7,mS36,C12/m1,,,-0.4571,,
255,HfNi,oS8,Cmcm,mp-1018056,30515.0,-0.6146,-0.51942899,-0.51903074
256,HfNi,,,,,-0.5006,,
257,HfNi3,hP40,P63/mmc,mp-12174,,-0.4954,-0.53959734,
258,HfPt,oS8,Cmcm,mp-1007691,30519.0,-1.1784,-1.1551287000000001,-1.15022438
259,HfPd3,hP16,P63/mmc,mp-11453,17381.0,-0.9183,-0.88831847,-0.88228811
260,HfPd3,,,,,-0.9172,,
261,HfPd,,,,,-0.7203,,
262,HfPd,cP2,Pm-3m,mp-1002106,307534.0,-0.6986,-0.62011466,-0.62936267
263,HfRh,cP2,Pm-3m,mp-11457,17386.0,-0.9929,-0.84404262,-0.86225973
264,HfIr,,Pmma,mp-1018055,,-1.0022,-0.9168301999999999,
265,HoNi,oP8,Pnma,mp-11871,18379.0,-0.4322,-0.47223961,-0.47578984
266,HoNi5,hP6,P6/mmm,mp-1553,,-0.3099,-0.33706329,
267,HoRu2,hP12,P63/mmc,,,-0.2778,,
268,HoRh,cP2,Pm-3m,mp-2163,89924.0,-0.9038,-0.92349809,-0.90454717
269,HoRh2,cF24,Fd-3m,mp-546,17475.0,-0.7296,-0.762437,-0.75878765
270,Ho3Rh2,tI140,I4/mcm,,,-0.7607,,
271,HoPd,oP8,Pnma,,30553.0,-0.9483,,-0.93871055
272,Ho3Pd4,,,,,-0.9763,,
273,HoPd3,cP4,Pm-3m,mp-1979,17468.0,-0.9058,-0.91014537,-0.90423583
274,HoIr2,cF24,Fd-3m,mp-928,17458.0,-0.7711,-0.81827398,-0.82305063
275,HoPt,oP8,Pnma,,30556.0,-1.2624,,-1.30171123
276,HoPt2,cF24,Fd-3m,mp-2579,17471.0,-1.1048,-1.11254222,-1.10920807
277,HoPt3,cP4,Pm-3m,mp-195,17472.0,-0.9877,-1.04221636,-1.03721597
278,HoIr,cP2,Pm-3m,mp-11476,17457.0,-0.8364,-0.87271706,-0.85305838
279,LaIr2,cF24,Fd-3m,mp-1463,17488.0,-0.6519,-0.72561905,-0.72714162
280,LaIr3,hR36,R-3m,,30613.0,-0.5151,,-0.5348565
281,PrIr2,cF24,Fd-3m,mp-946,17509.0,-0.7328,-0.66232216,-0.66759489
282,TbIr2,cF24,Fd-3m,mp-2725,17519.0,-0.7317,-0.80297357,-0.58630438
283,LuIr,cP2,Pm-3m,mp-1529,17492.0,-0.8861,-0.9940064000000001,-0.97229331
284,LuIr2,cF24,Fd-3m,mp-1761,17493.0,-0.7359,-0.8276611999999999,-0.83185282
285,YIr,cP2,Pm-3m,mp-30746,17536.0,-0.6829999999999999,-0.80468492,-0.78488145
286,YIr2,cF24,Fd-3m,mp-2762,17537.0,-0.6156,-0.79612315,-0.80149427
287,ZrIr,cP2,Pm-3m,mp-11484,17541.0,-0.8882,-0.7304602,-0.76682189
288,TiIr,cP2,Pm-3m,mp-12594,116945.0,-0.8737,-0.74761197,-0.78383948
289,La3Ni,oP16,Pnma,,668142.0,-0.1358,,-0.19038848
290,LaNi,oS8,Cmcm,,30648.0,-0.257,,-0.33702567
291,LaNi5,hP6,P6/mmm,mp-2317,17564.0,-0.2726,-0.28580203,-0.28991384
292,LaRu2,cF24,Fd-3m,mp-2019,17577.0,-0.1068,-0.13222134,-0.11503042
293,LaRh,oS8,Cmcm,mp-1002107,31221.0,-0.5835,-0.75047637,-0.7408583000000001
294,LaRh2,cF24,Fd-3m,mp-1702,17575.0,-0.5959,-0.70925247,-0.70088488
295,LaPd,oS8,Cmcm,mp-1002115,30656.0,-0.7898,-0.83987198,-0.83094462
296,LaPd3,cP4,Pm-3m,mp-674,17569.0,-0.7991,-0.8155392,-0.81537576
297,LaOs2,hP12,P63/mmc,,,-0.0933,,
298,LaPt2,cF24,Fd-3m,mp-912,17572.0,-0.9328,-1.08864628,-1.08129716
299,LaPt,oS8,Cmcm,mp-1002104,30659.0,-0.9545,-1.19302803,-1.1873856000000003
300,LaPt,oS8,Cmcm,mp-1002104,30659.0,-1.0333,-1.19302803,-1.1873856000000003
301,LuNi,oP8,Pnma,,30692.0,-0.4902,,-0.52931072
302,LuNi5,hP6,P6/mmm,mp-11491,17615.0,-0.3109,-0.34297382,-0.34533348
303,LuRh2,cF24,Fd-3m,mp-1728,17626.0,-0.7058,-0.77552117,-0.77269213
304,Lu3Rh2,,,,,-0.6084,,
305,LuPd,cP2,Pm-3m,mp-2205,17621.0,-0.9442,-0.9775014000000001,-0.97183242
306,LuPd,cP2,Pm-3m,mp-2205,17621.0,-0.9846,-0.9775014000000001,-0.97183242
307,LuPd3,cP4,Pm-3m,mp-1158,17622.0,-0.9193,-0.93985103,-0.9350624
308,LuPt,oP8,Pnma,,30701.0,-0.9390000000000001,,-1.3408569
309,LuPt,oP8,Pnma,,30701.0,-1.2271,,-1.3408569
310,LuPt3,cP4,Pm-3m,mp-790,17624.0,-0.9245,-1.09541409,-1.09078775
311,LuPt3,,,,,-1.0717,,
312,Lu3Pd4,,,,,-1.0198,,
313,NbPt3,mP16,P121/m1,mp-12700,647400.0,-0.483,-0.65285668,-0.65412165
314,NdNi,oS8,Cmcm,mp-999339,30796.0,-0.2591,-0.31759139,-0.32541812
315,NdNi5,hP6,P6/mmm,mp-1824,,-0.2715,-0.27940392,
316,NdRu2,cF24,Fd-3m,mp-1781,17774.0,-0.1948,-0.1392589,-0.12185109999999999
317,Nd5Ru2,mS28,C12/c1,,,-0.1783,,
318,NdRh,oS8,Cmcm,mp-999335,30810.0,-0.6654,-0.68586954,-0.67523078
319,NdRh2,cF24,Fd-3m,mp-2290,17771.0,-0.6208,-0.66563857,-0.6576357
320,NdRh3,hP24,P63/mmc,mp-864699,30811.0,-0.4602,-0.50838989,-0.50505822
321,Nd5Rh4,oP36,Pnma,,,-0.6208,,
322,NdPd,oS8,Cmcm,mp-999336,30805.0,-0.8001,-0.81837344,-0.81555618
323,NdPd3,cP4,Pm-3m,mp-2333,17765.0,-0.7597,-0.78640393,-0.78414478
324,NdIr2,cF24,Fd-3m,mp-890,17503.0,-0.7006,-0.69447488,-0.69973281
325,Nd5Ir3,tP32,P4/ncc,mp-30522,,-0.6187,-0.616531,
326,NdPt,oP8,Pnma,,30808.0,-1.082,,-1.14886368
327,NdPt2,cF24,Fd-3m,mp-2720,17768.0,-1.0147,-1.04798648,-1.0439796000000001
328,NdPt5,hP6,P6/mmm,mp-2359,17770.0,-0.57,-0.70115448,-0.70350947
329,NiPt,cF4,Fm-3m,,,-0.0406,,
330,TiNi,cP2,Pm-3m,mp-571,116608.0,-0.3749,-0.34371282,-0.37801940000000006
331,PrNi,oS8,Cmcm,mp-11799,30838.0,-0.2912,-0.29216889,-0.29994979
332,PrNi5,hP6,P6/mmm,mp-2370,17787.0,-0.2653,-0.26405656,-0.26530056
333,SmNi,oS8,Cmcm,mp-999145,30859.0,-0.3773,-0.36764828,-0.37422219
334,SmNi5,hP6,P6/mmm,mp-1075,17806.0,-0.284,-0.30177932,-0.30369402
335,TbNi,mP24,P121/m1,mp-31139,17831.0,-0.3814,-0.44018856,-0.11587876
336,TbNi5,hP6,P6/mmm,mp-30808,17834.0,-0.284,-0.32187828,-0.22247785
337,TmNi,oP8,Pnma,mp-11525,17842.0,-0.4809,-0.50330897,-0.50868034
338,TmNi5,hP6,P6/mmm,mp-11526,17844.0,-0.3016,-0.3424406,-0.34492088
339,TiNi3,hP16,P63/mmc,mp-1409,5776.0,-0.4374,-0.48423085,-0.49490854
340,TiNi,cP2,Pm-3m,mp-571,116608.0,-0.3431,-0.34371282,-0.37801940000000006
341,Ni7Zr2,mS36,C12/m1,mp-2717,2288.0,-0.4208,-0.42918024,-0.43017345
342,ZrNi,oS8,Cmcm,mp-556,17864.0,-0.5234,-0.45603911,-0.45579793
343,Zr2Ni,tI12,I4/mcm,mp-328,103369.0,-0.3234,-0.32276983,-0.32468612
