,formula,a_1,b_1,a_2,b_2,gap gllbsc
35,AgTaSrGeO6,Ag,Ta,Sr,Ge,4.544428383
36,AgTaSrSiO6,Ag,Ta,Sr,Si,4.692218139
37,AgTaSrSnO6,Ag,Ta,Sr,Sn,4.170643623
38,AgTaSrTiO6,Ag,Ta,Sr,Ti,3.79098509
39,AgTaTlNbO6,Ag,Ta,Tl,Nb,1.792464465
40,AgTaYAlO6,Ag,Ta,Y,Al,4.914572548
41,BaHfAgNbO6,Ba,Hf,Ag,Nb,4.078047088
42,BaHfAgTaO6,Ba,Hf,Ag,Ta,4.189891965
43,BaHfBaSnO6,Ba,Hf,Ba,Sn,6.081554918
44,BaHfBaTiO6,Ba,Hf,Ba,Ti,4.617955975
45,BaHfBaZrO6,Ba,Hf,Ba,Zr,6.343123966
46,BaHfCaGeO6,Ba,Hf,Ca,Ge,6.350080917
47,BaHfCaHfO6,Ba,Hf,Ca,Hf,7.105780282
48,BaHfCaSiO6,Ba,Hf,Ca,Si,7.124555422
49,BaHfCaSnO6,Ba,Hf,Ca,Sn,6.149864419
50,BaHfCaTiO6,Ba,Hf,Ca,Ti,4.881718641
51,BaHfCaZrO6,Ba,Hf,Ca,Zr,6.793831407
52,BaHfCsNbO6,Ba,Hf,Cs,Nb,4.17192157
53,BaHfCsTaO6,Ba,Hf,Cs,Ta,4.954141388
54,BaHfCsVO6,Ba,Hf,Cs,V,2.024082776
55,BaHfGaNbO6,Ba,Hf,Ga,Nb,2.740038109
56,BaHfGaTaO6,Ba,Hf,Ga,Ta,3.468891843
57,BaHfInNbO6,Ba,Hf,In,Nb,1.490876326
58,BaHfInTaO6,Ba,Hf,In,Ta,2.148573734
59,BaHfKNbO6,Ba,Hf,K,Nb,4.237405144
60,BaHfKSbO6,Ba,Hf,K,Sb,5.319984256
61,BaHfKTaO6,Ba,Hf,K,Ta,5.043565766
62,BaHfLaAlO6,Ba,Hf,La,Al,6.842296397
63,BaHfLaGaO6,Ba,Hf,La,Ga,7.087096038
64,BaHfLaInO6,Ba,Hf,La,In,6.388361955
65,BaHfLaScO6,Ba,Hf,La,Sc,7.259237807
66,BaHfLiNbO6,Ba,Hf,Li,Nb,4.346862988
67,BaHfLiTaO6,Ba,Hf,Li,Ta,5.156989314
68,BaHfLiVO6,Ba,Hf,Li,V,1.950932284
69,BaHfMgTiO6,Ba,Hf,Mg,Ti,5.157325978
70,BaHfMgZrO6,Ba,Hf,Mg,Zr,7.180769915
71,BaHfNaNbO6,Ba,Hf,Na,Nb,4.323594526
72,BaHfNaSbO6,Ba,Hf,Na,Sb,5.605111851
73,BaHfNaTaO6,Ba,Hf,Na,Ta,5.133972612
74,BaHfNaVO6,Ba,Hf,Na,V,1.943310423
75,BaHfPbHfO6,Ba,Hf,Pb,Hf,5.861282859
76,BaHfPbTiO6,Ba,Hf,Pb,Ti,4.716210837
77,BaHfPbZrO6,Ba,Hf,Pb,Zr,5.798471802
78,BaHfRbNbO6,Ba,Hf,Rb,Nb,4.19891716
79,BaHfRbTaO6,Ba,Hf,Rb,Ta,4.999203073
80,BaHfSnHfO6,Ba,Hf,Sn,Hf,5.154654591
81,BaHfSnTiO6,Ba,Hf,Sn,Ti,4.117831884
82,BaHfSnZrO6,Ba,Hf,Sn,Zr,5.129260058
83,BaHfSrGeO6,Ba,Hf,Sr,Ge,6.108099686
84,BaHfSrHfO6,Ba,Hf,Sr,Hf,6.703417504
85,BaHfSrSiO6,Ba,Hf,Sr,Si,7.100622387
86,BaHfSrSnO6,Ba,Hf,Sr,Sn,6.260326191
87,BaHfSrTiO6,Ba,Hf,Sr,Ti,4.711382223
88,BaHfSrZrO6,Ba,Hf,Sr,Zr,6.459329422
89,BaHfTlNbO6,Ba,Hf,Tl,Nb,2.787349496
90,BaHfTlTaO6,Ba,Hf,Tl,Ta,3.519530094
91,BaHfYAlO6,Ba,Hf,Y,Al,7.467627553
92,BaSnAgNbO6,Ba,Sn,Ag,Nb,4.196255316
93,BaSnBaTiO6,Ba,Sn,Ba,Ti,4.610173391
94,BaSnCaGeO6,Ba,Sn,Ca,Ge,2.613094084
95,BaSnCaSiO6,Ba,Sn,Ca,Si,3.328665599
96,BaSnCaSnO6,Ba,Sn,Ca,Sn,3.237558695
97,BaSnCaTiO6,Ba,Sn,Ca,Ti,4.634935362
98,BaSnLaAlO6,Ba,Sn,La,Al,5.229700982
99,BaSnLaGaO6,Ba,Sn,La,Ga,3.753770355
100,BaSnLaInO6,Ba,Sn,La,In,3.824912325
101,BaSnLiNbO6,Ba,Sn,Li,Nb,4.985344912
102,BaSnLiVO6,Ba,Sn,Li,V,2.187158914
103,BaSnMgTiO6,Ba,Sn,Mg,Ti,4.682433617
104,BaSnMgZrO6,Ba,Sn,Mg,Zr,5.534709008
105,BaSnNaNbO6,Ba,Sn,Na,Nb,4.950429901
106,BaSnNaSbO6,Ba,Sn,Na,Sb,1.584677745
107,BaSnNaVO6,Ba,Sn,Na,V,2.182041303
108,BaSnSnTiO6,Ba,Sn,Sn,Ti,4.156500556
109,BaSnSrGeO6,Ba,Sn,Sr,Ge,1.902720005
110,BaSnSrSiO6,Ba,Sn,Sr,Si,3.060194418
111,BaSnSrSnO6,Ba,Sn,Sr,Sn,2.664761815
112,BaSnSrTiO6,Ba,Sn,Sr,Ti,4.845106688
113,BaTiAgNbO6,Ba,Ti,Ag,Nb,3.238934908
114,BaTiCaGeO6,Ba,Ti,Ca,Ge,4.544465349
115,BaTiCaSiO6,Ba,Ti,Ca,Si,4.314413855
116,BaTiCaSnO6,Ba,Ti,Ca,Sn,4.63511974
117,BaTiCaTiO6,Ba,Ti,Ca,Ti,3.834829908
118,BaTiCsNbO6,Ba,Ti,Cs,Nb,3.933396345
119,BaTiCsVO6,Ba,Ti,Cs,V,2.387688728
120,BaTiLaAlO6,Ba,Ti,La,Al,4.924750863
121,BaTiLaGaO6,Ba,Ti,La,Ga,5.227039321
122,BaTiLaInO6,Ba,Ti,La,In,5.084089538
123,BaTiLiNbO6,Ba,Ti,Li,Nb,3.463015828
124,BaTiLiVO6,Ba,Ti,Li,V,2.517040515
125,BaTiMgTiO6,Ba,Ti,Mg,Ti,4.287310033
126,BaTiMgZrO6,Ba,Ti,Mg,Zr,5.285884852
127,BaTiNaNbO6,Ba,Ti,Na,Nb,3.438581234
128,BaTiNaSbO6,Ba,Ti,Na,Sb,3.997105561
129,BaTiNaVO6,Ba,Ti,Na,V,2.180167758
130,BaTiSnTiO6,Ba,Ti,Sn,Ti,2.851249888
131,BaTiSrGeO6,Ba,Ti,Sr,Ge,4.35844875
132,BaTiSrSiO6,Ba,Ti,Sr,Si,4.207262042
133,BaTiSrSnO6,Ba,Ti,Sr,Sn,4.859086368
134,BaTiSrTiO6,Ba,Ti,Sr,Ti,3.773082118
135,BaTiTlTaO6,Ba,Ti,Tl,Ta,2.184473305
136,BaTiYAlO6,Ba,Ti,Y,Al,4.942037308
137,BaZrAgNbO6,Ba,Zr,Ag,Nb,4.048794437
138,BaZrAgTaO6,Ba,Zr,Ag,Ta,4.158986001
139,BaZrBaSnO6,Ba,Zr,Ba,Sn,6.142792824
140,BaZrBaTiO6,Ba,Zr,Ba,Ti,4.586349916
141,BaZrCaGeO6,Ba,Zr,Ca,Ge,5.912270768
142,BaZrCaSiO6,Ba,Zr,Ca,Si,6.640590237
143,BaZrCaSnO6,Ba,Zr,Ca,Sn,6.572670735
144,BaZrCaTiO6,Ba,Zr,Ca,Ti,4.883903763
145,BaZrCaZrO6,Ba,Zr,Ca,Zr,6.311282226
146,BaZrCsNbO6,Ba,Zr,Cs,Nb,4.133326334
147,BaZrCsTaO6,Ba,Zr,Cs,Ta,4.861702868
148,BaZrCsVO6,Ba,Zr,Cs,V,2.395969852
149,BaZrGaNbO6,Ba,Zr,Ga,Nb,2.741399812
150,BaZrGaTaO6,Ba,Zr,Ga,Ta,3.420362849
151,BaZrInNbO6,Ba,Zr,In,Nb,1.504016995
152,BaZrInTaO6,Ba,Zr,In,Ta,2.115610367
153,BaZrKNbO6,Ba,Zr,K,Nb,4.192233183
154,BaZrKSbO6,Ba,Zr,K,Sb,5.244987496
155,BaZrKTaO6,Ba,Zr,K,Ta,4.946851271
156,BaZrLaAlO6,Ba,Zr,La,Al,6.675560233
157,BaZrLaGaO6,Ba,Zr,La,Ga,6.801343992
158,BaZrLaInO6,Ba,Zr,La,In,6.468202648
159,BaZrLaScO6,Ba,Zr,La,Sc,6.949118842
160,BaZrLiNbO6,Ba,Zr,Li,Nb,4.294253113
161,BaZrLiTaO6,Ba,Zr,Li,Ta,5.060782046
162,BaZrLiVO6,Ba,Zr,Li,V,1.971169487
163,BaZrMgTiO6,Ba,Zr,Mg,Ti,5.389081221
164,BaZrMgZrO6,Ba,Zr,Mg,Zr,6.96083831
165,BaZrNaNbO6,Ba,Zr,Na,Nb,4.270644268
166,BaZrNaSbO6,Ba,Zr,Na,Sb,5.526897153
167,BaZrNaTaO6,Ba,Zr,Na,Ta,5.030675991
168,BaZrNaVO6,Ba,Zr,Na,V,1.958775816
169,BaZrPbHfO6,Ba,Zr,Pb,Hf,5.798203095
170,BaZrPbTiO6,Ba,Zr,Pb,Ti,4.688503642
171,BaZrPbZrO6,Ba,Zr,Pb,Zr,5.739209581
172,BaZrRbNbO6,Ba,Zr,Rb,Nb,4.158490708
173,BaZrRbTaO6,Ba,Zr,Rb,Ta,4.904996208
174,BaZrSnHfO6,Ba,Zr,Sn,Hf,5.129425153
175,BaZrSnTiO6,Ba,Zr,Sn,Ti,4.11156648
176,BaZrSnZrO6,Ba,Zr,Sn,Zr,5.112918696
177,BaZrSrGeO6,Ba,Zr,Sr,Ge,6.035786095
178,BaZrSrHfO6,Ba,Zr,Sr,Hf,6.459207069
179,BaZrSrSiO6,Ba,Zr,Sr,Si,6.576553008
180,BaZrSrSnO6,Ba,Zr,Sr,Sn,6.428286699
181,BaZrSrTiO6,Ba,Zr,Sr,Ti,4.67649105
182,BaZrSrZrO6,Ba,Zr,Sr,Zr,6.259867326
183,BaZrTlNbO6,Ba,Zr,Tl,Nb,2.79832233
184,BaZrTlTaO6,Ba,Zr,Tl,Ta,3.480467428
185,BaZrYAlO6,Ba,Zr,Y,Al,7.104402829
186,CaGeAgNbO6,Ca,Ge,Ag,Nb,4.220841195
187,CaGeCaSiO6,Ca,Ge,Ca,Si,4.171278359
188,CaGeCaSnO6,Ca,Ge,Ca,Sn,3.503853221
189,CaGeCaTiO6,Ca,Ge,Ca,Ti,4.802428919
190,CaGeLaAlO6,Ca,Ge,La,Al,5.708900913
191,CaGeLaGaO6,Ca,Ge,La,Ga,4.068071283
192,CaGeLaInO6,Ca,Ge,La,In,4.288775178
193,CaGeMgTiO6,Ca,Ge,Mg,Ti,5.224069822
194,CaGeSnTiO6,Ca,Ge,Sn,Ti,3.350439602
195,CaGeYAlO6,Ca,Ge,Y,Al,6.231533057
196,CaHfAgNbO6,Ca,Hf,Ag,Nb,4.219675653
197,CaHfAgTaO6,Ca,Hf,Ag,Ta,5.065212369
198,CaHfBaSnO6,Ca,Hf,Ba,Sn,6.318267248
199,CaHfBaTiO6,Ca,Hf,Ba,Ti,4.891229032
200,CaHfBaZrO6,Ca,Hf,Ba,Zr,6.78352084
201,CaHfCaGeO6,Ca,Hf,Ca,Ge,6.975336372
202,CaHfCaSiO6,Ca,Hf,Ca,Si,7.339484884
203,CaHfCaSnO6,Ca,Hf,Ca,Sn,6.545899417
204,CaHfCaTiO6,Ca,Hf,Ca,Ti,5.2391328
205,CaHfCaZrO6,Ca,Hf,Ca,Zr,7.019655916
206,CaHfCsNbO6,Ca,Hf,Cs,Nb,4.18714751
207,CaHfCsVO6,Ca,Hf,Cs,V,2.234427829
208,CaHfGaNbO6,Ca,Hf,Ga,Nb,2.259002479
209,CaHfGaTaO6,Ca,Hf,Ga,Ta,3.12564489
210,CaHfInNbO6,Ca,Hf,In,Nb,1.454858937
211,CaHfInTaO6,Ca,Hf,In,Ta,2.03089957
212,CaHfKNbO6,Ca,Hf,K,Nb,4.596569242
213,CaHfKSbO6,Ca,Hf,K,Sb,5.501346172
214,CaHfLaAlO6,Ca,Hf,La,Al,7.680848563
215,CaHfLaGaO6,Ca,Hf,La,Ga,7.195321372
216,CaHfLaInO6,Ca,Hf,La,In,6.615394048
217,CaHfLaScO6,Ca,Hf,La,Sc,7.286131811
218,CaHfLiNbO6,Ca,Hf,Li,Nb,4.85855487
219,CaHfLiVO6,Ca,Hf,Li,V,2.939415754
220,CaHfMgTiO6,Ca,Hf,Mg,Ti,5.757074701
221,CaHfMgZrO6,Ca,Hf,Mg,Zr,7.657304806
222,CaHfNaNbO6,Ca,Hf,Na,Nb,5.09102671
223,CaHfNaSbO6,Ca,Hf,Na,Sb,5.696946038
224,CaHfNaTaO6,Ca,Hf,Na,Ta,5.899206132
225,CaHfNaVO6,Ca,Hf,Na,V,2.576282825
226,CaHfPbHfO6,Ca,Hf,Pb,Hf,5.946077772
227,CaHfPbTiO6,Ca,Hf,Pb,Ti,4.343194061
228,CaHfPbZrO6,Ca,Hf,Pb,Zr,5.663239448
229,CaHfRbNbO6,Ca,Hf,Rb,Nb,4.347730015
230,CaHfSnHfO6,Ca,Hf,Sn,Hf,5.099139427
231,CaHfSnTiO6,Ca,Hf,Sn,Ti,3.395877585
232,CaHfSnZrO6,Ca,Hf,Sn,Zr,4.960405248
233,CaHfSrGeO6,Ca,Hf,Sr,Ge,6.296526494
234,CaHfSrHfO6,Ca,Hf,Sr,Hf,7.245106988
235,CaHfSrSiO6,Ca,Hf,Sr,Si,7.311458271
236,CaHfSrSnO6,Ca,Hf,Sr,Sn,6.441396629
237,CaHfSrTiO6,Ca,Hf,Sr,Ti,5.063213848
238,CaHfSrZrO6,Ca,Hf,Sr,Zr,7.258641193
239,CaHfTlNbO6,Ca,Hf,Tl,Nb,2.785946526
240,CaHfTlTaO6,Ca,Hf,Tl,Ta,3.488495574
241,CaHfYAlO6,Ca,Hf,Y,Al,8.019541754
242,CaSiAgNbO6,Ca,Si,Ag,Nb,3.835308947
243,CaSiCaSnO6,Ca,Si,Ca,Sn,4.523794734
244,CaSiCaTiO6,Ca,Si,Ca,Ti,4.563855279
245,CaSiLaAlO6,Ca,Si,La,Al,7.763296446
246,CaSiLaGaO6,Ca,Si,La,Ga,5.420695949
247,CaSiLaInO6,Ca,Si,La,In,5.447420818
248,CaSiMgTiO6,Ca,Si,Mg,Ti,4.905223459
249,CaSiSnTiO6,Ca,Si,Sn,Ti,2.549360828
250,CaSiYAlO6,Ca,Si,Y,Al,8.343255111
251,CaSnAgNbO6,Ca,Sn,Ag,Nb,3.845223245
252,CaSnCaTiO6,Ca,Sn,Ca,Ti,5.021395043
253,CaSnLaAlO6,Ca,Sn,La,Al,5.731598265
254,CaSnLaGaO6,Ca,Sn,La,Ga,4.421397112
255,CaSnLaInO6,Ca,Sn,La,In,4.332199336
256,CaSnMgTiO6,Ca,Sn,Mg,Ti,5.246768531
257,CaSnSnTiO6,Ca,Sn,Sn,Ti,2.72801287
258,CaSnYAlO6,Ca,Sn,Y,Al,5.902973047
259,CaTiAgNbO6,Ca,Ti,Ag,Nb,3.399832758
260,CaTiLaAlO6,Ca,Ti,La,Al,5.239331703
261,CaTiLaGaO6,Ca,Ti,La,Ga,5.340395495
262,CaTiLaInO6,Ca,Ti,La,In,5.218969424
263,CaTiMgTiO6,Ca,Ti,Mg,Ti,4.786930752
264,CaTiSnTiO6,Ca,Ti,Sn,Ti,2.795444748
265,CaTiYAlO6,Ca,Ti,Y,Al,5.421790832
266,CaZrAgNbO6,Ca,Zr,Ag,Nb,4.352637765
267,CaZrAgTaO6,Ca,Zr,Ag,Ta,5.00355801
268,CaZrBaSnO6,Ca,Zr,Ba,Sn,6.571947433
269,CaZrBaTiO6,Ca,Zr,Ba,Ti,4.941329535
270,CaZrCaGeO6,Ca,Zr,Ca,Ge,6.336280867
271,CaZrCaSiO6,Ca,Zr,Ca,Si,6.891564761
272,CaZrCaSnO6,Ca,Zr,Ca,Sn,6.688083161
273,CaZrCaTiO6,Ca,Zr,Ca,Ti,5.26054136
274,CaZrCsNbO6,Ca,Zr,Cs,Nb,4.287619027
275,CaZrCsVO6,Ca,Zr,Cs,V,2.604377392
276,CaZrGaNbO6,Ca,Zr,Ga,Nb,2.228163324
277,CaZrGaTaO6,Ca,Zr,Ga,Ta,3.014914456
278,CaZrInNbO6,Ca,Zr,In,Nb,1.456944238
279,CaZrInTaO6,Ca,Zr,In,Ta,2.057918429
280,CaZrKNbO6,Ca,Zr,K,Nb,4.630967138
281,CaZrKSbO6,Ca,Zr,K,Sb,5.399489278
282,CaZrLaAlO6,Ca,Zr,La,Al,6.792712674
283,CaZrLaGaO6,Ca,Zr,La,Ga,6.915401065
284,CaZrLaInO6,Ca,Zr,La,In,6.732697601
285,CaZrLaScO6,Ca,Zr,La,Sc,7.106711864
286,CaZrLiNbO6,Ca,Zr,Li,Nb,5.120245746
287,CaZrLiTaO6,Ca,Zr,Li,Ta,5.605585615
288,CaZrLiVO6,Ca,Zr,Li,V,3.120799521
289,CaZrMgTiO6,Ca,Zr,Mg,Ti,5.924793527
290,CaZrMgZrO6,Ca,Zr,Mg,Zr,7.080509925
291,CaZrNaNbO6,Ca,Zr,Na,Nb,5.162790192
292,CaZrNaSbO6,Ca,Zr,Na,Sb,5.537664127
293,CaZrNaTaO6,Ca,Zr,Na,Ta,5.939519026
294,CaZrNaVO6,Ca,Zr,Na,V,2.457278723
295,CaZrPbHfO6,Ca,Zr,Pb,Hf,5.966256093
296,CaZrPbTiO6,Ca,Zr,Pb,Ti,4.496582604
297,CaZrPbZrO6,Ca,Zr,Pb,Zr,5.921731313
298,CaZrRbNbO6,Ca,Zr,Rb,Nb,4.296312174
299,CaZrSnHfO6,Ca,Zr,Sn,Hf,4.966758775
300,CaZrSnTiO6,Ca,Zr,Sn,Ti,3.500428614
301,CaZrSrGeO6,Ca,Zr,Sr,Ge,6.114467667
302,CaZrSrHfO6,Ca,Zr,Sr,Hf,7.245451656
303,CaZrSrSiO6,Ca,Zr,Sr,Si,6.832765223
304,CaZrSrSnO6,Ca,Zr,Sr,Sn,6.724869435
305,CaZrSrTiO6,Ca,Zr,Sr,Ti,5.078140778
306,CaZrSrZrO6,Ca,Zr,Sr,Zr,6.802271822
307,CaZrTlNbO6,Ca,Zr,Tl,Nb,2.711079064
308,CaZrTlTaO6,Ca,Zr,Tl,Ta,3.399255554
309,CaZrYAlO6,Ca,Zr,Y,Al,7.690766219
310,CsNbAgNbO6,Cs,Nb,Ag,Nb,3.33017012
311,CsNbBaSnO6,Cs,Nb,Ba,Sn,4.222506347
312,CsNbCaGeO6,Cs,Nb,Ca,Ge,3.77620684
313,CsNbCaSiO6,Cs,Nb,Ca,Si,3.244987246
314,CsNbCaSnO6,Cs,Nb,Ca,Sn,4.0016578
315,CsNbCaTiO6,Cs,Nb,Ca,Ti,3.781984576
316,CsNbCsTaO6,Cs,Nb,Cs,Ta,3.431655002
317,CsNbGaNbO6,Cs,Nb,Ga,Nb,1.568671522
318,CsNbGaTaO6,Cs,Nb,Ga,Ta,1.689092986
319,CsNbInNbO6,Cs,Nb,In,Nb,0.772474049
320,CsNbKNbO6,Cs,Nb,K,Nb,3.371381999
321,CsNbKSbO6,Cs,Nb,K,Sb,3.252953266
322,CsNbLaAlO6,Cs,Nb,La,Al,3.970550913
323,CsNbLaGaO6,Cs,Nb,La,Ga,4.445701186
324,CsNbLaInO6,Cs,Nb,La,In,4.659075089
325,CsNbLiNbO6,Cs,Nb,Li,Nb,3.358618162
326,CsNbMgTiO6,Cs,Nb,Mg,Ti,3.70530303
327,CsNbMgZrO6,Cs,Nb,Mg,Zr,5.068744498
328,CsNbNaNbO6,Cs,Nb,Na,Nb,3.456134098
329,CsNbNaSbO6,Cs,Nb,Na,Sb,3.475302498
330,CsNbPbHfO6,Cs,Nb,Pb,Hf,4.125761782
331,CsNbPbTiO6,Cs,Nb,Pb,Ti,3.806622078
332,CsNbPbZrO6,Cs,Nb,Pb,Zr,4.100090389
333,CsNbRbNbO6,Cs,Nb,Rb,Nb,3.389681924
334,CsNbSnHfO6,Cs,Nb,Sn,Hf,3.837245653
335,CsNbSnTiO6,Cs,Nb,Sn,Ti,2.905831639
336,CsNbSnZrO6,Cs,Nb,Sn,Zr,3.396033234
337,CsNbSrGeO6,Cs,Nb,Sr,Ge,3.617636293
338,CsNbSrSiO6,Cs,Nb,Sr,Si,3.264936787
339,CsNbSrSnO6,Cs,Nb,Sr,Sn,4.520872076
340,CsNbSrTiO6,Cs,Nb,Sr,Ti,3.872904631
341,CsNbTlNbO6,Cs,Nb,Tl,Nb,2.10377581
342,CsNbYAlO6,Cs,Nb,Y,Al,3.724349822
343,CsTaAgNbO6,Cs,Ta,Ag,Nb,3.258149897
344,CsTaAgTaO6,Cs,Ta,Ag,Ta,3.808143901
345,CsTaBaSnO6,Cs,Ta,Ba,Sn,4.584905096
346,CsTaBaTiO6,Cs,Ta,Ba,Ti,3.902959037
347,CsTaCaGeO6,Cs,Ta,Ca,Ge,4.184887473
348,CsTaCaHfO6,Cs,Ta,Ca,Hf,4.97375148
349,CsTaCaSiO6,Cs,Ta,Ca,Si,4.136175518
350,CsTaCaSnO6,Cs,Ta,Ca,Sn,4.523695478
351,CsTaCaTiO6,Cs,Ta,Ca,Ti,3.849509114
352,CsTaCaZrO6,Cs,Ta,Ca,Zr,4.972347834
353,CsTaCsVO6,Cs,Ta,Cs,V,2.139696775
354,CsTaGaNbO6,Cs,Ta,Ga,Nb,1.689655245
355,CsTaGaTaO6,Cs,Ta,Ga,Ta,2.162289219
356,CsTaKNbO6,Cs,Ta,K,Nb,3.29564536
357,CsTaKSbO6,Cs,Ta,K,Sb,3.598247689
358,CsTaKTaO6,Cs,Ta,K,Ta,3.829263824
359,CsTaLaAlO6,Cs,Ta,La,Al,4.790851813
360,CsTaLaGaO6,Cs,Ta,La,Ga,5.274671803
361,CsTaLaInO6,Cs,Ta,La,In,5.039008801
362,CsTaLaScO6,Cs,Ta,La,Sc,5.224512176
363,CsTaLiNbO6,Cs,Ta,Li,Nb,3.3951785
364,CsTaLiTaO6,Cs,Ta,Li,Ta,3.91261728
365,CsTaLiVO6,Cs,Ta,Li,V,2.351802857
366,CsTaMgTiO6,Cs,Ta,Mg,Ti,3.791325966
367,CsTaMgZrO6,Cs,Ta,Mg,Zr,5.85854129
368,CsTaNaNbO6,Cs,Ta,Na,Nb,3.375315176
369,CsTaNaSbO6,Cs,Ta,Na,Sb,3.85601142
370,CsTaNaTaO6,Cs,Ta,Na,Ta,3.893347423
371,CsTaNaVO6,Cs,Ta,Na,V,2.0949465
372,CsTaPbHfO6,Cs,Ta,Pb,Hf,4.840162189
373,CsTaPbTiO6,Cs,Ta,Pb,Ti,3.441401642
374,CsTaPbZrO6,Cs,Ta,Pb,Zr,4.867170086
375,CsTaRbNbO6,Cs,Ta,Rb,Nb,3.239810056
376,CsTaRbTaO6,Cs,Ta,Rb,Ta,3.759439299
377,CsTaSnHfO6,Cs,Ta,Sn,Hf,3.975569031
378,CsTaSnTiO6,Cs,Ta,Sn,Ti,3.066637476
379,CsTaSnZrO6,Cs,Ta,Sn,Zr,4.550292742
380,CsTaSrGeO6,Cs,Ta,Sr,Ge,3.981506845
381,CsTaSrHfO6,Cs,Ta,Sr,Hf,5.048941056
382,CsTaSrSiO6,Cs,Ta,Sr,Si,4.170938456
383,CsTaSrSnO6,Cs,Ta,Sr,Sn,4.909403889
384,CsTaSrTiO6,Cs,Ta,Sr,Ti,3.506011227
385,CsTaSrZrO6,Cs,Ta,Sr,Zr,4.95376077
386,CsTaTlNbO6,Cs,Ta,Tl,Nb,2.277721909
387,CsTaTlTaO6,Cs,Ta,Tl,Ta,2.209663313
388,CsTaYAlO6,Cs,Ta,Y,Al,4.67918643
389,CsVBaSnO6,Cs,V,Ba,Sn,2.072447249
390,CsVCaGeO6,Cs,V,Ca,Ge,1.540581216
391,CsVCaSiO6,Cs,V,Ca,Si,1.083685684
392,CsVCaSnO6,Cs,V,Ca,Sn,1.797516438
393,CsVCaTiO6,Cs,V,Ca,Ti,2.424146688
394,CsVGaNbO6,Cs,V,Ga,Nb,0.725860475
395,CsVGaTaO6,Cs,V,Ga,Ta,0.427417209
396,CsVKSbO6,Cs,V,K,Sb,1.53383603
397,CsVLaAlO6,Cs,V,La,Al,1.617153328
398,CsVLaGaO6,Cs,V,La,Ga,1.929652967
399,CsVLaInO6,Cs,V,La,In,2.385279742
400,CsVLiVO6,Cs,V,Li,V,1.676047872
401,CsVMgZrO6,Cs,V,Mg,Zr,2.234714469
402,CsVNaSbO6,Cs,V,Na,Sb,1.663055524
403,CsVNaVO6,Cs,V,Na,V,1.695828684
404,CsVPbTiO6,Cs,V,Pb,Ti,2.173707247
405,CsVSnTiO6,Cs,V,Sn,Ti,1.531649409
406,CsVSrGeO6,Cs,V,Sr,Ge,1.535642736
407,CsVSrSiO6,Cs,V,Sr,Si,1.081372328
408,CsVSrSnO6,Cs,V,Sr,Sn,2.126154005
409,CsVSrTiO6,Cs,V,Sr,Ti,2.402826221
410,CsVTlTaO6,Cs,V,Tl,Ta,1.04242215
411,CsVYAlO6,Cs,V,Y,Al,1.373149472
412,GaNbAgNbO6,Ga,Nb,Ag,Nb,1.455146082
