,material_id,formula,nsites,space_group,volume,structure,band_gap,e_electronic,e_total,n,poly_electronic,poly_total,pot_ferroelectric
10,mp-2693,SnSe,2,225,55.784571766099994,"Full Formula (Sn1 Se1)
Reduced Formula: SnSe
abc   :   4.288872   4.288872   4.288871
angles:  59.999999  59.999999  59.999994
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Sn    0    0    0
  1  Se    0.5  0.5  0.5",0.12,"[[45.70345721, -0.00014686, -1.679e-05], [-0.00012219, 45.70271889, 0.00012527], [-1.161e-05, 0.00013083, 45.70306778]]","[[45.70345721, -0.00014686, -1.679e-05], [-0.00012219, 45.70271889, 0.00012527], [-1.161e-05, 0.00013083, 45.70306778]]",6.76,45.7,45.7,True
11,mp-1672,CaS,2,225,46.695124244700004,"Full Formula (Ca1 S1)
Reduced Formula: CaS
abc   :   4.041992   4.041992   4.041993
angles:  60.000003  60.000002  59.999998
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Ca    0    0    0
  1  S     0.5  0.5  0.5",2.38,"[[4.98832393, 3.2599999999999997e-06, 1.514e-05], [2.89e-06, 4.98835679, 2.239e-05], [1.513e-05, 2.2370000000000004e-05, 4.98832503]]","[[12.09049261, 0.000290789999999, 2.1730000000000004e-05], [0.00029042, 12.09114705, 3.6270000000000003e-05], [2.1720000000000002e-05, 3.625e-05, 12.09323797]]",2.23,4.99,12.09,False
12,mp-2530,Li2Te,3,225,69.5378946656,"Full Formula (Li2 Te1)
Reduced Formula: Li2Te
abc   :   4.615785   4.615784   4.615784
angles:  60.000001  60.000005  60.000003
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Li    0.25  0.25  0.25
  1  Li    0.75  0.75  0.75
  2  Te    0     0     0",2.5,"[[4.96759206, 3.433e-05, -1.184e-05], [3.4460000000000005e-05, 4.9674863, -6.86e-06], [-1.178e-05, -6.7699999999999996e-06, 4.96706816]]","[[8.419476580000001, -0.00043652000000000003, -0.00015602999999900002], [-0.00043639, 8.42111164, -0.00010389999999999999], [-0.000155969999999, -0.00010381000000000001, 8.423226679999999]]",2.23,4.97,8.42,False
13,mp-1186,ZrS2,3,164,77.9966094876,"Full Formula (Zr1 S2)
Reduced Formula: ZrS2
abc   :   3.690920   3.690920   6.611133
angles:  90.000000  90.000000 120.000004
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Zr    0         0         0
  1  S     0.666667  0.333333  0.779608
  2  S     0.333333  0.666667  0.220392",1.05,"[[10.2209554, -6.45e-06, 8.4e-07], [-6.45e-06, 10.2209242, 1.8740000000000004e-05], [-5.599999999999999e-07, 1.6720000000000003e-05, 3.69529195]]","[[51.837548330000004, 0.00062292, -2.5110000000000002e-05], [0.00062292, 51.82793578, 8.471000000000001e-05], [-2.651e-05, 8.269000000000001e-05, 4.034869]]",2.84,8.05,35.9,False
14,mp-8426,K2Se,3,225,116.698690065,"Full Formula (K2 Se1)
Reduced Formula: K2Se
abc   :   5.485216   5.485215   5.485215
angles:  59.999994  59.999998  59.999998
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  K     0.75  0.75  0.75
  1  K     0.25  0.25  0.25
  2  Se    0     0     0",2.09,"[[3.29629517, -8.047000000000001e-05, -4.8070000000000006e-05], [-8.124000000000002e-05, 3.29682151, -6.453000000000001e-05], [-4.7010000000000006e-05, -6.458000000000001e-05, 3.296047]]","[[6.37357643, -0.000100519999999, -7.504e-05], [-0.00010129, 6.37663581, -0.00017501], [-7.397999999999999e-05, -0.00017506, 6.374785190000001]]",1.82,3.3,6.37,False
15,mp-568264,SiSe2,6,72,213.795473732,"Full Formula (Si2 Se4)
Reduced Formula: SiSe2
abc   :   5.931490   6.609208   7.032643
angles: 118.027483 114.942661  90.000002
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Si    0.75      0         0
  1  Si    0.25      0         0
  2  Se    0.111765  0.304428  0.223529
  3  Se    0.888235  0.695572  0.776471
  4  Se    0.388235  0.080899  0.776471
  5  Se    0.611765  0.919101  0.223529",2.15,"[[4.75907337, 0.04020311, -0.78559769], [0.04021021, 3.14413735, 0.07817748000000001], [-0.78559515, 0.0781851, 3.63536649]]","[[6.90337995, 0.03916548, -1.8300523800000001], [0.039172580000000005, 3.25951405, 0.076099859999999], [-1.83004984, 0.076107479999999, 4.28551142]]",1.96,3.85,4.82,False
16,mp-1315,MgS,2,225,35.7434887297,"Full Formula (Mg1 S1)
Reduced Formula: MgS
abc   :   3.697464   3.697464   3.697464
angles:  60.000002  60.000002  60.000002
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Mg    0    0    0
  1  S     0.5  0.5  0.5",2.76,"[[5.4004948200000005, -6.626e-05, -1.5680000000000002e-05], [-6.615000000000001e-05, 5.40056639, -2.39e-06], [-1.5670000000000004e-05, -2.39e-06, 5.40027351]]","[[16.01618817, 0.000940069999999, 0.0018529400000000002], [0.00094018, 16.01512836, 0.0013895300000000001], [0.0018529500000000001, 0.0013895300000000001, 16.01954082]]",2.32,5.4,16.02,False
17,mp-567259,CdI2,3,164,119.46093351399999,"Full Formula (Cd1 I2)
Reduced Formula: CdI2
abc   :   4.346905   4.346906   7.300202
angles:  90.000000  90.000000 120.000000
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cd    0         0         0
  1  I     0.333333  0.666667  0.235079
  2  I     0.666667  0.333333  0.764921",2.42,"[[5.17304401, -3.6e-07, -4.206000000000001e-05], [-5.4e-07, 5.17302397, 0.00014871], [-4.18e-05, 0.00014849, 3.8485565900000003]]","[[13.77879143, 2.286e-05, -9.321000000000002e-05], [2.268e-05, 13.779291910000001, 0.00033713], [-9.295000000000002e-05, 0.00033691, 4.53381691]]",2.18,4.73,10.7,False
18,mp-27934,CdBr2,6,186,204.88325531400002,"Full Formula (Cd2 Br4)
Reduced Formula: CdBr2
abc   :   4.073838   4.073838  14.255037
angles:  90.000000  90.000000 120.000001
Sites (6)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Cd    0.666667  0.333333  0.874968
  1  Cd    0.333333  0.666667  0.374968
  2  Br    0         0         0.765004
  3  Br    0         0         0.265004
  4  Br    0.333333  0.666667  0.985028
  5  Br    0.666667  0.333333  0.485028",2.94,"[[3.90330214, -3.23e-06, 0.00025562], [-7.16e-06, 3.90329896, 0.00045517], [0.00030679, 6.854e-05, 2.80330762]]","[[9.58861025, -3.0399999999999997e-06, 7.499000000000003e-05], [-6.969999999999999e-06, 9.58846071, 0.00074259], [0.000126159999999, 0.00035596, 3.26375378]]",1.88,3.54,7.48,True
19,mp-2114,YN,2,225,29.7575464199,"Full Formula (Y1 N1)
Reduced Formula: YN
abc   :   3.478330   3.478329   3.478329
angles:  59.999995  59.999999  60.000001
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Y     0    0    0
  1  N     0.5  0.5  0.5",0.15,"[[15.42769449, -4.509999999999999e-06, -2.9e-07], [-6.59e-06, 15.42770768, 2.08e-06], [-2.7999999999999997e-07, 2.0699999999999997e-06, 15.42771962]]","[[120.15317099999999, 0.00788891, -7.21e-06], [0.007886830000000001, 119.94785381999999, 0.00022628], [-7.2e-06, 0.00022627000000000001, 119.92227050000001]]",3.93,15.43,120.01,False
20,mp-8177,HgF2,3,225,45.157794439499995,"Full Formula (Hg1 F2)
Reduced Formula: HgF2
abc   :   3.997139   3.997139   3.997139
angles:  60.000005  60.000007  59.999998
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Hg    0     0     0
  1  F     0.75  0.75  0.75
  2  F     0.25  0.25  0.25",0.97,"[[3.84038696, -8.599999999999999e-07, 1.2099999999999998e-06], [-6.04e-06, 3.84037597, 9.99e-06], [-2.2e-07, 2.6499999999999996e-06, 3.84039625]]","[[12.367659249999999, -0.0007958899999990001, -0.0005022900000000001], [-0.00080107, 12.34717014, -0.0004127], [-0.00050372, -0.00042004, 12.367104939999999]]",1.96,3.84,12.36,False
21,mp-2097,SnO,4,129,75.28545173180001,"Full Formula (Sn2 O2)
Reduced Formula: SnO
abc   :   3.870595   3.870595   5.025226
angles:  90.000000  90.000000  90.000000
Sites (4)
  #  SP       a     b         c
---  ----  ----  ----  --------
  0  Sn    0.75  0.75  0.231255
  1  Sn    0.25  0.25  0.768745
  2  O     0.25  0.75  0
  3  O     0.75  0.25  0",0.41,"[[7.51378111, -0.00030891, -9.213e-05], [-0.00035615, 7.5126342600000005, -0.00026503000000000003], [-0.00023737, -0.0002958, 6.83819934]]","[[22.04481164, -0.0005240900000000001, 0.00108994], [-0.00057133, 22.02689179, 0.00107827], [0.0009446999999990001, 0.0010475, 12.11909103]]",2.7,7.29,18.73,False
22,mp-604884,BN,4,187,38.7289646409,"Full Formula (B2 N2)
Reduced Formula: BN
abc   :   2.512979   2.512980   7.081536
angles:  90.000000  90.000000 120.000006
Sites (4)
  #  SP           a         b    c
---  ----  --------  --------  ---
  0  B     0         0         0
  1  B     0.333333  0.666667  0.5
  2  N     0.333333  0.666667  0
  3  N     0.666667  0.333333  0.5",4.42,"[[4.55578284, -0.0011488800000000001, 1e-08], [0.0011547, 4.5557883, -1e-08], [0.0, 0.0, 2.42080216]]","[[6.2703519100000005, -0.00124198, 2.5e-07], [0.0010616, 6.269889549999999, 8e-08], [2.4e-07, 9e-08, 2.70597592]]",1.96,3.84,5.08,False
23,mp-617,PtO2,3,164,40.9922057139,"Full Formula (Pt1 O2)
Reduced Formula: PtO2
abc   :   3.164121   3.164121   4.727859
angles:  90.000000  90.000000 119.999994
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Pt    0         0         0
  1  O     0.666667  0.333333  0.799544
  2  O     0.333333  0.666667  0.200456",1.6,"[[9.75022129, 6.12e-06, -1.802e-05], [3.0499999999999996e-06, 9.75031103, 0.00015045], [-3.4e-07, 0.00012953000000000002, 2.82810962]]","[[12.49180783, 3.8820000000000004e-05, -1.8160000000000002e-05], [3.575e-05, 12.49525032, 0.00017073000000000001], [-4.8e-07, 0.00014980999999900002, 2.89071591]]",2.73,7.44,9.29,False
24,mp-1022,K2S,3,225,103.981990274,"Full Formula (K2 S1)
Reduced Formula: K2S
abc   :   5.278263   5.278263   5.278263
angles:  59.999996  59.999996  60.000001
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  K     0.75  0.75  0.75
  1  K     0.25  0.25  0.25
  2  S     0     0     0",2.32,"[[3.09530189, 3.559e-05, -0.00013417], [3.046e-05, 3.09557496, -0.00016957], [-0.00013551, -0.00016973000000000002, 3.09619683]]","[[6.35983519, 0.00029439, -0.00029593], [0.00028926, 6.3591175799999995, -0.00045867], [-0.00029727000000000003, -0.000458829999999, 6.365162059999999]]",1.76,3.1,6.36,False
25,mp-422,BeS,2,216,28.9558083259,"Full Formula (Be1 S1)
Reduced Formula: BeS
abc   :   3.446806   3.446807   3.446806
angles:  60.000005  60.000004  60.000009
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Be    0     0     0
  1  S     0.25  0.25  0.25",3.14,"[[5.25736131, 9.94e-06, 7.675000000000001e-05], [-1.4220000000000001e-05, 5.25736558, 5.3710000000000006e-05], [-8.345000000000001e-05, -5.889000000000001e-05, 5.25734777]]","[[7.25667403, -0.00164499, 0.0021856700000000002], [-0.001669149999999, 7.25681, 0.00190178], [0.002025469999999, 0.00178918, 7.25845503]]",2.29,5.26,7.26,False
26,mp-23205,MgI2,3,164,118.643076511,"Full Formula (Mg1 I2)
Reduced Formula: MgI2
abc   :   4.209498   4.209498   7.731276
angles:  90.000000  90.000000 120.000001
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mg    0         0         0
  1  I     0.333333  0.666667  0.216461
  2  I     0.666667  0.333333  0.783539",3.62,"[[3.99590667, -1.8e-07, -4.3799999999999996e-06], [-2e-07, 3.99590172, -1.53e-06], [-2.5499999999999997e-06, 1.6e-07, 3.02819794]]","[[8.34760708, -0.00014523, -3.7170000000000005e-05], [-0.00014525, 8.34705198, 7.518000000000001e-05], [-3.5340000000000004e-05, 7.687000000000001e-05, 3.45707024]]",1.92,3.67,6.72,False
27,mp-22867,RbBr,2,225,86.78051080680001,"Full Formula (Rb1 Br1)
Reduced Formula: RbBr
abc   :   4.969496   4.969496   4.969497
angles:  60.000003  60.000001  60.000002
Sites (2)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  Rb    0    0    0
  1  Br    0.5  0.5  0.5",4.19,"[[2.4526134600000002, 1.2070000000000001e-05, -6.06e-06], [1.168e-05, 2.4527045100000002, -3.6020000000000004e-05], [-6.009999999999999e-06, -3.603e-05, 2.45262664]]","[[5.689134859999999, 0.00057551, -3.834e-05], [0.00057512, 5.68892961, -9.274000000000001e-05], [-3.829000000000001e-05, -9.275e-05, 5.6883332499999995]]",1.57,2.45,5.69,False
28,mp-22877,VCl2,3,164,70.4227556857,"Full Formula (V1 Cl2)
Reduced Formula: VCl2
abc   :   3.655328   3.655328   6.085968
angles:  90.000000  90.000000 119.999999
Sites (3)
  #  SP           a         b        c
---  ----  --------  --------  -------
  0  V     0         0         0
  1  Cl    0.666667  0.333333  0.78101
  2  Cl    0.333333  0.666667  0.21899",1.25,"[[4.46755327, -2.0699999999999997e-06, 1.8e-07], [-2.27e-06, 4.4675588, 0.00050311], [-1.08e-06, 0.00050632, 2.82317118]]","[[6.2153223099999995, -3.1320000000000005e-05, -2.25e-06], [-3.1519999999999996e-05, 6.21541549, 0.00076362], [-3.5099999999999994e-06, 0.00076683, 3.10152217]]",1.98,3.92,5.18,False
29,mp-648,Na2S,3,225,70.9338407808,"Full Formula (Na2 S1)
Reduced Formula: Na2S
abc   :   4.646466   4.646466   4.646467
angles:  60.000002  60.000003  60.000005
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Na    0.25  0.25  0.25
  1  Na    0.75  0.75  0.75
  2  S     0     0     0",2.44,"[[3.51458234, -0.0003453, -0.01177791], [-0.00032543000000000003, 3.49779271, 0.00044392], [-0.01183005, 0.00030404, 3.50620465]]","[[7.04383209, -0.00015538, -0.01135885], [-0.00013550999999900002, 7.02658276, 0.00077069], [-0.011410990000000001, 0.00063081, 7.03727315]]",1.87,3.51,7.04,False
30,mp-570259,MgCl2,3,164,75.1136317601,"Full Formula (Mg1 Cl2)
Reduced Formula: MgCl2
abc   :   3.676831   3.676831   6.415652
angles:  90.000000  90.000000 119.999994
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mg    0         0         0
  1  Cl    0.333333  0.666667  0.213751
  2  Cl    0.666667  0.333333  0.786249",5.57,"[[2.7676541, 7e-08, -3.6099999999999997e-06], [1.2e-07, 2.7676556100000003, -8e-06], [-2.48e-06, -8.82e-06, 2.37002345]]","[[6.36423358, 0.00018648000000000002, -3.0799999999999997e-06], [0.00018653, 6.36446469, 7.860000000000001e-06], [-1.95e-06, 7.0399999999999995e-06, 2.9394538199999998]]",1.62,2.64,5.22,False
31,mp-762,PtS2,3,164,69.3832905913,"Full Formula (Pt1 S2)
Reduced Formula: PtS2
abc   :   3.580074   3.580074   6.250867
angles:  90.000000  90.000000 120.000000
Sites (3)
  #  SP           a         b        c
---  ----  --------  --------  -------
  0  Pt    0         0         0
  1  S     0.666667  0.333333  0.80348
  2  S     0.333333  0.666667  0.19652",1.54,"[[13.23942832, 1.9920000000000002e-05, -6.07e-06], [9.92e-06, 13.23941905, -4.354000000000001e-05], [2.74e-06, -4.765e-05, 3.94968414]]","[[14.36786477, 5.87e-06, -6.11e-06], [-4.1299999999999986e-06, 14.3677875, -4.47e-05], [2.7e-06, -4.881000000000001e-05, 3.94977491]]",3.18,10.14,10.9,False
32,mp-1105,BaO2,3,139,52.1468870527,"Full Formula (Ba1 O2)
Reduced Formula: BaO2
abc   :   3.865935   3.865935   4.432480
angles: 115.854781 115.854778  90.000007
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ba    0         0         0
  1  O     0.392337  0.392337  0.784673
  2  O     0.607663  0.607663  0.215327",2.23,"[[3.4895931, 0.03024965, 0.04866562], [0.03024958, 3.50440722, 0.06202134], [0.04866532, 0.06202104, 3.5656261000000002]]","[[17.189276369999998, -0.06911924, -0.10926175], [-0.06911931, 17.15583201, -0.138972579999999], [-0.10926205000000001, -0.13897288, 16.971095860000002]]",1.88,3.52,17.11,False
33,mp-2352,Na2O,3,225,43.7885475453,"Full Formula (Na2 O1)
Reduced Formula: Na2O
abc   :   3.956324   3.956324   3.956324
angles:  59.999999  59.999999  60.000004
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Na    0.75  0.75  0.75
  1  Na    0.25  0.25  0.25
  2  O     0     0     0",1.87,"[[3.27059534, -0.00671862, -0.00179405], [-0.00672656, 3.27578699, -0.00108824], [-0.00179186, -0.00109095, 3.26861763]]","[[7.567086909999999, -0.007509669999999, -0.0031846799999990004], [-0.00751761, 7.56976437, -0.00399925], [-0.0031824899999990004, -0.00400196, 7.57233257]]",1.81,3.27,7.57,False
34,mp-1115,PtSe2,3,164,74.9463454114,"Full Formula (Pt1 Se2)
Reduced Formula: PtSe2
abc   :   3.761025   3.761025   6.117971
angles:  90.000000  90.000000 119.999995
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Pt    0         0         0
  1  Se    0.666667  0.333333  0.786417
  2  Se    0.333333  0.666667  0.213583",0.83,"[[19.00548809, 2.8400000000000003e-05, -0.00010398], [5.542e-05, 19.00557708, 0.00017313], [3.943000000000001e-05, 0.00014417, 7.83291965]]","[[20.08121526, 4.7770000000000005e-05, -0.00010133000000000001], [7.479000000000002e-05, 20.08121478, 0.00016715], [4.2080000000000004e-05, 0.00013819, 7.83484525]]",3.91,15.28,16.0,False
35,mp-1569,Be2C,3,225,20.2637521337,"Full Formula (Be2 C1)
Reduced Formula: Be2C
abc   :   3.060166   3.060166   3.060166
angles:  60.000000  59.999995  59.999995
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Be    0.25  0.25  0.25
  1  Be    0.75  0.75  0.75
  2  C     0     0     0",1.17,"[[6.99857439, -1.1410000000000001e-05, -2.35e-06], [-1.127e-05, 6.99863939, -3.2999999999999997e-06], [-2.35e-06, -3.28e-06, 6.99862121]]","[[14.92222296, -8.229e-05, -0.00041844999999900005], [-8.215e-05, 14.92167061, -0.00027827], [-0.00041844999999900005, -0.000278249999999, 14.921178009999998]]",2.65,7.0,14.92,False
36,mp-28306,MnBr2,3,164,93.2083621977,"Full Formula (Mn1 Br2)
Reduced Formula: MnBr2
abc   :   3.897963   3.897963   7.083515
angles:  90.000000  90.000000 119.999993
Sites (3)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mn    0         0         0
  1  Br    0.333333  0.666667  0.212041
  2  Br    0.666667  0.333333  0.787959",1.6,"[[4.10134394, 4.2999999999999996e-07, 3.2050000000000007e-05], [1.04e-06, 4.10135043, 0.00028296], [3.665e-05, 0.00029599, 2.78104219]]","[[10.555963429999998, 0.00092617, 4.7430000000000005e-05], [0.00092678, 11.08446024, 0.00032358], [5.203000000000001e-05, 0.00033661, 3.134150769999999]]",1.91,3.66,8.26,False
37,mp-2286,Li2Se,3,225,54.5355754192,"Full Formula (Li2 Se1)
Reduced Formula: Li2Se
abc   :   4.256621   4.256620   4.256621
angles:  60.000004  60.000006  59.999997
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Li    0.25  0.25  0.25
  1  Li    0.75  0.75  0.75
  2  Se    0     0     0",2.97,"[[4.32498641, -8.96e-06, -1.85e-06], [-6.82e-06, 4.32499848, 5.699999999999999e-07], [-2.64e-06, -1.9699999999999998e-06, 4.32499603]]","[[7.8439030800000005, 0.00013394, 0.00020593], [0.00013608, 7.8437303, 0.00014713], [0.00020514, 0.00014459, 7.84344059]]",2.08,4.32,7.84,False
