,material_id,formula,nsites,point_group,space_group,volume,structure,eij_max,v_max,piezoelectric_tensor
11,mp-24864,CoO,2.0,-43m,216.0,24.81667048,"Full Formula (Co1 O1)
Reduced Formula: CoO
abc   :   3.274056   3.274057   3.274057
angles:  60.000005  60.000003  59.999998
Sites (2)
  #  SP       a         b         c
---  ----  ----  --------  --------
  0  O     0.25  0.250001  0.250001
  1  Co    0     0         0",0.19127,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.33129 0.      0.     ]
 [0.      0.      0.      0.      0.33129 0.     ]
 [0.      0.      0.      0.      0.      0.33129]]"
12,mp-13032,MgS,2.0,-43m,216.0,46.2527357237,"Full Formula (Mg1 S1)
Reduced Formula: MgS
abc   :   4.029188   4.029188   4.029187
angles:  59.999998  59.999999  60.000003
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Mg    0     0     0
  1  S     0.25  0.25  0.25",0.193647,"[1.0, 1.0, 1.0]","[[0.         0.         0.         0.33540667 0.         0.        ]
 [0.         0.         0.         0.         0.33540667 0.        ]
 [0.         0.         0.         0.         0.         0.33540667]]"
13,mp-13031,MgSe,2.0,-43m,216.0,54.0138265644,"Full Formula (Mg1 Se1)
Reduced Formula: MgSe
abc   :   4.243002   4.243002   4.243003
angles:  60.000002  60.000003  60.000005
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Mg    0     0     0
  1  Se    0.25  0.25  0.25",0.141287,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.24471667  0.          0.        ]
 [ 0.          0.          0.          0.         -0.24471667  0.        ]
 [ 0.          0.          0.          0.          0.         -0.24471667]]"
14,mp-2469,CdS,2.0,-43m,216.0,52.418232898599996,"Full Formula (Cd1 S1)
Reduced Formula: CdS
abc   :   4.200804   4.200804   4.200804
angles:  60.000000  60.000000  59.999996
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  S     0.25  0.25  0.25
  1  Cd    0     0     0",0.114685,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.19864  0.       0.     ]
 [ 0.       0.       0.       0.      -0.19864  0.     ]
 [ 0.       0.       0.       0.       0.      -0.19864]]"
15,mp-13033,MgTe,2.0,-43m,216.0,69.05665589680001,"Full Formula (Mg1 Te1)
Reduced Formula: MgTe
abc   :   4.605112   4.605112   4.605112
angles:  59.999998  60.000000  60.000002
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Mg    0     0     0
  1  Te    0.25  0.25  0.25",0.089395,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.15483667  0.          0.        ]
 [ 0.          0.          0.          0.         -0.15483667  0.        ]
 [ 0.          0.          0.          0.          0.         -0.15483667]]"
16,mp-2624,AlSb,2.0,-43m,216.0,60.5606242212,"Full Formula (Al1 Sb1)
Reduced Formula: AlSb
abc   :   4.407934   4.407934   4.407934
angles:  60.000000  60.000001  59.999999
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Al    0     0     0
  1  Sb    0.25  0.25  0.25",0.056721,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.09824333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.09824333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.09824333]]"
17,mp-22914,CuCl,2.0,-43m,216.0,39.4673826504,"Full Formula (Cu1 Cl1)
Reduced Formula: CuCl
abc   :   3.821651   3.821652   3.821652
angles:  60.000002  59.999995  59.999999
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Cl    0.25  0.25  0.25
  1  Cu    0     0     0",0.30995,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.53685  0.       0.     ]
 [ 0.       0.       0.       0.      -0.53685  0.     ]
 [ 0.       0.       0.       0.       0.      -0.53685]]"
18,mp-8062,SiC,2.0,-43m,216.0,21.000595641500002,"Full Formula (Si1 C1)
Reduced Formula: SiC
abc   :   3.096817   3.096816   3.096817
angles:  60.000004  60.000006  60.000001
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     0     0     0
  1  Si    0.25  0.25  0.25",0.083797,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.14514 0.      0.     ]
 [0.      0.      0.      0.      0.14514 0.     ]
 [0.      0.      0.      0.      0.      0.14514]]"
19,mp-22913,CuBr,2.0,-43m,216.0,46.2742587821,"Full Formula (Cu1 Br1)
Reduced Formula: CuBr
abc   :   4.029812   4.029812   4.029812
angles:  60.000003  60.000003  59.999997
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Cu    0.25  0.25  0.25
  1  Br    0     0     0",0.179525,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.31094667  0.          0.        ]
 [ 0.          0.          0.          0.         -0.31094667  0.        ]
 [ 0.          0.          0.          0.          0.         -0.31094667]]"
20,mp-1700,AlN,2.0,-43m,216.0,21.3169782775,"Full Formula (Al1 N1)
Reduced Formula: AlN
abc   :   3.112291   3.112291   3.112291
angles:  59.999992  59.999991  59.999995
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  N     0.25  0.25  0.25
  1  Al    0     0     0",0.285852,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.49511 0.      0.     ]
 [0.      0.      0.      0.      0.49511 0.     ]
 [0.      0.      0.      0.      0.      0.49511]]"
21,mp-2691,CdSe,2.0,-43m,216.0,59.952796101800004,"Full Formula (Cd1 Se1)
Reduced Formula: CdSe
abc   :   4.393138   4.393138   4.393138
angles:  60.000000  59.999999  59.999996
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Se    0.25  0.25  0.25
  1  Cd    0     0     0",0.042499,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.07361  0.       0.     ]
 [ 0.       0.       0.       0.      -0.07361  0.     ]
 [ 0.       0.       0.       0.       0.      -0.07361]]"
22,mp-2490,GaP,2.0,-43m,216.0,41.736858953,"Full Formula (Ga1 P1)
Reduced Formula: GaP
abc   :   3.893543   3.893542   3.893543
angles:  60.000002  60.000005  60.000001
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  P     0.25  0.25  0.25
  1  Ga    0     0     0",0.11779300000000001,"[1.0, 1.0, 1.0]","[[0.         0.         0.         0.20402333 0.         0.        ]
 [0.         0.         0.         0.         0.20402333 0.        ]
 [0.         0.         0.         0.         0.         0.20402333]]"
23,mp-2172,AlAs,2.0,-43m,216.0,47.1256605779,"Full Formula (Al1 As1)
Reduced Formula: AlAs
abc   :   4.054378   4.054377   4.054377
angles:  59.999995  59.999998  59.999995
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Al    0     0     0
  1  As    0.25  0.25  0.25",0.044071,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.07633333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.07633333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.07633333]]"
24,mp-10044,BAs,2.0,-43m,216.0,27.9820320941,"Full Formula (B1 As1)
Reduced Formula: BAs
abc   :   3.407727   3.407726   3.407727
angles:  60.000004  60.000006  60.000002
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  B     0.25  0.25  0.25
  1  As    0     0     0",0.027774,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.04810667  0.          0.        ]
 [ 0.          0.          0.          0.         -0.04810667  0.        ]
 [ 0.          0.          0.          0.          0.         -0.04810667]]"
25,mp-422,BeS,2.0,-43m,216.0,28.955804656999998,"Full Formula (Be1 S1)
Reduced Formula: BeS
abc   :   3.446806   3.446807   3.446806
angles:  60.000005  60.000004  60.000009
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Be    0     0     0
  1  S     0.25  0.25  0.25",0.110072,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.19065  0.       0.     ]
 [ 0.       0.       0.       0.      -0.19065  0.     ]
 [ 0.       0.       0.       0.       0.      -0.19065]]"
26,mp-20351,InP,2.0,-43m,216.0,52.8399833962,"Full Formula (In1 P1)
Reduced Formula: InP
abc   :   4.212040   4.212041   4.212041
angles:  60.000004  60.000002  60.000008
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  P     0.25  0.25  0.25
  1  In    0     0     0",0.057048,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.09881  0.       0.     ]
 [ 0.       0.       0.       0.      -0.09881  0.     ]
 [ 0.       0.       0.       0.       0.      -0.09881]]"
27,mp-1550,AlP,2.0,-43m,216.0,41.7553308856,"Full Formula (Al1 P1)
Reduced Formula: AlP
abc   :   3.894117   3.894117   3.894117
angles:  60.000005  60.000005  59.999999
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Al    0     0     0
  1  P     0.25  0.25  0.25",0.00035800000000000003,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.00062  0.       0.     ]
 [ 0.       0.       0.       0.      -0.00062  0.     ]
 [ 0.       0.       0.       0.       0.      -0.00062]]"
28,mp-252,BeTe,2.0,-43m,216.0,45.505511938699996,"Full Formula (Be1 Te1)
Reduced Formula: BeTe
abc   :   4.007372   4.007372   4.007372
angles:  60.000004  60.000000  59.999999
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Be    0     0     0
  1  Te    0.25  0.25  0.25",0.09722599999999999,"[1.0, 1.0, 1.0]","[[ 0.      0.      0.     -0.1684  0.      0.    ]
 [ 0.      0.      0.      0.     -0.1684  0.    ]
 [ 0.      0.      0.      0.      0.     -0.1684]]"
29,mp-1541,BeSe,2.0,-43m,216.0,34.8236764116,"Full Formula (Be1 Se1)
Reduced Formula: BeSe
abc   :   3.665472   3.665472   3.665472
angles:  59.999998  60.000001  59.999993
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Be    0     0     0
  1  Se    0.25  0.25  0.25",0.12010799999999999,"[1.0, 1.0, 1.0]","[[0.         0.         0.         0.20803333 0.         0.        ]
 [0.         0.         0.         0.         0.20803333 0.        ]
 [0.         0.         0.         0.         0.         0.20803333]]"
30,mp-866291,AgBr,2.0,-43m,216.0,63.4004344505,"Full Formula (Ag1 Br1)
Reduced Formula: AgBr
abc   :   4.475784   4.475784   4.475784
angles:  60.000000  60.000000  60.000000
Sites (2)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ag    0     0     0
  1  Br    0.25  0.25  0.25",0.14651,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.25376333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.25376333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.25376333]]"
31,mp-3161,LiAlSi,3.0,-43m,216.0,52.3552561909,"Full Formula (Li1 Al1 Si1)
Reduced Formula: LiAlSi
abc   :   4.199122   4.199121   4.199121
angles:  59.999995  59.999998  59.999996
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Li    0.5   0.5   0.5
  1  Al    0     0     0
  2  Si    0.25  0.25  0.25",0.283006,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.49018 0.      0.     ]
 [0.      0.      0.      0.      0.49018 0.     ]
 [0.      0.      0.      0.      0.      0.49018]]"
32,mp-9124,LiZnAs,3.0,-43m,216.0,53.4209297795,"Full Formula (Li1 Zn1 As1)
Reduced Formula: LiZnAs
abc   :   4.227421   4.227421   4.227421
angles:  60.000006  60.000006  60.000009
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Li    0.25  0.25  0.25
  1  Zn    0.75  0.75  0.75
  2  As    0     0     0",0.42279399999999995,"[1.0, 1.0, 1.0]","[[0.     0.     0.     0.7323 0.     0.    ]
 [0.     0.     0.     0.     0.7323 0.    ]
 [0.     0.     0.     0.     0.     0.7323]]"
33,mp-4174,HoNiSb,3.0,-43m,216.0,63.4232905084,"Full Formula (Ho1 Ni1 Sb1)
Reduced Formula: HoNiSb
abc   :   4.476322   4.476322   4.476321
angles:  59.999997  59.999996  59.999994
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ni    0.25  0.25  0.25
  1  Sb    0     0     0
  2  Ho    0.5   0.5   0.5",0.134952,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.23374333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.23374333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.23374333]]"
34,mp-505297,NbSbRu,3.0,-43m,216.0,59.6433548946,"Full Formula (Nb1 Sb1 Ru1)
Reduced Formula: NbSbRu
abc   :   4.385566   4.385566   4.385567
angles:  60.000003  60.000003  60.000002
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Nb    0     0     0
  1  Ru    0.25  0.25  0.25
  2  Sb    0.5   0.5   0.5",0.8373370000000001,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -1.45031  0.       0.     ]
 [ 0.       0.       0.       0.      -1.45031  0.     ]
 [ 0.       0.       0.       0.       0.      -1.45031]]"
35,mp-9437,NbFeSb,3.0,-43m,216.0,53.1671135998,"Full Formula (Nb1 Fe1 Sb1)
Reduced Formula: NbFeSb
abc   :   4.220715   4.220715   4.220715
angles:  59.999991  59.999991  59.999998
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Fe    0.25  0.25  0.25
  1  Nb    0     0     0
  2  Sb    0.5   0.5   0.5",1.338533,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -2.31840667  0.          0.        ]
 [ 0.          0.          0.          0.         -2.31840667  0.        ]
 [ 0.          0.          0.          0.          0.         -2.31840667]]"
36,mp-7575,LiZnN,3.0,-43m,216.0,30.0596171971,"Full Formula (Li1 Zn1 N1)
Reduced Formula: LiZnN
abc   :   3.490059   3.490060   3.490059
angles:  59.999998  59.999995  60.000005
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Li    0.25  0.25  0.25
  1  N     0     0     0
  2  Zn    0.75  0.75  0.75",0.293646,"[1.0, 1.0, 1.0]","[[ 0.       0.       0.      -0.50861  0.       0.     ]
 [ 0.       0.       0.       0.      -0.50861  0.     ]
 [ 0.       0.       0.       0.       0.      -0.50861]]"
37,mp-3716,TbNiSb,3.0,-43m,216.0,64.6226315002,"Full Formula (Tb1 Ni1 Sb1)
Reduced Formula: TbNiSb
abc   :   4.504361   4.504362   4.504361
angles:  59.999998  59.999994  60.000000
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ni    0.25  0.25  0.25
  1  Sb    0     0     0
  2  Tb    0.5   0.5   0.5",0.164743,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.28534333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.28534333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.28534333]]"
38,mp-3432,ScNiSb,3.0,-43m,216.0,57.045654235,"Full Formula (Sc1 Ni1 Sb1)
Reduced Formula: ScNiSb
abc   :   4.320950   4.320949   4.320949
angles:  59.999995  59.999997  59.999991
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Sc    0.5   0.5   0.5
  1  Ni    0.25  0.25  0.25
  2  Sb    0     0     0",0.074347,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.12877333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.12877333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.12877333]]"
39,mp-5967,TiCoSb,3.0,-43m,216.0,51.176825379600004,"Full Formula (Ti1 Co1 Sb1)
Reduced Formula: TiCoSb
abc   :   4.167376   4.167377   4.167377
angles:  60.000005  60.000004  60.000004
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ti    0     0     0
  1  Co    0.25  0.25  0.25
  2  Sb    0.5   0.5   0.5",0.651209,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -1.12792667  0.          0.        ]
 [ 0.          0.          0.          0.         -1.12792667  0.        ]
 [ 0.          0.          0.          0.          0.         -1.12792667]]"
40,mp-10623,ThSbRh,3.0,-43m,216.0,76.1775939473,"Full Formula (Th1 Sb1 Rh1)
Reduced Formula: ThSbRh
abc   :   4.758252   4.758252   4.758252
angles:  59.999997  59.999999  59.999997
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Rh    0.25  0.25  0.25
  1  Sb    0.5   0.5   0.5
  2  Th    0     0     0",0.136235,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.23596667  0.          0.        ]
 [ 0.          0.          0.          0.         -0.23596667  0.        ]
 [ 0.          0.          0.          0.          0.         -0.23596667]]"
41,mp-4510,DyNiSb,3.0,-43m,216.0,63.957433375600004,"Full Formula (Dy1 Ni1 Sb1)
Reduced Formula: DyNiSb
abc   :   4.488852   4.488853   4.488853
angles:  60.000004  60.000001  60.000004
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ni    0.25  0.25  0.25
  1  Sb    0     0     0
  2  Dy    0.5   0.5   0.5",0.154928,"[1.0, 1.0, 1.0]","[[0.         0.         0.         0.26834333 0.         0.        ]
 [0.         0.         0.         0.         0.26834333 0.        ]
 [0.         0.         0.         0.         0.         0.26834333]]"
42,mp-22786,ThNiSn,3.0,-43m,216.0,71.3232683171,"Full Formula (Th1 Ni1 Sn1)
Reduced Formula: ThNiSn
abc   :   4.654955   4.654954   4.654954
angles:  60.000001  60.000004  59.999996
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ni    0     0     0
  1  Sn    0.25  0.25  0.25
  2  Th    0.75  0.75  0.75",0.408312,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.70721667  0.          0.        ]
 [ 0.          0.          0.          0.         -0.70721667  0.        ]
 [ 0.          0.          0.          0.          0.         -0.70721667]]"
43,mp-4025,TmNiSb,3.0,-43m,216.0,62.2694983041,"Full Formula (Tm1 Ni1 Sb1)
Reduced Formula: TmNiSb
abc   :   4.449010   4.449011   4.449011
angles:  60.000004  60.000002  59.999999
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Ni    0.25  0.25  0.25
  1  Sb    0     0     0
  2  Tm    0.5   0.5   0.5",0.159374,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.27604333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.27604333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.27604333]]"
44,mp-11839,GdSbPt,3.0,-43m,216.0,74.09857402680001,"Full Formula (Gd1 Sb1 Pt1)
Reduced Formula: GdSbPt
abc   :   4.714565   4.714565   4.714565
angles:  60.000005  60.000005  59.999999
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Sb    0     0     0
  1  Gd    0.5   0.5   0.5
  2  Pt    0.25  0.25  0.25",0.19552,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.33865 0.      0.     ]
 [0.      0.      0.      0.      0.33865 0.     ]
 [0.      0.      0.      0.      0.      0.33865]]"
45,mp-11836,ErSbPd,3.0,-43m,216.0,70.7935627119,"Full Formula (Er1 Sb1 Pd1)
Reduced Formula: ErSbPd
abc   :   4.643402   4.643402   4.643402
angles:  60.000001  59.999999  59.999998
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Pd    0.25  0.25  0.25
  1  Sb    0.5   0.5   0.5
  2  Er    0     0     0",0.163571,"[1.0, 1.0, 1.0]","[[0.         0.         0.         0.28331333 0.         0.        ]
 [0.         0.         0.         0.         0.28331333 0.        ]
 [0.         0.         0.         0.         0.         0.28331333]]"
46,mp-11869,HfSnPd,3.0,-43m,216.0,64.42130046529999,"Full Formula (Hf1 Sn1 Pd1)
Reduced Formula: HfSnPd
abc   :   4.499678   4.499678   4.499679
angles:  60.000001  60.000003  60.000005
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Pd    0.25  0.25  0.25
  1  Sn    0.5   0.5   0.5
  2  Hf    0     0     0",0.038963,"[1.0, 1.0, 1.0]","[[0.         0.         0.         0.06748667 0.         0.        ]
 [0.         0.         0.         0.         0.06748667 0.        ]
 [0.         0.         0.         0.         0.         0.06748667]]"
47,mp-569779,ScSbPd,3.0,-43m,216.0,64.81862282109999,"Full Formula (Sc1 Sb1 Pd1)
Reduced Formula: ScSbPd
abc   :   4.508910   4.508910   4.508911
angles:  60.000002  60.000003  60.000005
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Sc    0.5   0.5   0.5
  1  Sb    0     0     0
  2  Pd    0.25  0.25  0.25",0.18297,"[1.0, 1.0, 1.0]","[[ 0.          0.          0.         -0.31691333  0.          0.        ]
 [ 0.          0.          0.          0.         -0.31691333  0.        ]
 [ 0.          0.          0.          0.          0.         -0.31691333]]"
48,mp-10182,LiZnP,3.0,-43m,216.0,47.7213324634,"Full Formula (Li1 Zn1 P1)
Reduced Formula: LiZnP
abc   :   4.071388   4.071389   4.071388
angles:  60.000005  60.000004  59.999999
Sites (3)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  Li    0.75  0.75  0.75
  1  P     0     0     0
  2  Zn    0.25  0.25  0.25",0.39865500000000004,"[1.0, 1.0, 1.0]","[[0.      0.      0.      0.69049 0.      0.     ]
 [0.      0.      0.      0.      0.69049 0.     ]
 [0.      0.      0.      0.      0.      0.69049]]"
